Recipient,INST_TYPE_1,INST_TYPE_2,total_awards,grants,contracts,student_aid,Total_Federal_Investment
Bethesda University,Private not-for-profit, 4-year or above,0,0,0,1305454,1305454
Bethune-Cookman University,Private not-for-profit, 4-year or above,0,5403843,0,60571517,65975360
Beulah Heights University,Private not-for-profit, 4-year or above,0,0,0,4277651.2,4277651.2
Bevill State Community College,Public, 2-year,0,3852020.7,0,7882867.1,11734887.8
Biblical Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,972213,972213
Big Bend Community College,Public, 2-year,0,3007851,0,4967766.8,7975617.8
Big Sandy Community and Technical College,Public, 2-year,0,0,0,13421194,13421194
Birmingham Southern College,Private not-for-profit, 4-year or above,0,0,0,8721205.4,8721205.4
Birthingway College of Midwifery,Private not-for-profit, 4-year or above,0,0,0,452653,452653
Bishop State Community College,Public, 2-year,0,3675066.71,0,8797915.3,12472982
Bismarck State College,Public, 4-year or above,0,602559,0,9624500,10227059
Black Hawk College,Public, 2-year,0,355237,0,7378256,7733493
Black Hills State University,Public, 4-year or above,147882,471852,147882,18186998.2,18806732.2
Black River Technical College,Public, 2-year,0,0,0,5749920,5749920
Blackburn College,Private not-for-profit, 4-year or above,0,0,0,4410477.1,4410477.1
Blackfeet Community College,Private not-for-profit, 2-year,0,7213249,0,1061469,8274718
Blackhawk Technical College,Public, 2-year,0,-39657,0,7504860,7465203
Blackstone Valley Vocational Regional School District,Public, less-than 2-year,0,0,0,193025,193025
Bladen Community College,Public, 2-year,0,0,0,2666196.4,2666196.4
Blinn College,Public, 2-year,126988.86,0,126988.86,51219420.1,51346409
Bloomfield College,Private not-for-profit, 4-year or above,0,1114632,0,20791433.1,21906065.1
Bloomsburg University of Pennsylvania,Public, 4-year or above,0,901698,0,74059265,74960963
Blue Hills Regional Technical School,Public, less-than 2-year,0,0,0,434310,434310
Blue Mountain College,Private not-for-profit, 4-year or above,0,116173,0,3099011.7,3215184.7
Blue Mountain Community College,Public, 2-year,0,254904,0,3930028.8,4184932.8
Blue Ridge Community College,Public, 2-year,0,94536,0,4355534.3,4450070.3
Blue Ridge Community College,Public, 2-year,0,0,0,7947360,7947360
Bluefield College,Private not-for-profit, 4-year or above,0,0,0,11776920,11776920
Bluefield State College,Public, 4-year or above,0,2764030,0,8912747,11676777
Bluegrass Community and Technical College,Public, 2-year,0,1599703.74,0,30703086.2,32302789.9
Bluffton University,Private not-for-profit, 4-year or above,0,0,0,8175606,8175606
Boise Bible College,Private not-for-profit, 4-year or above,0,0,0,621607,621607
Boise State University,Public, 4-year or above,351609.59,29122605.05,351609.59,103413557.4,132887772
Bon Secours Memorial College of Nursing,Private not-for-profit, 4-year or above,0,0,0,3146530.7,3146530.7
Bon Secours St Mary's Hospital School of Medical Imaging,Private not-for-profit, less-than 2-year,0,0,0,208293.9,208293.9
Boricua College,Private not-for-profit, 4-year or above,0,0,0,5399336.5,5399336.5
Bossier Parish Community College,Public, 2-year,0,-155086.62,0,44051475,43896388.4
Boston Architectural College,Private not-for-profit, 4-year or above,0,0,0,6257087,6257087
Boston Baptist College,Private not-for-profit, 4-year or above,0,0,0,378975,378975
Boston College,Private not-for-profit, 4-year or above,2672275.31,34176187.99,2672275.31,89067586,125916049.3
Boston Graduate School of Psychoanalysis Inc,Private not-for-profit, 4-year or above,0,0,0,791901,791901
Boston University,Private not-for-profit, 4-year or above,9487431.23,354778977.7,9487431.23,273700497,637966906
Bowdoin College,Private not-for-profit, 4-year or above,0,4118971.16,0,6241521.5,10360492.7
Bowie State University,Public, 4-year or above,0,9727964.74,0,48163876,57891840.7
Bowling Green State University-Main Campus,Public, 4-year or above,29296.58,6030745.11,29296.58,135541200,141601241.7
Bradford-Union Technical Center,Public, 2-year,0,0,0,353340.9,353340.9
Bradley University,Private not-for-profit, 4-year or above,0,-90052,0,56478683,56388631
Brandeis University,Private not-for-profit, 4-year or above,0,37847932.36,0,25489055,63336987.4
Brandman University,Private not-for-profit, 4-year or above,0,0,0,91915956.2,91915956.2
Brazosport College,Public, 4-year or above,0,0,0,3690813.3,3690813.3
Brenau University,Private not-for-profit, 4-year or above,0,0,0,42897172,42897172
Brescia University,Private not-for-profit, 4-year or above,0,450000,0,9521104,9971104
Brevard College,Private not-for-profit, 4-year or above,0,0,0,5827835,5827835
Brewster Technical College,Public, 2-year,0,4687574.34,0,558828.4,5246402.7
Brewton-Parker College,Private not-for-profit, 4-year or above,0,0,0,5161050.5,5161050.5
Briar Cliff University,Private not-for-profit, 4-year or above,0,1208244.63,0,10979062.4,12187307
Bridgerland Applied Technology College,Public, 2-year,0,225000,0,956110,1181110
BridgeValley Community & Technical College,Public, 2-year,0,-997493.84,0,6680556.4,5683062.6
Bridgewater College,Private not-for-profit, 4-year or above,0,0,0,17584155.7,17584155.7
Bridgewater State University,Public, 4-year or above,0,149250,0,70935601,71084851
Brigham Young University-Hawaii,Private not-for-profit, 4-year or above,0,0,0,6182533.3,6182533.3
Brigham Young University-Idaho,Private not-for-profit, 4-year or above,0,0,0,133419439,133419439
Brigham Young University-Provo,Private not-for-profit, 4-year or above,231542.2,17110228.09,231542.2,100929355,118271125.3
Brighton Center's Center for Employment Training,Private not-for-profit, less-than 2-year,0,1016456,0,180571,1197027
Bristol Community College,Public, 2-year,0,1379496,0,21633885.4,23013381.4
Bristol Technical Education Center,Public, less-than 2-year,0,0,0,42480,42480
Brookdale Community College,Public, 2-year,0,1153701,0,22553362.2,23707063.2
Brookhaven College,Public, 2-year,0,865535,0,12036013.5,12901548.5
Brooklyn Law School,Private not-for-profit, 4-year or above,0,0,0,26280379,26280379
Broome Delaware Tioga BOCES-Practical Nursing Program,Public, less-than 2-year,0,0,0,474891.5,474891.5
Broward College,Public, 4-year or above,5250,1748241.79,5250,107876766.4,109630258.2
Brown University,Private not-for-profit, 4-year or above,4874517.69,147051750.7,4874517.69,39836940,191763208.4
