activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_url,cpi_url
Excise Taxes,Excise Taxes,Black Lung Disability Trust Fund,Black Lung Disability Trust Fund,2014,573000000.00,238.031,246.819,1.036919561,594000000,0.61,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,,,2014,19300000000.00,238.031,246.819,1.036919561,20000000000,0.64,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,2014,20155000000.00,238.031,246.819,1.036919561,20900000000,104.43,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes Refunds,Estate and Gift Taxes Refunds,2014,-855000000.00,238.031,246.819,1.036919561,-887000000,-4.43,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,,,2014,33926000000.00,238.031,246.819,1.036919561,35200000000,1.12,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties,Customs Duties,2014,35349000000.00,238.031,246.819,1.036919561,36700000000,104.19,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties Refunds,Customs Duties Refunds,2014,-1423000000.00,238.031,246.819,1.036919561,-1480000000,-4.19,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,,,2014,135024000000.00,238.031,246.819,1.036919561,1.4E+11,4.47,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,"Deposit of Earnings, Federal Reserve System",Federal Reserve Deposit of Earnings,2014,99235000000.00,238.031,246.819,1.036919561,1.03E+11,73.49,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Universal Service Fund,Universal Service Fund,2014,9769000000.00,238.031,246.819,1.036919561,10100000000,7.24,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Other Miscellaneous Receipts,Other Income from Non-Tax Sources,2014,26057000000.00,238.031,246.819,1.036919561,27000000000,19.3,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Miscellaneous Receipts Refunds,Refunds on Income from Non-Tax Sources,2014,-37000000.00,238.031,246.819,1.036919561,-38000000,-0.03,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,,,2015,1540800000000.00,237.945,246.819,1.037294333,1.59827E+12,47.43,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes,2015,1220160000000.00,237.945,246.819,1.037294333,1.26567E+12,79.19,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2015,30000000.00,237.945,246.819,1.037294333,31000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Other Individual Income Taxes,Other Individual Income Taxes,2015,554963000000.00,237.945,246.819,1.037294333,5.76E+11,36.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2015,-234354000000.00,237.945,246.819,1.037294333,-2.43E+11,-15.21,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2015,343797000000.00,237.945,246.819,1.037294333,3.57E+11,10.58,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2015,390292000000.00,237.945,246.819,1.037294333,4.05E+11,113.52,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2015,-46495000000.00,237.945,246.819,1.037294333,-48200000000,-13.52,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
