activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_source,income_source_url,cpi_source,cpi_source_url
Miscellaneous Receipts,Miscellaneous Income,Universal Service Fund,Universal Service Fund,2013,9809000000,234.15,246.82,1.05,10300000000,9.66,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Miscellaneous Income,Other Miscellaneous Receipts,Other Miscellaneous Income,2013,15972000000,234.15,246.82,1.05,16800000000,15.73,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Miscellaneous Income,Miscellaneous Receipts Refunds,Refunds on Miscellaneous Income,2013,-33000000,234.15,246.82,1.05,-35000000,-0.03,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,,,2014,1.39457E+12,238.03,246.82,1.04,1.44605E+12,46.16,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes Withheld,Individual Income Taxes Withheld,2014,1.14971E+12,238.03,246.82,1.04,1.19216E+12,82.44,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2014,30000000,238.03,246.82,1.04,31000000,0,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Other Individual Income Taxes,Other Individual Income Taxes,2014,4.76562E+11,238.03,246.82,1.04,4.94E+11,34.17,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2014,-2.31733E+11,238.03,246.82,1.04,-2.4E+11,-16.62,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2014,3.20731E+11,238.03,246.82,1.04,3.33E+11,10.62,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2014,3.53553E+11,238.03,246.82,1.04,3.67E+11,110.23,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2014,-32822000000,238.03,246.82,1.04,-34000000000,-10.23,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2014,9.65067E+11,238.03,246.82,1.04,1E+12,31.95,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security - OASI,2014,6.30986E+11,238.03,246.82,1.04,6.54E+11,65.38,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund Refunds,Social Security - OASI: Refunds,2014,-2162000000,238.03,246.82,1.04,-2240000000,-0.22,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund,Social Security - DI,2014,1.07145E+11,238.03,246.82,1.04,1.11E+11,11.1,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund Refunds,Social Security - DI: Refunds,2014,-367000000,238.03,246.82,1.04,-381000000,-0.04,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Hospital Insurance Trust Fund,Medicare Part A,2014,2.24107E+11,238.03,246.82,1.04,2.32E+11,23.22,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement,Railroad Retirement,2014,5373000000,238.03,246.82,1.04,5570000000,0.56,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement Refunds,Railroad Retirement Refunds,2014,-16000000,238.03,246.82,1.04,-17000000,0,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,,,2014,55394000000,238.03,246.82,1.04,57400000000,1.83,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Deposits by States,Deposits by States,2014,46889000000,238.03,246.82,1.04,48600000000,84.65,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes,Federal Unemployment Taxes,2014,8612000000,238.03,246.82,1.04,8930000000,15.55,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes Refunds,Federal Unemployment Taxes Refunds,2014,-142000000,238.03,246.82,1.04,-147000000,-0.26,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Railroad Unemployment Taxes,Railroad Unemployment Taxes,2014,35000000,238.03,246.82,1.04,36000000,0.06,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,,,2014,3472000000,238.03,246.82,1.04,3600000000,0.11,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Federal Employees' Retirement - Employee Share,Government Pension: FERS,2014,3446000000,238.03,246.82,1.04,3570000000,99.25,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Non-Federal Employees' Retirement,Non-Federal Employees' Retirement,2014,26000000,238.03,246.82,1.04,27000000,0.75,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,,,2014,93368000000,238.03,246.82,1.04,96800000000,3.09,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes,Miscellaneous Excise Taxes,2014,44715000000,238.03,246.82,1.04,46400000000,47.89,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
