"opeid","school","subsidized13","unsubsidized13","parent13","grad_plus13","grants13","perkins13","FSEOG13","FWS13","subsidized14","unsubsidized14","parent14","grad_plus14","grants14","perkins14","FSEOG14","FWS14","subsidized15","unsubsidized15","parent15","grad_plus15","grants15","perkins15","FSEOG15","FWS15","subsidized16","unsubsidized16","parent16","grad_plus16","grants16","perkins16","FSEOG16","FWS16","subsidized17","unsubsidized17","parent17","grad_plus17","grants17","perkins17","FSEOG17","FWS17"
"02296000","PRINCE INSTITUTE - SOUTHEAST",625623,864398,33496,0,731277,NA,NA,NA,718850,940461,26990,0,608658,NA,NA,NA,315648,358316,3551,0,249546,NA,NA,NA,92857,126260,0,0,67319,NA,NA,NA,9293,18234,0,0,12994,NA,NA,NA
"02341000","FORTIS COLLEGE",5906148,6756067,308005,0,7114073,79757,NA,161560,5639828,6616501,274452,0,7060941,94595,NA,133415,5702994,7147341,296852,0,6492623.76,89667,NA,152063,4758439,6462199,772446,0,6443672.96,65630,NA,165369,4260257,6140896,812553,0,6120115.94,NA,159752,78755
"02503400","AMRIDGE UNIVERSITY",1279742,6898961,6680,511647,1033526,NA,NA,10857,1199258,6870724,0,846277,932947,NA,NA,8500,1139525,6171483,21193,1167248,911829,10509,NA,16233,1196170,5948145,30524,1352583,912115.5,NA,NA,7146,1230122,6417676,53951,1505020,923315.64,NA,14650,NA
"02605500","REMINGTON COLLEGE - MOBILE CAMPUS",7600000,11111008,708221,0,NA,NA,NA,303880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03010600","VIRGINIA COLLEGE",76351332,103793899,3117486,0,87315249,619613,NA,1927815,73660874,100784706,3447946,0,85606300,675493,NA,1774234,67599255,95393628,3701784,0,81864814,639401,NA,2105333,64179352,92275204,7412648,0,71474213,350892,NA,1627981,48770324,73950400,6607573,0,64249573,NA,3230638,691333
"03361400","FORTIS COLLEGE",1541282,1427887,39065,0,2110230,28326,NA,32528,968375,986291,27705,0,1290448,29954,NA,32891,1157925,1528023,44338,0,1449805,20924,NA,32521,1060138,1580599,168960,0,1619313.28,25472,NA,43375,932523,1593650,164772,0,1590247.51,NA,30167,19328
"03783300","BLUE CLIFF CAREER COLLEGE",294892,247099,1400,0,395865,NA,NA,NA,214812,198662,5150,0,265320,NA,NA,2500,172712,154345,30021,0,238347.44,NA,NA,NA,171228,160909,8150,0,192115.87,NA,NA,NA,189335,153164,60213,0,304023.49,NA,6250,NA
"03894300","HUNTSVILLE BIBLE COLLEGE",259146,464070,0,0,267585,NA,NA,NA,298560,737460,0,0,305909,NA,NA,NA,369705,846492,0,0,306466,NA,NA,NA,360364,845655,0,0,323895.46,NA,NA,NA,349191,797939,0,0,351024.19,NA,NA,NA
"04066300","CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND",230980,340936,25100,0,110948,NA,NA,NA,247376,301575,66280,0,148680,NA,NA,NA,266464,338986,11650,0,142002,NA,NA,NA,267811,357582,39504,0,140889,NA,NA,NA,185012,300139,15200,0,52794,NA,NA,NA
"04121500","COLUMBIA SOUTHERN UNIVERSITY",17772553,51018982,0,34405,17405279,NA,NA,360000,22213017,62916455,1503,73593,25321049,NA,NA,NA,21220347,61472824,0,231340,20788330,NA,NA,NA,21728858,65936664,7031,322985,21269024,NA,NA,NA,20264096,66946078,1747,520029,20742334,NA,NA,NA
