"Recipient","INST_TYPE_1","INST_TYPE_2","total_awards","grants","contracts","student_aid","Total_Federal_Investment"
"SUNY College at Oswego","Public"," 4-year or above",594479.99,594479.99,0,74478793,75073272.99
"SUNY College at Plattsburgh","Public"," 4-year or above",2607944,2572870,35074,40009815.41,42617759.4
"SUNY College at Potsdam","Public"," 4-year or above",617633,617633,0,33292723,33910356
"SUNY College of Agriculture and Technology at Cobleskill","Public"," 4-year or above",898508,288508,610000,18376981,19275489
"SUNY College of Environmental Science and Forestry","Public"," 4-year or above",2710765.66,2710765.66,0,11905823.44,14616589.06
"SUNY College of Optometry","Public"," 4-year or above",1963664.87,1916280.13,47384.74,8319190,10282854.87
"SUNY College of Technology at Alfred","Public"," 4-year or above",1500000,1500000,0,30346392.53,31846392.5
"SUNY College of Technology at Canton","Public"," 4-year or above",286118,286118,0,29726178.53,30012296.5
"SUNY College of Technology at Delhi","Public"," 4-year or above",-276611.3,-276611.3,0,25654196,25377584.7
"SUNY Cortland","Public"," 4-year or above",592994,592994,0,51502850.65,52095844.7
"SUNY Downstate Medical Center","Public"," 4-year or above",26635246.36,26558288,76958.36,42048734,68683980.36
"SUNY Empire State College","Public"," 4-year or above",0,0,0,53678818.85,53678818.8
"SUNY Maritime College","Public"," 4-year or above",291940.98,192000,99940.98,13985318.8,14277259.78
"SUNY Oneonta","Public"," 4-year or above",1202451,1202451,0,43165729.25,44368180.2
"SUNY Polytechnic Institute","Public"," 4-year or above",-160169,-160169,0,18264099.88,18103930.9
"SUNY Westchester Community College","Public"," 2-year",1144494,1144494,0,26737795.4,27882289.4
"Surry Community College","Public"," 2-year",-52282.32,-52282.32,0,3690054.84,3637772.48
"Susquehanna County Career and Technology Center","Public"," less-than 2-year",98786,98786,0,327963.3,426749.3
"Susquehanna University","Private not-for-profit"," 4-year or above",958254,958254,0,21840836,22799090
"Sussex County Community College","Public"," 2-year",0,0,0,6026129,6026129
"Swarthmore College","Private not-for-profit"," 4-year or above",1332247,1332247,0,4919513,6251760
"Sweet Briar College","Private not-for-profit"," 4-year or above",8992,8992,0,2090103,2099095
"Syracuse University","Private not-for-profit"," 4-year or above",32153291.75,30228775.71,1924516.04,182130268.99,214283560.8
"Tabor College","Private not-for-profit"," 4-year or above",0,0,0,6034519.31,6034519.3
"Tacoma Community College","Public"," 4-year or above",238915.87,238915.87,0,16095068.98,16333984.87
"Taft College","Public"," 2-year",-484987.71,-484987.71,0,5689333.49,5204345.79
"Talladega College","Private not-for-profit"," 4-year or above",3037819,3037819,0,11361441.06,14399260.1
"Tallahassee Community College","Public"," 4-year or above",912017,867013,45004,36568673.04,37480690
"Talmudic College of Florida","Private not-for-profit"," 4-year or above",0,0,0,63792.5,63792.5
"Talmudical Academy-New Jersey","Private not-for-profit"," 4-year or above",0,0,0,216105,216105
"Talmudical Institute of Upstate New York","Private not-for-profit"," 4-year or above",0,0,0,39000,39000
"Talmudical Seminary of Bobov","Private not-for-profit"," 4-year or above",0,0,0,2051862.5,2051862.5
"Talmudical Seminary Oholei Torah","Private not-for-profit"," 4-year or above",0,0,0,979780,979780
"Talmudical Yeshiva of Philadelphia","Private not-for-profit"," 4-year or above",0,0,0,132790,132790
"Tarleton State University","Public"," 4-year or above",1776038.6,1776038.6,0,91914665.91,93690704.5
"Tarrant County College District","Public"," 2-year",1015606,986611,28995,88320210,89335816
"Taylor Technical Institute","Public"," less-than 2-year",0,0,0,308101.4,308101.4
"Taylor University","Private not-for-profit"," 4-year or above",0,0,0,12788855,12788855
"Technical College of the Lowcountry","Public"," 2-year",708367,708367,0,3989909.21,4698276.2
"Technical Education Center-Osceola","Public"," 2-year",0,0,0,1236662.31,1236662.3
"Telshe Yeshiva-Chicago","Private not-for-profit"," 4-year or above",0,0,0,209442,209442
"Temple College","Public"," 2-year",0,0,0,18356801.31,18356801.3
"Temple University","Public"," 4-year or above",114178585.97,113740965.49,437620.48,413729381.5,527907967.5
"Tennessee College of Applied Technology Nashville","Public"," 2-year",0,0,0,1724384.5,1724384.5
"Tennessee College of Applied Technology-Athens","Public"," less-than 2-year",0,0,0,491103.47,491103.5
"Tennessee College of Applied Technology-Covington","Public"," 2-year",0,0,0,579458.39,579458.4
"Tennessee College of Applied Technology-Crump","Public"," 2-year",80000,80000,0,596126.45,676126.4
"Tennessee College of Applied Technology-Dickson","Public"," 2-year",0,0,0,1726398.95,1726398.9
"Tennessee College of Applied Technology-Harriman","Public"," 2-year",0,0,0,725188.11,725188.1
"Tennessee College of Applied Technology-Hartsville","Public"," 2-year",0,0,0,684770.5,684770.5
"Tennessee College of Applied Technology-Hohenwald","Public"," 2-year",0,0,0,829417.09,829417.1
"Tennessee College of Applied Technology-Jacksboro","Public"," 2-year",0,0,0,654365.19,654365.2
"Tennessee College of Applied Technology-Jackson","Public"," 2-year",0,0,0,1230872,1230872
"Tennessee College of Applied Technology-Knoxville","Public"," 2-year",0,0,0,1572002.17,1572002.2
"Tennessee College of Applied Technology-Livingston","Public"," 2-year",0,0,0,984791.47,984791.5
"Tennessee College of Applied Technology-McKenzie","Public"," 2-year",0,0,0,569612.15,569612.2
"Tennessee College of Applied Technology-McMinnville","Public"," 2-year",0,0,0,451044.51,451044.5
"Tennessee College of Applied Technology-Memphis","Public"," 2-year",0,0,0,2568069.92,2568069.9
"Tennessee College of Applied Technology-Morristown","Public"," 2-year",67687,67687,0,1572349.07,1640036.1
"Tennessee College of Applied Technology-Murfreesboro","Public"," 2-year",0,0,0,1012725.09,1012725.1
"Tennessee College of Applied Technology-Newbern","Public"," 2-year",0,0,0,1084894.01,1084894
"Tennessee College of Applied Technology-Oneida-Huntsville","Public"," 2-year",0,0,0,568385.5,568385.5
"Tennessee College of Applied Technology-Paris","Public"," 2-year",0,0,0,815458.07,815458.1
"Tennessee College of Applied Technology-Pulaski","Public"," 2-year",0,0,0,589673,589673
"Tennessee College of Applied Technology-Ripley","Public"," 2-year",0,0,0,470828,470828
"Tennessee College of Applied Technology-Shelbyville","Public"," 2-year",0,0,0,878216.5,878216.5
"Tennessee College of Applied Technology-Whiteville","Public"," 2-year",0,0,0,398896.93,398896.9
"Tennessee State University","Public"," 4-year or above",25549845.09,25549845.09,0,67448026.31,92997871.39
"Tennessee Technological University","Public"," 4-year or above",4547571.46,4547571.46,0,46371731,50919302.46
"Tennessee Wesleyan University","Private not-for-profit"," 4-year or above",417754,417754,0,7226556,7644310
"Terra State Community College","Public"," 2-year",419587,419587,0,5845133.71,6264720.7
"Texarkana College","Public"," 2-year",535434.76,535434.76,0,12784326,13319760.76
"Texas A & M International University","Public"," 4-year or above",2353981.42,2353981.42,0,43248483.35,45602464.82
"Texas A & M University-College Station","Public"," 4-year or above",372316435.28,356983787.57,15332647.71,325251385.78,697567821.1
"Texas A & M University-Commerce","Public"," 4-year or above",3063890.34,3063890.34,0,85052802.09,88116692.44
"Texas A & M University-Corpus Christi","Public"," 4-year or above",9297935.77,9297935.77,0,91398234.13,100696169.9
"Texas A & M University-Kingsville","Public"," 4-year or above",9894731.68,9894731.68,0,53483207,63377938.68
"Texas A&M University-San Antonio","Public"," 4-year or above",249948,249948,0,43813164.79,44063112.8
"Texas A&M University-Texarkana","Public"," 4-year or above",9872,9872,0,14342572.37,14352444.4
"Texas Chiropractic College Foundation Inc","Private not-for-profit"," 4-year or above",0,0,0,11614804,11614804
"Texas Christian University","Private not-for-profit"," 4-year or above",2128478,2128478,0,61294597,63423075
"Texas College","Private not-for-profit"," 4-year or above",2094413.6,2094413.6,0,10343787.86,12438201.5
"Texas County Technical College","Private not-for-profit"," 2-year",0,0,0,797042,797042
"Texas Lutheran University","Private not-for-profit"," 4-year or above",599221,599221,0,11128791,11728012
"Texas Southern University","Public"," 4-year or above",22048710,22028710,20000,130652491.67,152701201.7
"Texas State Technical College","Public"," 2-year",277218.5,277218.5,0,54141838.01,54419056.5
"Texas State University","Public"," 4-year or above",29590112.14,29555402.14,34710,267454154.95,297044267.1
"Texas Tech University","Public"," 4-year or above",24275597.14,23134689.46,1140907.68,201121758.36,225397355.5
"Texas Tech University Health Sciences Center","Public"," 4-year or above",19100821.65,17921397,1179424.65,76447510,95548331.65
"Texas Wesleyan University","Private not-for-profit"," 4-year or above",1673094,1673094,0,29195197.36,30868291.4
"Texas Woman's University","Public"," 4-year or above",3515577.19,3515577.19,0,93079280.43,96594857.59
"Thaddeus Stevens College of Technology","Public"," 2-year",-310.84,-310.84,0,6009224,6008913.16
"The Ailey School","Private not-for-profit"," 2-year",90000,90000,0,737002,827002
"The Baptist College of Florida","Private not-for-profit"," 4-year or above",0,0,0,2270261,2270261
"The Chicago School of Professional Psychology at Los Angeles","Private not-for-profit"," 4-year or above",0,0,0,139940411,139940411
"The College of Idaho","Private not-for-profit"," 4-year or above",-4683.08,-4683.08,0,6426027.51,6421344.42
"The College of New Jersey","Public"," 4-year or above",2154236.38,2124266.38,29970,40612414.14,42766650.48
"The College of New Rochelle","Private not-for-profit"," 4-year or above",2998071,2998071,0,34098225.26,37096296.3
"The College of Saint Rose","Private not-for-profit"," 4-year or above",0,0,0,34443206.71,34443206.7
"The College of Saint Scholastica","Private not-for-profit"," 4-year or above",4430702.9,4430702.9,0,41718813.39,46149516.3
"The College of Wooster","Private not-for-profit"," 4-year or above",460738,260740,199998,11874635.52,12335373.5
"The Commonwealth Medical College","Private not-for-profit"," 4-year or above",818118.95,682084,136034.95,26572364,27390482.95
"The Community College of Baltimore County","Public"," 2-year",2099885.59,2112316.63,-12431.04,52376084.01,54475969.59
"The Evergreen State College","Public"," 4-year or above",2322253,2322253,0,28165078.37,30487331.4
"The General Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,208991,208991
"The John Marshall Law School","Private not-for-profit"," 4-year or above",425000,425000,0,33569790,33994790
"The Juilliard School","Private not-for-profit"," 4-year or above",20220,20220,0,4128752,4148972
"The King's College","Private not-for-profit"," 4-year or above",0,0,0,4001015,4001015
"The King's University","Private not-for-profit"," 4-year or above",0,0,0,4330333.02,4330333
"The Landing School","Private not-for-profit"," 2-year",0,0,0,240977.56,240977.6
"The Master's University and Seminary","Private not-for-profit"," 4-year or above",0,0,0,8489476,8489476
"The New England Conservatory of Music","Private not-for-profit"," 4-year or above",0,0,0,6443371,6443371
"The New School","Private not-for-profit"," 4-year or above",1786778,1786778,0,73162996.81,74949774.8
"The Sage Colleges","Private not-for-profit"," 4-year or above",14766,14766,0,25671741.46,25686507.5
"The Santa Barbara and Ventura Colleges of Law at Ventura","Private not-for-profit"," 4-year or above",0,0,0,4452599,4452599
"The Seattle School of Theology & Psychology","Private not-for-profit"," 4-year or above",0,0,0,3782452,3782452
"The University of Alabama","Public"," 4-year or above",36570275.26,35596126.37,974148.89,246930581.13,283500856.4
"The University of Findlay","Private not-for-profit"," 4-year or above",-79037.52,-79037.52,0,39830799.81,39751762.28
"The University of Montana","Public"," 4-year or above",55773663.03,43735619.58,12038043.45,77572924.69,133346587.7
"The University of Montana-Western","Public"," 4-year or above",335385.72,335385.72,0,7517124.17,7852509.92
"The University of Tampa","Private not-for-profit"," 4-year or above",879504,879504,0,79499653,80379157
"The University of Tennessee-Chattanooga","Public"," 4-year or above",7745070.55,7745070.55,0,66111349.84,73856420.35
"The University of Tennessee-Health Science Center","Public"," 4-year or above",37072153.5,36977188,94965.5,84590952,121663105.5
"The University of Tennessee-Knoxville","Public"," 4-year or above",88689636.64,86685515.79,2004120.85,173632612,262322248.6
"The University of Tennessee-Martin","Public"," 4-year or above",542885,542885,0,38459605.19,39002490.2
"The University of Texas at Arlington","Public"," 4-year or above",36225929.33,35779636.93,446292.4,243938838.44,280164767.7
"The University of Texas at Austin","Public"," 4-year or above",448295672.36,343030225.72,105265446.64,296103199.37,744398871.8
"The University of Texas at Brownsville","Public"," 4-year or above",171672.83,171672.83,0,14871961.84,15043634.63
"The University of Texas at Dallas","Public"," 4-year or above",47882209.53,47509854.96,372354.57,92328647.07,140210856.6
"The University of Texas at El Paso","Public"," 4-year or above",50366956.06,49442079.64,924876.42,154033719,204400675.1
"The University of Texas at San Antonio","Public"," 4-year or above",40935028.2,38752872.2,2182156,198731598.49,239666626.7
"The University of Texas at Tyler","Public"," 4-year or above",2560916,2560916,0,65311781.71,67872697.7
"The University of Texas Health Science Center at Houston","Public"," 4-year or above",103355580.92,100645414.8,2710166.12,46333067.88,149688648.8
"The University of Texas Health Science Center at San Antonio","Public"," 4-year or above",114359640.54,102973275.36,11386365.18,51855222,166214862.5
"The University of Texas MD Anderson Cancer Center","Public"," 4-year or above",161351405.47,149407606,11943799.47,1973998.3,163325403.8
"The University of Texas Medical Branch","Public"," 4-year or above",99641829.98,90554386.42,9087443.56,31306239,130948069
"The University of Texas of the Permian Basin","Public"," 4-year or above",1361550,1361550,0,22561052.23,23922602.2
"The University of Texas Rio Grande Valley","Public"," 4-year or above",33953631.22,33933631.22,20000,154648666.64,188602297.8
"The University of the Arts","Private not-for-profit"," 4-year or above",0,0,0,25757106,25757106
"The University of Virginia's College at Wise","Public"," 4-year or above",0,0,0,8869182,8869182
"The University of West Florida","Public"," 4-year or above",9099445.82,8947323.34,152122.48,63931897.19,73031343.02
"The Vocational Nursing Institute Inc","Private not-for-profit"," less-than 2-year",0,0,0,116354,116354
"The Workforce Institute's City College","Private not-for-profit"," 2-year",0,0,0,200805.85,200805.9
"The Wright Institute","Private not-for-profit"," 4-year or above",0,0,0,12948734,12948734
"Theological Seminary of the Reformed Episcopal Church","Private not-for-profit"," 4-year or above",0,0,0,81004,81004
"Thiel College","Private not-for-profit"," 4-year or above",0,0,0,8942701,8942701
"Thomas Aquinas College","Private not-for-profit"," 4-year or above",0,0,0,2420988,2420988
"Thomas College","Private not-for-profit"," 4-year or above",683998,683998,0,7538600.41,8222598.4
"Thomas Edison State University","Public"," 4-year or above",4319256.38,4319256.38,0,19529735.63,23848991.98
"Thomas Jefferson School of Law","Private not-for-profit"," 4-year or above",0,0,0,23554170,23554170
"Thomas Jefferson University","Private not-for-profit"," 4-year or above",74266178.56,68752923,5513255.56,124775473.21,199041651.8
"Thomas More College","Private not-for-profit"," 4-year or above",0,0,0,14116126.35,14116126.4
"Thomas More College of Liberal Arts","Private not-for-profit"," 4-year or above",0,0,0,672405.5,672405.5
"Thomas Nelson Community College","Public"," 2-year",254356,254356,0,16359200.61,16613556.6
"Thomas University","Private not-for-profit"," 4-year or above",789193,789193,0,14211385.84,15000578.8
"Three Rivers College","Public"," 2-year",262393.94,262393.94,0,10961093.98,11223487.94
"Three Rivers Community College","Public"," 2-year",0,0,0,9790020.46,9790020.5
"Tidewater Community College","Public"," 2-year",2752648.5,1085623,1667025.5,63067798.39,65820446.9
"Tiffin University","Private not-for-profit"," 4-year or above",0,0,0,34645509,34645509
"Tillamook Bay Community College","Public"," 2-year",50000,50000,0,897295,947295
"Toccoa Falls College","Private not-for-profit"," 4-year or above",0,0,0,4617273,4617273
"Tompkins Cortland Community College","Public"," 2-year",0,0,0,14718610,14718610
"Tooele Applied Technology College","Public"," less-than 2-year",0,0,0,316236.44,316236.4
"Torah Temimah Talmudical Seminary","Private not-for-profit"," 4-year or above",0,0,0,176781,176781
"Tougaloo College","Private not-for-profit"," 4-year or above",9370329.49,8216296.47,1154033.02,9016192.4,18386521.89
"Touro College","Private not-for-profit"," 4-year or above",1017053,722077,294976,178407202.09,179424255.1
"Touro University California","Private not-for-profit"," 4-year or above",1493149.97,864375,628774.97,107911178,109404328
"Touro University Worldwide","Private not-for-profit"," 4-year or above",0,0,0,15483483.76,15483483.8
"Towson University","Public"," 4-year or above",2770751.58,2721905.58,48846,147324056,150094807.6
"Transylvania University","Private not-for-profit"," 4-year or above",0,0,0,6785574,6785574
"Traviss Technical College","Public"," less-than 2-year",0,0,0,1444089,1444089
"Treasure Valley Community College","Public"," 2-year",1402275,1402275,0,8005777.6,9408052.6
"Trevecca Nazarene University","Private not-for-profit"," 4-year or above",35000,35000,0,40638901.1,40673901.1
"Tri County Regional Vocational Technical High School","Public"," less-than 2-year",0,0,0,112425,112425
"Tri-County Adult Career Center","Public"," 2-year",47017,47017,0,185160.8,232177.8
"Tri-County Community College","Public"," 2-year",0,0,0,1596728.39,1596728.4
"Tri-County Technical College","Public"," 2-year",0,0,0,15909453.17,15909453.2
"Tri-Rivers Career Center","Public"," less-than 2-year",41283,41283,0,1132054.43,1173337.4
"Tri-State Bible College","Private not-for-profit"," 4-year or above",0,0,0,202816,202816
"Trident Technical College","Public"," 2-year",4173610,4163575,10035,33997064.87,38170674.9
"Trine University","Private not-for-profit"," 4-year or above",8944,8944,0,23947240,23956184
"Trinidad State Junior College","Public"," 2-year",1110653.5,1073376,37277.5,4087298,5197951.5
"Trinity Bible College and Graduate School","Private not-for-profit"," 4-year or above",0,0,0,1508893,1508893
"Trinity Christian College","Private not-for-profit"," 4-year or above",0,0,0,9537029.62,9537029.6
"Trinity College","Private not-for-profit"," 4-year or above",1631365,1631365,0,9423004,11054369
"Trinity College of Florida","Private not-for-profit"," 4-year or above",0,0,0,1737891,1737891
"Trinity College of Nursing & Health Sciences","Private not-for-profit"," 4-year or above",131336,131336,0,2182259.99,2313596
"Trinity Episcopal School for Ministry","Private not-for-profit"," 4-year or above",0,0,0,264610,264610
"Trinity Health System School of Nursing","Private not-for-profit"," 2-year",0,0,0,594522.42,594522.4
"Trinity International University-Illinois","Private not-for-profit"," 4-year or above",0,0,0,18418230.92,18418230.9
"Trinity University","Private not-for-profit"," 4-year or above",1692299,1205436,486863,11347581,13039880
"Trinity Valley Community College","Public"," 2-year",0,0,0,12136843.64,12136843.6
"Trinity Washington University","Private not-for-profit"," 4-year or above",633200,633200,0,18209381.38,18842581.4
"Triton College","Public"," 2-year",1503960,1503960,0,12851718.68,14355678.7
"Trocaire College","Private not-for-profit"," 4-year or above",765648,765648,0,13114894.21,13880542.2
"Troy University","Public"," 4-year or above",5709579,5704479,5100,124158126.39,129867705.4
"Truckee Meadows Community College","Public"," 2-year",11051535.95,4636366.51,6415169.44,11642080.94,22693616.85
"Truett McConnell University","Private not-for-profit"," 4-year or above",0,0,0,5817690,5817690
"Truman State University","Public"," 4-year or above",2166324,2166324,0,21590929,23757253
"Trumbull Career & Technical Center","Public"," less-than 2-year",0,0,0,772515,772515
"Tufts University","Private not-for-profit"," 4-year or above",135773895.2,126486986.67,9286908.53,163192708,298966603.2
"Tulane University of Louisiana","Private not-for-profit"," 4-year or above",87910299.9,83299776,4610523.9,125921502.01,213831801.9
"Tulsa Community College","Public"," 2-year",619704.4,619704.4,0,44551993.8,45171698.2
"Tulsa Technology Center","Public"," 2-year",0,0,0,2247563,2247563
"Turtle Mountain Community College","Private not-for-profit"," 4-year or above",12346089.82,12336089.83,9999.99,2382519,14728608.82
"Tusculum College","Private not-for-profit"," 4-year or above",2276915,2276915,0,16440718.01,18717633
"Tuskegee University","Private not-for-profit"," 4-year or above",24303644.83,23947164.83,356480,54949244.93,79252889.73
"Tyler Junior College","Public"," 4-year or above",262519,262519,0,39689874.68,39952393.7
"U S Grant Joint Vocational School","Public"," 2-year",44588,44588,0,81676,126264
"Uintah Basin Applied Technology College","Public"," less-than 2-year",-1800,0,-1800,95007,93207
"Ulster BOCES School of Practical Nursing","Public"," less-than 2-year",0,0,0,433519,433519
"Ulster County Community College","Public"," 2-year",996158,996158,0,5950924.42,6947082.4
"Ultimate Medical Academy","Private not-for-profit"," 2-year",0,0,0,282894675,282894675
"Umpqua Community College","Public"," 2-year",1279961.33,1279961.33,0,6171760,7451721.33
"Unification Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,621792,621792
"Union College","Private not-for-profit"," 4-year or above",2140848,2140848,0,9094120,9094120
"Union College","Private not-for-profit"," 4-year or above",2140848,2140848,0,10810975.48,11132730.5
"Union College","Private not-for-profit"," 4-year or above",2140848,2140848,0,10985481.97,12804575
"Union County College","Public"," 2-year",2155187.28,2155187.28,0,27224821.63,29380008.88
"Union County Vocational Technical School","Public"," less-than 2-year",0,0,0,191377.72,191377.7
"Union Institute & University","Private not-for-profit"," 4-year or above",0,0,0,15515734,15515734
"Union Presbyterian Seminary","Private not-for-profit"," 4-year or above",0,0,0,159606,159606
"Union Theological Seminary in the City of New York","Private not-for-profit"," 4-year or above",-25086,0,-25086,2904969,2879883
"Union University","Private not-for-profit"," 4-year or above",90598,90598,0,40226717.66,40317315.7
"United States Sports Academy","Private not-for-profit"," 4-year or above",0,0,0,1437379,1437379
"United Talmudical Seminary","Private not-for-profit"," 4-year or above",0,0,0,13136756.76,13136756.8
"United Technical Center","Public"," less-than 2-year",0,0,0,155260.79,155260.8
"United Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,3065493,3065493
"United Theological Seminary of the Twin Cities","Private not-for-profit"," 4-year or above",0,0,0,528879,528879
"United Tribes Technical College","Private not-for-profit"," 4-year or above",14111766.81,14101766.97,9999.84,1672538.49,15784305.31
"Unity College","Private not-for-profit"," 4-year or above",0,0,0,7829581,7829581
"UnityPoint Health-Des Moines School of Radiologic Technology","Private not-for-profit"," 2-year",477808,0,477808,77603,555411
"Universidad Adventista de las Antillas","Private not-for-profit"," 4-year or above",1009113,1009113,0,10831433.5,11840546.5
"Universidad Central de Bayamon","Private not-for-profit"," 4-year or above",1353295,1353295,0,9243285.94,10596580.9
"Universidad del Sagrado Corazon","Private not-for-profit"," 4-year or above",4130280,4130280,0,13221387,17351667
"Universidad del Sagrado Corazon","Private not-for-profit"," 4-year or above",4130280,4130280,0,14907810,19038090
"Universidad Metropolitana","Private not-for-profit"," 4-year or above",2346176.56,2346176.56,0,129062186.71,131408363.3
"Universidad Politecnica de Puerto Rico","Private not-for-profit"," 4-year or above",5754448.4,5754448.4,0,26578128.24,32332576.6
"University at Buffalo","Public"," 4-year or above",0,0,0,216392605.55,216392605.6
"University of Akron","Public"," 4-year or above",8153770.13,8053780.13,99990,127379742.05,135533512.2
"University of Alabama at Birmingham","Public"," 4-year or above",359915237.05,335582176.37,24333060.68,194469146.07,554384383.2
"University of Alabama in Huntsville","Public"," 4-year or above",51664435.84,40296114,11368321.84,42194794,93859229.84
"University of Alaska Anchorage","Public"," 4-year or above",17055203.61,16098353.4,956850.21,44219734,61274937.61
"University of Alaska Fairbanks","Public"," 4-year or above",109158367.88,93518847.52,15639520.36,21541681.87,130700049.8
"University of Alaska Southeast","Public"," 4-year or above",3237086.83,3242086.83,-5000,5873933.65,9111020.43
"University of Arizona","Public"," 4-year or above",293937943.6,254441567.61,39496375.99,320814024.93,614751968.5
"University of Arkansas","Public"," 4-year or above",53995121.6,53893025.6,102096,128558923.05,182554044.7
"University of Arkansas at Little Rock","Public"," 4-year or above",8220490.59,8220490.59,0,65679839.72,73900330.29
"University of Arkansas at Monticello","Public"," 4-year or above",9406,0,9406,20161646.14,20171052.1
"University of Arkansas at Pine Bluff","Public"," 4-year or above",9966583.17,9915938.42,50644.75,16179706.88,26146290.07
"University of Arkansas Community College Rich Mountain","Public"," 2-year",1902453.3,1902453.3,0,1792005,3694458.3
"University of Arkansas Community College-Batesville","Public"," 2-year",242136,242136,0,4134736.53,4376872.5
"University of Arkansas Community College-Hope","Public"," 2-year",1001172.75,1001172.75,0,3753347,4754519.75
"University of Arkansas Community College-Morrilton","Public"," 2-year",0,0,0,6801293.18,6801293.2
"University of Arkansas for Medical Sciences","Public"," 4-year or above",64133407.41,59567557,4565850.41,51506691,115640098.4
"University of Arkansas-Fort Smith","Public"," 4-year or above",803338,803338,0,29696285.66,30499623.7
"University of Baltimore","Public"," 4-year or above",7991981.2,7991981.2,0,54434084.63,62426065.8
"University of Bridgeport","Private not-for-profit"," 4-year or above",708190,708190,0,51609895.4,52318085.4
"University of California Office of the President",NA,NA,5424366.87,5417403.13,6963.74,0,5424366.87
"University of California-Berkeley","Public"," 4-year or above",1380601092.09,369245759.06,1011355333.03,199211435,1579812527
"University of California-Davis","Public"," 4-year or above",455942898.57,434777467.2,21165431.37,199192223.88,655135122.5
"University of California-Hastings College of Law","Public"," 4-year or above",258772.4,130382,128390.4,30500549,30759321.4
"University of California-Irvine","Public"," 4-year or above",273694983.08,271080709.74,2614273.34,198296061.17,471991044.3
"University of California-Los Angeles","Public"," 4-year or above",596002944.07,584277237.97,11725706.1,287895169.62,883898113.7
"University of California-Merced","Public"," 4-year or above",22187866.79,22187866.79,0,53236529.91,75424396.69
"University of California-Riverside","Public"," 4-year or above",91877323.23,90806285.64,1071037.59,142562553,234439876.2
"University of California-San Diego","Public"," 4-year or above",747272439.07,725901059.27,21371379.8,157448376.85,904720816
"University of California-San Francisco","Public"," 4-year or above",751744806.78,732375793,19369013.78,50757689,802502495.8
"University of California-Santa Barbara","Public"," 4-year or above",121578251.12,107959319.32,13618931.8,124372787.03,245951038.1
"University of California-Santa Cruz","Public"," 4-year or above",81474606.79,80201740.28,1272866.51,108769048.56,190243655.4
"University of Central Arkansas","Public"," 4-year or above",803834.83,803834.83,0,70451650.31,71255485.13
"University of Central Florida","Public"," 4-year or above",93396453.65,71699722.96,21696730.69,357836679.3,451233133
"University of Central Missouri","Public"," 4-year or above",2464703,2464703,0,62193243.77,64657946.8
"University of Central Oklahoma","Public"," 4-year or above",9037357,9031271,6086,77190483.07,86227840.1
"University of Charleston","Private not-for-profit"," 4-year or above",364527,364527,0,23653806.72,24018333.7
"University of Chicago","Private not-for-profit"," 4-year or above",423533999.17,293270003.22,130263995.95,98559573.69,522093572.9
"University of Cincinnati","Public"," 4-year or above",106348261.85,101750976.56,4597285.29,314026623.62,420374885.5
"University of Colorado Boulder","Public"," 4-year or above",380489188.16,333529831.99,46959356.17,174255253.96,554744442.2
"University of Colorado Colorado Springs","Public"," 4-year or above",3435853.63,3346359,89494.63,83568054.62,87003908.23
"University of Colorado Denver/Anschutz Medical Campus","Public"," 4-year or above",286952347.86,280895235.38,6057112.48,210630002.57,497582350.5
"University of Connecticut","Public"," 4-year or above",151994684.91,144866764.3,7127920.61,219985763.98,371980448.9
"University of Dallas","Private not-for-profit"," 4-year or above",-350,-350,0,17933751.4,17933401.4
"University of Dayton","Private not-for-profit"," 4-year or above",126490171.41,14820974.83,111669196.58,65744771,192234942.4
"University of Delaware","Public"," 4-year or above",130177914.89,126625797.58,3552117.31,119225667.64,249403582.5
"University of Denver","Private not-for-profit"," 4-year or above",17607693.17,17494678.16,113015.01,153063758,170671451.2
"University of Detroit Mercy","Private not-for-profit"," 4-year or above",7871811.1,7309597,562214.1,85755354.75,93627165.9
"University of Dubuque","Private not-for-profit"," 4-year or above",244284,244284,0,21842361,22086645
"University of Evansville","Private not-for-profit"," 4-year or above",0,0,0,17581155.63,17581155.6
"University of Florida","Public"," 4-year or above",347214380.69,339373435.02,7840945.67,292944684,640159064.7
"University of Fort Lauderdale","Private not-for-profit"," 4-year or above",0,0,0,647816.5,647816.5
"University of Georgia","Public"," 4-year or above",169772871.96,165471544.68,4301327.28,214250561,384023433
"University of Great Falls","Private not-for-profit"," 4-year or above",496294,496294,0,4925148.27,5421442.3
"University of Guam","Public"," 4-year or above",7423761.44,7231261.44,192500,13522860.04,20946621.44
"University of Hartford","Private not-for-profit"," 4-year or above",1023053.2,1023053.2,0,58151942,59174995.2
"University of Hawaii at Hilo","Public"," 4-year or above",10197744.02,10169216.95,28527.07,32910680,43108424.02
"University of Hawaii at Manoa","Public"," 4-year or above",219118595.33,195708525.06,23410070.27,110083414.15,329202009.4
"University of Hawaii Maui College","Public"," 4-year or above",6221206,6221206,0,5694462,11915668
"University of Hawaii-West Oahu","Public"," 4-year or above",4517906.85,4517906.85,0,11584656.54,16102563.35
"University of Holy Cross","Private not-for-profit"," 4-year or above",0,0,0,11447968.82,11447968.8
"University of Houston","Public"," 4-year or above",67567653.89,66823806.16,743847.73,247188993.1,314756647
