"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"University of Arkansas-Fort Smith","AR","Public, 4-year or above","6830","6",803338,0,0,7864516,8084921,568232,4692,13173924.66,NA,NA,NA
"University of Baltimore","MD","Public, 4-year or above","3485","2885",4491981.2,3500000,0,5282093,33735529,237496,10205332,4973634.63,NA,154800,533150
"University of Bridgeport","CT","Private not-for-profit, 4-year or above","3021","2536",618639,89551,0,7337599,26148195,5801191,5602405,6720505.4,NA,NA,NA
"University of California Office of the President","CA",NA,NA,NA,2785849.13,2631554,6963.74,NA,NA,NA,NA,0,NA,NA,NA
"University of California-Berkeley","CA","Public, 4-year or above","27126","10693",58286285.08,310959473.98,1011355333.03,25710586,58521154,30872563,40101815,44005317,NA,NA,NA
"University of California-Davis","CA","Public, 4-year or above","27565","6929",153848111.25,280929355.95,21165431.37,37860102,53858634,31639593,18428703,57405191.88,NA,NA,NA
"University of California-Hastings College of Law","CA","Public, 4-year or above","NULL","950",130382,0,128390.4,0,12919493,0,17581056,NA,NA,NA,NA
"University of California-Irvine","CA","Public, 4-year or above","24489","5580",47898474.09,223182235.65,2614273.34,40933736,52386481,36464422,17961798,50549624.17,NA,NA,NA
"University of California-Los Angeles","CA","Public, 4-year or above","29633","12323",98170439.46,486106798.51,11725706.1,37589822,97043380,40976396,56010905,56274666.62,NA,NA,NA
"University of California-Merced","CA","Public, 4-year or above","5884","448",6627946.94,15559919.85,0,14094460,6527969,6988695,58037,25567368.91,NA,NA,NA
"University of California-Riverside","CA","Public, 4-year or above","18790","2778",16539100.58,74267185.06,1071037.59,34793160,28896969,17402236,5194155,56276033,NA,NA,NA
"University of California-San Diego","CA","Public, 4-year or above","24810","6316",117116198.51,608784860.76,21371379.8,40563097,36917181,20024524,7022437,52921137.85,NA,NA,NA
"University of California-San Francisco","CA","Public, 4-year or above","NULL","3107",135392819,596982974,19369013.78,0,35991676,0,14766013,NA,NA,NA,NA
"University of California-Santa Barbara","CA","Public, 4-year or above","20238","2890",10874081.7,97085237.62,13618931.8,29194466,20047986,27709554,1799361,45621420.03,NA,NA,NA
"University of California-Santa Cruz","CA","Public, 4-year or above","16277","1637",24986481.23,55215259.05,1272866.51,29173323,18955934,27477226,1009732,32152833.56,NA,NA,NA
"University of Central Arkansas","AR","Public, 4-year or above","9842","1867",334834.83,469000,0,14573705,28162357,9229807,850768,17635013.31,NA,NA,NA
"University of Central Florida","FL","Public, 4-year or above","52671","8291",14115935.92,57583787.04,21696730.69,90242710,135967649,15747176,3295867,112583277.34,NA,NA,NA
"University of Central Missouri","MO","Public, 4-year or above","9838","4394",2197253,267450,0,14707899,27946935,5816798,0,13721611.77,NA,NA,NA
"University of Central Oklahoma","OK","Public, 4-year or above","14998","1843",7683402,1347869,6086,20347146,30352638,5310025,229262,20951412.07,NA,NA,NA
"University of Charleston","WV","Private not-for-profit, 4-year or above","1513","600",364527,0,0,2849673,11876532,1742064,4264743,2920794.72,NA,NA,NA
"University of Chicago","IL","Private not-for-profit, 4-year or above","5738","9508",47567961.31,245702041.91,130263995.95,1198702,41713830,4914295,47512596,3220150.69,NA,NA,NA
"University of Cincinnati","OH","Public, 4-year or above","24300","11033",24195039.15,77555937.41,4597285.29,51072745,143130812,55530157,25152270,39140639.62,NA,NA,NA
"University of Colorado Boulder","CO","Public, 4-year or above","26557","5914",85584498.92,247945333.07,46959356.17,26191839,49995258,65243577,10247552,22577027.96,NA,NA,NA
"University of Colorado Colorado Springs","CO","Public, 4-year or above","9629","2018",1517925,1828434,89494.63,16816136,31619261,17448774,2232455,15451428.62,27768,207680,606171
"University of Colorado Denver/Anschutz Medical Campus","CO","Public, 4-year or above","13509","9635",66293023.37,214602212.01,6057112.48,19521413,116266369,14025512,41614781,19201927.57,NA,NA,NA
"University of Connecticut","CT","Public, 4-year or above","18395","8217",34845642.41,110021121.89,7127920.61,37480170,77293732,61892275,13460260,29859326.98,NA,NA,NA
"University of Dallas","TX","Private not-for-profit, 4-year or above","1327","1045",0,-350,0,2505286,11272329,1940513,637385,1578238.4,383548,112503,334380
"University of Dayton","OH","Private not-for-profit, 4-year or above","8529","2585",128956.83,14692018,111669196.58,12177423,27355736,16111512,5825324,4274776,NA,NA,NA
"University of Delaware","DE","Public, 4-year or above","17458","3752",36374982.34,90250815.24,3552117.31,28113515,37014073,39348060,2261567,12488452.64,NA,NA,NA
"University of Denver","CO","Private not-for-profit, 4-year or above","5643","6039",6485107,11009571.16,113015.01,6570020,73995365,11749042,56196641,4552690,NA,NA,NA
"University of Detroit Mercy","MI","Private not-for-profit, 4-year or above","2762","2248",7126186,183411,562214.1,5598378,40828639,5868960,29596012,3863365.75,NA,NA,NA
"University of Dubuque","IA","Private not-for-profit, 4-year or above","1758","337",244284,0,0,5410746,8519631,2796430,592888,4522666,NA,NA,NA
"University of Evansville","IN","Private not-for-profit, 4-year or above","2420","164",0,0,0,3486407,6523282,3491571,1783941,2295954.63,NA,NA,NA
"University of Florida","FL","Public, 4-year or above","32829","17243",82863470.55,256509964.47,7840945.67,28029709,157337163,18625508,33961450,54990854,NA,NA,NA
"University of Fort Lauderdale","FL","Private not-for-profit, 4-year or above","29","9",0,0,0,162598,277118,0,0,208100.5,NA,NA,NA
"University of Georgia","GA","Public, 4-year or above","26882","8583",46776708.15,118694836.53,4301327.28,28621145,99302335,38287695,16847151,31192235,NA,NA,NA
"University of Great Falls","MT","Private not-for-profit, 4-year or above","1043","80",496294,0,0,1100837,2361188,495756,14705,952662.27,NA,NA,NA
"University of Guam","GU","Public, 4-year or above","3660","295",5029684.66,2201576.78,192500,2709531,3058141,76220,9201,7669767.04,NA,NA,NA
"University of Hartford","CT","Private not-for-profit, 4-year or above","4956","1666",153500,869553.2,0,11662942,20944103,17772406,1438671,6333820,NA,NA,NA
"University of Hawaii at Hilo","HI","Public, 4-year or above","3362","569",8740435.95,1428781,28527.07,4526206,14179356,1438275,6094702,6672141,NA,NA,NA
"University of Hawaii at Manoa","HI","Public, 4-year or above","14126","5176",80967132.4,114741392.66,23410070.27,15895855,37777383,29349624,9731916,17328636.15,NA,NA,NA
"University of Hawaii Maui College","HI","Public, 4-year or above","3809","NULL",5241674,979532,0,945776,1220366,19132,0,3509188,NA,NA,NA
"University of Hawaii-West Oahu","HI","Public, 4-year or above","2661","NULL",4381270.85,136636,0,3425568,3353901,68399,0,4736788.54,NA,NA,NA
"University of Holy Cross","LA","Private not-for-profit, 4-year or above","902","220",0,0,0,2048326,6953702,401001,357661,1687278.82,NA,NA,NA
"University of Houston","TX","Public, 4-year or above","33037","7874",13357644.15,53466162.01,743847.73,53097052,103561548,13365339,8595903,68569151.1,NA,NA,NA
"University of Idaho","ID","Public, 4-year or above","8615","2256",17061267.73,26420899.83,511044.77,13236056,25003048,9797589,5620091,13157097,NA,NA,NA
"University of Illinois at Chicago","IL","Public, 4-year or above","16718","11473",63064072.57,132045612.45,3942946.8,32633466,130927400,20666716,63169844,48850134.33,NA,NA,NA
"University of Illinois at Springfield","IL","Public, 4-year or above","3038","2465",0,43448,0,4795187,12249366,1606618,193450,4254953.06,NA,NA,NA
"University of Illinois at Urbana-Champaign","IL","Public, 4-year or above","32959","12474",52527906.88,235187622.91,12456618.67,39829510,80425107,72720630,19271184,37945961.39,NA,NA,NA
"University of Indianapolis","IN","Private not-for-profit, 4-year or above","4169","1304",640000,0,0,10567818,27487246,8141600,2499922,7839537.13,NA,NA,NA
"University of Iowa","IA","Public, 4-year or above","22354","7487",59782213.51,171410159.24,15397602.81,30631734,101991724,53916958,22723554,20602901.86,NA,NA,NA
"University of Jamestown","ND","Private not-for-profit, 4-year or above","892","116",0,0,0,1723960,4530677,768135,1051750,1129039,NA,NA,NA
"University of Kansas","KS","Public, 4-year or above","19343","8014",48748542.91,104795715.88,2804535.72,26634597,94508327,56641239,11926146,19375180.21,NA,NA,NA
"University of Kentucky","KY","Public, 4-year or above","22223","7022",64251599.26,142706911.95,11238055.96,30744328,99613524,41427308,23426304,24121212.76,NA,NA,NA
"University of La Verne","CA","Private not-for-profit, 4-year or above","5211","3120",1204557,199025,0,13844054,41252718,11051756,8819099,10135216.29,NA,NA,NA
"University of Louisiana at Lafayette","LA","Public, 4-year or above","15574","1638",9626302.13,6127279.67,689320.31,22594825,35409663,8484883,225685,24483677,NA,NA,NA
"University of Louisiana at Monroe","LA","Public, 4-year or above","7215","1322",1863183.33,974356,45679,10361869,27687513,2432586,1175134,13567904,NA,NA,NA
"University of Louisville","KY","Public, 4-year or above","15961","5526",22070747.49,61352402.85,9294427.59,19669973,86403908,11053211,29071750,20369470,NA,NA,NA
"University of Maine","ME","Public, 4-year or above","9339","1625",21507218.97,24956075.1,3962994.28,17878435,23316668,11991754,482847,12343133,NA,NA,NA
"University of Maine at Augusta","ME","Public, 4-year or above","4664","NULL",1278497,0,0,5519993,6803430,83374,0,8092645.44,NA,NA,NA
"University of Maine at Farmington","ME","Public, 4-year or above","1773","221",4027535.13,0,0,4353660,3783592,1189905,0,3800527.75,NA,NA,NA
"University of Maine at Fort Kent","ME","Public, 4-year or above","1327","NULL",317177,0,0,1772073,2258268,152140,0,1733256,NA,NA,NA
"University of Maine at Machias","ME","Public, 4-year or above","810","NULL",0,0,0,868906,817036,107354,0,1412641,NA,NA,NA
"University of Maine at Presque Isle","ME","Public, 4-year or above","1138","NULL",1334431.22,0,0,1228887,1215920,103492,0,1876791.65,NA,NA,NA
"University of Mary","ND","Private not-for-profit, 4-year or above","2036","823",1388344,0,0,4416477,19334743,608867,469991,2160917,NA,NA,NA
"University of Mary Hardin-Baylor","TX","Private not-for-profit, 4-year or above","3110","677",0,0,0,8410202,13594746,12148445,1246027,6292224.73,NA,NA,NA
"University of Mary Washington","VA","Public, 4-year or above","4167","327",89624.55,5523,297110.91,6304919,9096589,4839932,26991,3802698.06,NA,NA,NA
"University of Maryland Center for Environmental Science","MD",NA,NA,NA,6973769.7,3683205,104076.25,NA,NA,NA,NA,0,NA,NA,NA
"University of Maryland Eastern Shore","MD","Public, 4-year or above","3570","723",7609386,6986370,6500,6707690,13741937,6550362,2385448,6941106.21,NA,NA,NA
"University of Maryland-Baltimore County","MD","Public, 4-year or above","11379","2596",5409461.7,34312044.1,1113936.3,14316075,19784468,12798032,500417,15782846.88,NA,NA,NA
"University of Maryland-College Park","MD","Public, 4-year or above","27056","10697",58711597.94,243867995.04,18272959.61,31205948,56733847,36738932,13263204,26482587.53,NA,NA,NA
"University of Maryland-University College","MD","Public, 4-year or above","35154","12893",0,0,65730,38761575,155175369,375615,4222250,39823389.64,NA,NA,NA
"University of Maryland, Baltimore","MD","Public, 4-year or above","792","5463",121542031,162183306,33537674.67,1610341,75120376,458612,54342750,1060355.86,NA,NA,NA
"University of Massachusetts Medical School Worcester","MA","Public, 4-year or above","NULL","1079",34828451,142062935,44670189.27,16500,14686299,0,3788412,NA,NA,NA,NA
"University of Massachusetts-Amherst","MA","Public, 4-year or above","22252","6521",25286579.13,77886197.53,3981038.92,46513331,62370419,21289169,1319226,25497034.43,NA,NA,NA
"University of Massachusetts-Boston","MA","Public, 4-year or above","12108","4081",51692911.16,12918048.22,393945.51,23709966,37003748,3162949,986138,24780311.42,NA,NA,NA
"University of Massachusetts-Dartmouth","MA","Public, 4-year or above","7185","1621",1921882.56,3423418.8,3735.66,16149271,24230700,9180707,2957750,11829093.23,NA,NA,NA
"University of Massachusetts-Lowell","MA","Public, 4-year or above","12983","4184",6162146.08,19814359.06,5651501.23,26003810,40966533,8449008,516727,16448945.78,NA,NA,NA
"University of Memphis","TN","Public, 4-year or above","17071","3941",3731099.86,10324409,242658.53,33506047,62307655,11891054,5387590,37501055,NA,NA,NA
"University of Miami","FL","Private not-for-profit, 4-year or above","11175","5725",66001310.67,143504904.43,9236942.43,10530319,65310565,18412243,59769621,7522142.32,334519,2680693,2131476
"University of Michigan-Ann Arbor","MI","Public, 4-year or above","28395","15339",140048427.93,676955828.93,48598787.63,29199810,125519990,28301145,50985586,25085159,NA,NA,NA
"University of Michigan-Dearborn","MI","Public, 4-year or above","7171","1864",0,0,0,12778288,17965050,4154067,133406,14531170,NA,NA,NA
"University of Michigan-Flint","MI","Public, 4-year or above","7078","1602",0,0,0,11391483,26901518,1963555,3097415,10790543,NA,NA,NA
"University of Minnesota-Duluth","MN","Public, 4-year or above","9987","1041",0,4010113,12000,15503905,32728728,6081740,1980282,9420246,NA,NA,NA
"University of Minnesota-Morris","MN","Public, 4-year or above","1899","NULL",803770,287306,0,1629656,2423878,984214,0,2246357,NA,NA,NA
"University of Minnesota-Twin Cities","MN","Public, 4-year or above","34351","16607",95311522.73,376826643.3,24441931.33,40690218,176934830,47840651,44083546,28965394.08,NA,NA,NA
"University of Mississippi","MS","Public, 4-year or above","18101","4427",19717792.49,18575705.58,11120766.99,23983725,68762514,34959832,9852630,22217417,NA,NA,NA
"University of Mississippi Medical Center","MS",NA,NA,NA,12545286,29318543,9092890.08,NA,NA,NA,NA,0,NA,NA,NA
"University of Missouri-Columbia","MO","Public, 4-year or above","27642","7633",47170055.97,70927917.14,4817433.34,30068382,80983364,47132877,8975419,20189430,NA,NA,NA
"University of Missouri-Kansas City","MO","Public, 4-year or above","10453","5442",8737928,5684241.49,7728051,13552234,72960476,8069181,15305354,13744183,NA,NA,NA
"University of Missouri-St Louis","MO","Public, 4-year or above","13874","3193",3346877.31,4882746,0,15322239,38646627,2408178,1407846,14105720.11,NA,NA,NA
"University of Mobile","AL","Private not-for-profit, 4-year or above","1466","124",0,0,0,3391897,6293017,2296647,110301,2666924,NA,NA,NA
"University of Montevallo","AL","Public, 4-year or above","2664","467",4971448.14,254243,0,4605827,8236942,3106391,270513,4604908,NA,NA,NA
"University of Mount Olive","NC","Private not-for-profit, 4-year or above","3406","120",658958,0,0,8562550,14016288,1559124,14592,7305607.84,NA,224433,146230
"University of Mount Union","OH","Private not-for-profit, 4-year or above","2174","97",0,0,0,5250151,7364017,6611549,2249839,2985011,NA,NA,NA
"University of Nebraska at Kearney","NE","Public, 4-year or above","5274","1639",635789,0,0,7161482,13782020,3851715,47674,7412445.65,NA,NA,NA
"University of Nebraska at Omaha","NE","Public, 4-year or above","12221","3038",9966230,8419825.85,420457.08,15920340,29934215,8565246,305505,20577798,NA,NA,NA
"University of Nebraska Medical Center","NE","Public, 4-year or above","850","2905",15891564,81457752,2400245.51,2094802,38570793,525821,12509588,831117.19,NA,NA,NA
"University of Nebraska-Lincoln","NE","Public, 4-year or above","19979","5078",25906129.34,61665119.44,2915581.88,26814580,43178080,37513711,3448978,21394007,NA,NA,NA
"University of Nevada-Las Vegas","NV","Public, 4-year or above","23803","4804",17633081.82,17674848.19,308247.18,28692972,73619680,18146936,20896816,42812692.73,NA,NA,NA
"University of Nevada-Reno","NV","Public, 4-year or above","16839","3128",19804062.04,50300426.97,1418292.76,20249406,40420938,18862284,1721265,21641711,NA,NA,NA
"University of New England","ME","Private not-for-profit, 4-year or above","2749","3994",4768948.8,3310652,475889.23,7197428,67044732,7949683,48899735,1213163,NA,NA,NA
"University of New Hampshire-Main Campus","NH","Public, 4-year or above","12831","2321",32026225.5,31455464.76,3329919.32,33653189,40922068,27271005,3119674,13772046.56,NA,NA,NA
"University of New Haven","CT","Private not-for-profit, 4-year or above","5048","1784",427629,269463,4999,13327856,23635668,26084030,1392617,6101399,NA,NA,NA
"University of New Mexico-Main Campus","NM","Public, 4-year or above","21792","5938",45326381.27,82091473.7,14910747.84,23598657,69803448,1880258,6168129,42024808.31,NA,NA,NA
"University of New Orleans","LA","Public, 4-year or above","7152","1822",3033225.74,2180311,0,8427877,16855638,1418527,215105,11717127.69,NA,NA,NA
"University of North Alabama","AL","Public, 4-year or above","5885","986",1044390,0,0,10829640,17773245,5754356,86523,10970933.74,NA,NA,NA
"University of North Carolina at Asheville","NC","Public, 4-year or above","3804","33",432631.25,0,16537,5975069,6035284,2287331,0,5895233.59,NA,NA,NA
"University of North Carolina at Chapel Hill","NC","Public, 4-year or above","18350","10669",178841444.11,444819475.48,25058749.07,14968771,110077969,8819157,49998910,20654105,NA,NA,NA
"University of North Carolina at Charlotte","NC","Public, 4-year or above","22216","5251",9001616.47,23539328.8,25696,44776463,68128017,23580997,1923801,43221405,NA,NA,NA
"University of North Carolina at Greensboro","NC","Public, 4-year or above","15313","3302",4403567.4,9696240.32,1475533,36497723,51713661,14432712,860902,39761139.46,NA,NA,NA
"University of North Carolina at Pembroke","NC","Public, 4-year or above","5511","761",1967366.69,533038,0,13589048,22508339,3483789,467451,15844628.91,NA,NA,NA
"University of North Carolina School of the Arts","NC","Public, 4-year or above","854","114",0,0,0,1632154,3121133,2150301,434202,1182262,NA,NA,NA
"University of North Carolina Wilmington","NC","Public, 4-year or above","12964","1683",1362132.73,1995373.45,54980,23330614,35719701,16357741,669985,18565112.5,NA,NA,NA
"University of North Dakota","ND","Public, 4-year or above","11537","3374",34018541.01,19023089.91,511857.5,14527205,47118582,3947419,3070231,8335712,NA,NA,NA
"University of North Florida","FL","Public, 4-year or above","14121","1858",548818,783455.05,12000,14897944,31367588,3176830,2290381,19056340.52,NA,NA,NA
"University of North Georgia","GA","Public, 4-year or above","15507","560",1868830,417461,6353.1,16246171,25471010,3621883,159147,27403389.63,NA,NA,NA
"University of North Texas","TX","Public, 4-year or above","29758","6766",3223453.55,8490208.63,89600,53920343,83249089,55802367,663729,55792923.3,NA,NA,NA
"University of North Texas at Dallas","TX","Public, 4-year or above",NA,NA,995423,242136,0,4853272,13317261,480506,1069240,6825284.03,NA,NA,NA
"University of North Texas Health Science Center","TX","Public, 4-year or above","NULL","2382",10956356.47,26092243.71,35151456.97,0,39821526,0,3167206,NA,NA,NA,NA
"University of Northern Colorado","CO","Public, 4-year or above","9469","2786",2674103.27,2706770,0,14790475,37897026,18636267,4796575,13772735,NA,NA,NA
"University of Northern Iowa","IA","Public, 4-year or above","10142","1812",2278122.19,220290.28,885309.56,15792059,25322066,11508595,707176,12557139,NA,NA,NA
"University of Northwestern Ohio","OH","Private not-for-profit, 4-year or above","4045","90",0,0,0,8231540,9058927,6009728,0,7512523.36,NA,NA,NA
"University of Northwestern-St Paul","MN","Private not-for-profit, 4-year or above","3222","219",0,0,0,4678136,5156087,4726770,24266,2555990,NA,NA,NA
"University of Notre Dame","IN","Private not-for-profit, 4-year or above","8448","3830",7299909.45,67051869.48,7553075.04,8163831,23755195,12141710,16652975,4119896,NA,NA,NA
"University of Oklahoma-Norman Campus","OK","Public, 4-year or above","21011","6131",48585786.53,36999568.53,21916234.54,29089563,108291008,32439918,21220269,25029319.4,NA,NA,NA
"University of Oregon","OR","Public, 4-year or above","20559","3494",22190787.74,57382682.27,873516.52,23375749,45468257,68164454,13930529,21701807,NA,NA,NA
"University of Pennsylvania","PA","Private not-for-profit, 4-year or above","11548","13288",70571418.84,549059297.3,17665988.17,4455506,90666778,11404054,84271609,8440812,NA,NA,NA
"University of Pikeville","KY","Private not-for-profit, 4-year or above","1929","627",2272134,0,0,2864989,29035173,941614,9447276,3772590.83,NA,NA,NA
"University of Pittsburgh Medical Center-Shadyside School of Nursing","PA","Private not-for-profit, 2-year","265","NULL",0,0,0,908506,1575574,159388,0,554972.23,NA,NA,NA
"University of Pittsburgh-Pittsburgh Campus","PA","Public, 4-year or above","18757","9741",124323092.1,493369339.12,23634024.66,47264688,118406378,51396756,36120441,22625734,NA,NA,NA
"University of Portland","OR","Private not-for-profit, 4-year or above","3674","568",-78348,0,0,6358380,7724966,16233228,656656,2952035.45,NA,NA,NA
"University of Puerto Rico-Arecibo","PR","Public, 4-year or above","3791","NULL",338568,0,0,411050,0,0,0,20348147.86,NA,NA,NA
"University of Puerto Rico-Bayamon","PR","Public, 4-year or above","4974","NULL",321755,0,0,856847,23500,0,0,18836985.95,NA,NA,NA
"University of Puerto Rico-Carolina","PR","Public, 4-year or above","3843","NULL",-107569.87,0,0,540110,0,0,0,11396163.72,NA,NA,NA
"University of Puerto Rico-Cayey","PR","Public, 4-year or above","3687","NULL",490734,1080664,0,422331,2500,0,0,15282739.24,NA,NA,NA
"University of Puerto Rico-Humacao","PR","Public, 4-year or above","3628","NULL",1308313,903584,0,936400,7000,0,0,17703141.29,NA,NA,NA
"University of Puerto Rico-Mayaguez","PR","Public, 4-year or above","11133","1000",7532538.69,7625899,564640.94,9854453,1776881,0,0,54594344.82,NA,NA,NA
"University of Puerto Rico-Medical Sciences","PR","Public, 4-year or above","453","1869",21333203.5,20381854,65850.01,369804,25330874,0,875193,1629035.91,NA,NA,NA
"University of Puerto Rico-Ponce","PR","Public, 4-year or above","3230","NULL",249640,623987,0,1689504,1500,0,0,16804818.77,NA,NA,NA
"University of Puerto Rico-Rio Piedras","PR","Public, 4-year or above","12362","3440",3074464.07,14753843.97,145800,3695753,12180292,0,98806,49950641.5,NA,NA,NA
"University of Puerto Rico-Utuado","PR","Public, 4-year or above","1385","NULL",0,122500,0,153000,0,0,0,4142337.5,NA,NA,NA
"University of Puget Sound","WA","Private not-for-profit, 4-year or above","2553","298",0,723843,0,3671990,7207113,6261699,3241797,1606864,NA,NA,NA
"University of Redlands","CA","Private not-for-profit, 4-year or above","3779","1722",0,0,0,7547113,25893988,7863183,2256560,4482630.5,NA,NA,NA
"University of Rhode Island","RI","Public, 4-year or above","13589","2972",20812390.06,34449051.37,1919245.07,27841659,34925725,27664647,983685,17558675.34,NA,NA,NA
"University of Richmond","VA","Private not-for-profit, 4-year or above","3346","852",599755,1490115.45,0,4329544,9371419,4094002,4683611,2771192,NA,NA,NA
"University of Rio Grande","OH","Private not-for-profit, 4-year or above","2147","50",0,0,0,3399601,3922834,759243,3227,4225444.08,1000,93866,134799
"University of Rochester","NY","Private not-for-profit, 4-year or above","6266","4801",45823134.36,237025300.83,15486176.3,10600638,27477071,9067300,6995044,5734684,NA,NA,NA
"University of Saint Francis-Fort Wayne","IN","Private not-for-profit, 4-year or above","1861","436",315868,0,15000,4382510,10068684,2303191,907888,3267892,NA,NA,NA
"University of Saint Joseph","CT","Private not-for-profit, 4-year or above","987","1593",762124,649650,0,2650555,25291248,2046643,5516373,1567593.5,NA,NA,NA
"University of Saint Mary","KS","Private not-for-profit, 4-year or above","917","552",0,104826,-7415,2040126,8906298,1185938,1988634,1435059.26,NA,NA,NA
"University of Saint Mary of the Lake","IL","Private not-for-profit, 4-year or above","NULL","275",0,0,0,0,37454,0,0,NA,NA,NA,NA
"University of San Diego","CA","Private not-for-profit, 4-year or above","5741","2604",1236871,1837014,558700,7851441,39997378,29602357,29239354,4484752,NA,NA,NA
"University of San Francisco","CA","Private not-for-profit, 4-year or above","6845","4015",224716.93,116997.95,0,12765492,50477217,19731059,31047052,8974169.33,NA,NA,NA
"University of Science and Arts of Oklahoma","OK","Public, 4-year or above","904","NULL",708438,0,0,1387822,1170052,224686,0,2048112,NA,NA,NA
"University of Scranton","PA","Private not-for-profit, 4-year or above","3998","1512",0,905111,0,8597591,23726468,13169888,1311695,3255021,NA,NA,NA
"University of Sioux Falls","SD","Private not-for-profit, 4-year or above","1108","258",0,0,0,3175982,4629760,928747,0,1769240,NA,NA,NA
"University of South Alabama","AL","Public, 4-year or above","11479","4687",9783609.39,12528611,280678.3,21433603,73717794,25646854,10567736,21057924,NA,NA,NA
"University of South Carolina-Aiken","SC","Public, 4-year or above","3256","92",0,0,0,6612316,7613059,2786036,12399,6683189.37,NA,NA,NA
"University of South Carolina-Beaufort","SC","Public, 4-year or above","1794","NULL",35192417.23,58301651.17,1894462.88,4781154,4867506,2965535,0,4158226.41,NA,NA,NA
"University of South Carolina-Columbia","SC","Public, 4-year or above","24866","8487",899861,-54302.12,-233948.54,37998466,136179848,48045621,21917858,25948501.04,NA,NA,NA
"University of South Carolina-Salkehatchie","SC","Public, 2-year","1076","NULL",0,0,0,1315479,1300996,154450,0,2175677,NA,NA,NA
"University of South Carolina-Sumter","SC","Public, 2-year","878","NULL",0,0,0,737681,735377,22021,0,1637704,NA,NA,NA
"University of South Carolina-Union","SC","Public, 2-year","679","NULL",0,0,0,664531,707686,102012,0,1217797,NA,NA,NA
"University of South Carolina-Upstate","SC","Public, 4-year or above","5397","360",448488,0,0,14110285,14629172,5893993,0,13418846.89,NA,NA,NA
"University of South Dakota","SD","Public, 4-year or above","7541","2536",10815811.92,10127557,389708.64,12340963,39127462,6290669,7033170,7722893.18,NA,NA,NA
"University of South Florida","FL","Public, 4-year or above","30155","10956",30587535.24,89427625.53,6543255.33,55694785,137748866,13694540,10269162,70816974.86,NA,NA,NA
"University of Southern California","CA","Private not-for-profit, 4-year or above","18739","24591",78279130.58,325084483.13,81469085.1,21976702,292433640,49099571,282379983,16360448.96,NA,NA,NA
"University of Southern Indiana","IN","Public, 4-year or above","8414","909",1601491,0,0,11590978,19936098,4582250,193393,11411985.53,NA,NA,NA
"University of Southern Maine","ME","Public, 4-year or above","6628","1613",4036026.25,-4146,0,9708001,21658450,2416578,2901009,10346555,NA,NA,NA
"University of Southern Mississippi","MS","Public, 4-year or above","12005","2711",16997460.91,14582690,9262618.88,25874252,44729134,10593656,3462324,28294879.32,NA,NA,NA
"University of St Francis","IL","Private not-for-profit, 4-year or above","1762","2289",-36098,790498,0,3995896,15004207,3524601,2038371,2735792.29,NA,NA,NA
"University of St Thomas","MN","Private not-for-profit, 4-year or above","6234","4005",233950,949855,310045.5,10402796,36608064,6020074,5404671,4886284,NA,NA,NA
"University of St Thomas","TX","Private not-for-profit, 4-year or above","1608","1591",523338.36,0,0,2656124,14188749,1430949,599264,3239807,NA,NA,NA
"University of Texas Health Science Center at Tyler","TX","Public, 4-year or above","NULL","17",3458032,3463252,6000,0,268642,0,38740,NA,NA,NA,NA
"University of Texas Southwestern Medical Center","TX","Public, 4-year or above","NULL","2295",15179368,170721581.21,15234982.43,0,19890817,0,1306619,NA,NA,NA,NA
"University of the Cumberlands","KY","Private not-for-profit, 4-year or above","2623","3376",0,0,0,3791177,34779538,1361956,2091931,5773653.12,NA,NA,NA
"University of the District of Columbia","DC","Public, 4-year or above","4491","320",6827534.18,784315.79,-138369.47,5481965,13665934,284724,3914769,7585737,NA,NA,NA
"University of the Incarnate Word","TX","Private not-for-profit, 4-year or above","6496","2221",1304423.94,936528,630661.42,11355237,49258479,11238942,23865713,10873932.34,NA,NA,NA
"University of the Ozarks","AR","Private not-for-profit, 4-year or above","587","NULL",295928,0,20260,1172040,948878,302317,0,1367224.28,NA,NA,NA
"University of the Pacific","CA","Private not-for-profit, 4-year or above","3810","2546",1681103.6,1331856,2893500.78,7821552,58042352,20016465,63339198,6520753,NA,NA,NA
"University of the Sciences","PA","Private not-for-profit, 4-year or above","1752","1121",0,1240918,0,3348733,16379498,4841935,10224681,1572748.55,NA,NA,NA
"University of the Southwest","NM","Private not-for-profit, 4-year or above","371","613",0,0,0,1074861,7493898,622472,344346,1161330.21,NA,NA,NA
"University of the Virgin Islands","VI","Public, 4-year or above","2110","183",7754852.77,3850388.68,0,1327708,2243556,99738,88008,4194353.54,NA,NA,NA
"University of the West","CA","Private not-for-profit, 4-year or above","168","179",0,0,0,145629,640766,40459,17707,254577.11,NA,NA,NA
"University of Toledo","OH","Public, 4-year or above","16115","4313",8941280.18,14284008.02,-2546581.26,23008985,66774379,18798792,15658568,22887624,NA,NA,NA
"University of Tulsa","OK","Private not-for-profit, 4-year or above","3473","1193",1328137,2289002.08,250000,3290578,11227994,4948710,2328654,3162731.9,NA,NA,NA
"University of Utah","UT","Public, 4-year or above","23895","7798",86948333.47,218254810.28,19535766.34,25604832,98205091,6729762,17963422,31441665.49,NA,NA,NA
