"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Georgia Piedmont Technical College","GA","Public, 2-year","4050","NULL",-44880.27,0,0,3381555,5595603,0,0,4166111.06,NA,NA,NA
"Georgia Southern University","GA","Public, 4-year or above","18029","2496",2740176.65,1452712,0,42087294,71874719,21833734,1504375,43016218.33,317957,468344,472768
"Georgia Southwestern State University","GA","Public, 4-year or above","2527","320",0,0,0,4244001,9422077,776140,0,4925734.14,NA,NA,NA
"Georgia State University","GA","Public, 4-year or above","25328","6918",12658250.28,44970710.82,1663846.82,68875832,127181298,16421104,7894805,102943757.77,NA,NA,NA
"Georgian Court University","NJ","Private not-for-profit, 4-year or above","1621","594",871387,0,0,4273949,8922960,2153679,225396,3326084,NA,NA,NA
"Germanna Community College","VA","Public, 2-year","7282","NULL",0,0,0,1347806,2209042,55036,0,6235092.84,NA,NA,NA
"Gettysburg College","PA","Private not-for-profit, 4-year or above","2447","NULL",564206,39500,41668.06,4994028,3616347,6658523,0,1773585,NA,NA,NA
"Glen Oaks Community College","MI","Public, 2-year","1104","NULL",692136,0,0,470765,347986,54919,0,1462961.62,NA,NA,NA
"Glendale Community College","AZ","Public, 2-year","20506","NULL",585003,0,0,6031075,2343518,0,0,24555078,NA,467768,984345
"Glendale Community College","CA","Public, 2-year","15114","NULL",640722,0,0,1137995,747476,30863,0,22295371,NA,467768,984345
"Glenville State College","WV","Public, 4-year or above","1802","NULL",267329,0,0,2356759,2612427,670719,0,3749365,NA,NA,NA
"Goddard College","VT","Private not-for-profit, 4-year or above","191","328",0,0,0,600283,3915120,22549,832483,479919,NA,NA,NA
"Gods Bible School and College","OH","Private not-for-profit, 4-year or above","301","NULL",0,0,0,113290,77829,0,0,512478.63,NA,NA,NA
"Gogebic Community College","MI","Public, 2-year","1121","NULL",272491,0,0,785991,600235,35283,0,1673882,NA,NA,NA
"Golden Gate University-San Francisco","CA","Private not-for-profit, 4-year or above","513","2277",0,0,0,755203,15373767,0,9059633,501035.45,NA,NA,NA
"Golden State College of Court Reporting","CA","Private not-for-profit, 2-year","64","NULL",0,0,0,11779,11293,0,0,9740,NA,NA,NA
"Goldey-Beacom College","DE","Private not-for-profit, 4-year or above","641","1369",0,0,0,1040636,1534380,221211,0,1523704,NA,NA,NA
"Gonzaga University","WA","Private not-for-profit, 4-year or above","4837","2429",125778.94,0,1500,7518246,31170733,10665181,7694564,2994189,NA,NA,NA
"Good Samaritan College of Nursing and Health Science","OH","Private not-for-profit, 4-year or above","356","NULL",0,0,0,875635,1314654,190420,0,584448.35,NA,30673,19795
"Goodwin College","CT","Private not-for-profit, 4-year or above","3391","NULL",550742,0,0,12083705,18140654,874124,0,5217881,NA,NA,NA
"Gordon College","MA","Private not-for-profit, 4-year or above","1741","351",0,0,0,3367800,3267497,4142780,0,1641227,NA,NA,NA
"Gordon Cooper Technology Center","OK","Public, 2-year","922","NULL",0,0,4496,NA,NA,NA,NA,825496,NA,NA,NA
"Gordon State College","GA","Public, 4-year or above","4047","NULL",0,0,0,5429007,5579313,1033315,0,8900388.52,NA,NA,NA
"Gordon-Conwell Theological Seminary","MA","Private not-for-profit, 4-year or above","NULL","1924",0,0,0,0,3154513,0,42500,NA,NA,NA,NA
"Goshen College","IN","Private not-for-profit, 4-year or above","774","66",0,0,0,1745030,2311456,618733,3971,1186336,269954,268975,146856
"Goucher College","MD","Private not-for-profit, 4-year or above","1471","669",30170,88190,0,2989694,3974845,3614705,254957,2075535,NA,NA,NA
"Governors State University","IL","Public, 4-year or above","3585","2368",3199503,253769,0,8003598,26217982,1080008,2140163,8206984.21,247577,173635,328823
"Grace Bible College","MI","Private not-for-profit, 4-year or above","675","NULL",0,0,0,2789795,2966693,675285,0,3189707.2,NA,NA,NA
"Grace College of Barbering","NC","Private not-for-profit, less-than 2-year","43","NULL",0,0,0,13640,35350,0,0,21049,NA,NA,NA
"Grace Mission University","CA","Private not-for-profit, 4-year or above","120","110",0,0,0,NA,NA,NA,NA,196471,NA,NA,NA
"Grace School of Theology","TX","Private not-for-profit, 4-year or above","40","201",0,0,0,42966,330346,0,4815,73396,NA,NA,NA
"Grace University","NE","Private not-for-profit, 4-year or above","389","81",0,0,0,247999,456955,159499,0,185721,NA,30127,32639
"Graceland University-Lamoni","IA","Private not-for-profit, 4-year or above","1594","746",838124,0,0,3389567,14692847,1708815,88234,2806306,NA,NA,NA
"Graduate Theological Union","CA","Private not-for-profit, 4-year or above","NULL","208",0,0,0,0,802465,0,295677,NA,NA,NA,NA
"Grady Health System Professional Schools","GA","Public, 2-year","60","NULL",0,0,0,107931,208854,29667,0,153578.5,NA,NA,NA
"Graham Hospital School of Nursing","IL","Private not-for-profit, 2-year","82","NULL",0,0,0,94610,93390,5000,0,65500.31,NA,NA,NA
"Grambling State University","LA","Public, 4-year or above","3264","970",6019493.91,903354,0,13433744,33889933,11950275,4387930,17130590.08,NA,NA,NA
"Grand Rapids Community College","MI","Public, 2-year","15668","NULL",308771.46,0,0,9891244,7546332,292211,0,16417991,NA,NA,NA
"Grand River Technical School","MO","Public, less-than 2-year","103","NULL",0,0,0,NA,NA,NA,NA,169553.82,NA,NA,NA
"Grand Valley State University","MI","Public, 4-year or above","21636","3353",5973286.36,2471286,22284,40237237,70358931,48075290,7595082,29331835,NA,NA,NA
"Grand View University","IA","Private not-for-profit, 4-year or above","1965","67",550000,0,0,4441122,5215432,1959992,0,3289846.5,NA,NA,NA
"Gratz College","PA","Private not-for-profit, 4-year or above","8","187",0,0,0,2000,743680,0,0,NA,NA,NA,NA
"Grays Harbor College","WA","Public, 4-year or above","2006","NULL",671311,0,0,797682,755398,0,0,4022161.42,NA,NA,NA
"Grayson College","TX","Public, 2-year","4637","NULL",9872,0,0,1937315,2200070,71832,0,6568679.22,NA,NA,NA
"Great Basin College","NV","Public, 4-year or above","2994","35",-1066607.42,0,0,623333,1095469,0,0,2614665.19,NA,NA,NA
