"agency","subagency","institution","contracts","grants"
"Department of the Interior","U.S. Geological Survey","Gettysburg College",-3214.14,NA
"Department of the Interior","U.S. Geological Survey","Hamilton College",25000,NA
"Department of the Interior","U.S. Geological Survey","Idaho State University",-5760,71348.77
"Department of the Interior","U.S. Geological Survey","Illinois State University",10000,NA
"Department of the Interior","U.S. Geological Survey","Joliet Junior College",25000,NA
"Department of the Interior","U.S. Geological Survey","Lehigh University",11736,78155
"Department of the Interior","U.S. Geological Survey","Louisiana State University",19283.65,726938.67
"Department of the Interior","U.S. Geological Survey","Louisiana Universities Marine Consortium",42473.04,NA
"Department of the Interior","U.S. Geological Survey","Miami University-Oxford",7339,71978
"Department of the Interior","U.S. Geological Survey","Michigan State University",32635.73,770997.23
"Department of the Interior","U.S. Geological Survey","Mississippi State University",34750,409709.25
"Department of the Interior","U.S. Geological Survey","Missouri University of Science and Technology",18471.48,-3906.53
"Department of the Interior","U.S. Geological Survey","Montana State University",3390,278293.13
"Department of the Interior","U.S. Geological Survey","New Mexico State University-Main Campus",3150,633400.85
"Department of the Interior","U.S. Geological Survey","North Carolina State University at Raleigh",-14430.02,2427213.44
"Department of the Interior","U.S. Geological Survey","Northern Arizona University",-57.8,1079475.36
"Department of the Interior","U.S. Geological Survey","Northwestern University",10140,NA
"Department of the Interior","U.S. Geological Survey","Oregon State University",15127.14,3189948.46
"Department of the Interior","U.S. Geological Survey","Purdue University-Main Campus",97970,289900.52
"Department of the Interior","U.S. Geological Survey","Rensselaer Polytechnic Institute",7000,562500
"Department of the Interior","U.S. Geological Survey","South Dakota State University",220861,546291.94
"Department of the Interior","U.S. Geological Survey","Southern Illinois University-Carbondale",17014,65149
"Department of the Interior","U.S. Geological Survey","Stanford University",2633.5,119247.42
"Department of the Interior","U.S. Geological Survey","Stockton University",23010,NA
"Department of the Interior","U.S. Geological Survey","SUNY at Fredonia",11528.46,NA
"Department of the Interior","U.S. Geological Survey","Texas Tech University",206365,120377.97
"Department of the Interior","U.S. Geological Survey","The University of Texas at Austin",26620,329188.35
"Department of the Interior","U.S. Geological Survey","The University of Texas at El Paso",4550,NA
"Department of the Interior","U.S. Geological Survey","Truckee Meadows Community College",398957,127335
"Department of the Interior","U.S. Geological Survey","University of Alaska Anchorage",-6068.77,245678.09
"Department of the Interior","U.S. Geological Survey","University of Alaska Fairbanks",121308.75,7015061.91
"Department of the Interior","U.S. Geological Survey","University of Arizona",3008,3915431.85
"Department of the Interior","U.S. Geological Survey","University of Arkansas at Monticello",9406,NA
"Department of the Interior","U.S. Geological Survey","University of California Office of the President",7000,1600025
"Department of the Interior","U.S. Geological Survey","University of California-Davis",66877.4,689984.94
"Department of the Interior","U.S. Geological Survey","University of California-Irvine",3000,NA
"Department of the Interior","U.S. Geological Survey","University of California-Los Angeles",-22729.13,109557.95
"Department of the Interior","U.S. Geological Survey","University of California-Santa Barbara",49112,65786
"Department of the Interior","U.S. Geological Survey","University of California-Santa Cruz",4744,877642.86
"Department of the Interior","U.S. Geological Survey","University of Colorado Boulder",468486,1074856.9
"Department of the Interior","U.S. Geological Survey","University of Connecticut",44000,108202.95
"Department of the Interior","U.S. Geological Survey","University of Delaware",386712,359246.97
"Department of the Interior","U.S. Geological Survey","University of Florida",8229.7,876443.47
"Department of the Interior","U.S. Geological Survey","University of Georgia",104514,561685.91
"Department of the Interior","U.S. Geological Survey","University of Hawaii at Manoa",144000,1532520.74
"Department of the Interior","U.S. Geological Survey","University of Illinois at Urbana-Champaign",7423,2956514.19
"Department of the Interior","U.S. Geological Survey","University of Maryland-College Park",491159,441048.03
"Department of the Interior","U.S. Geological Survey","University of Massachusetts-Boston",391938,NA
"Department of the Interior","U.S. Geological Survey","University of Michigan-Ann Arbor",12600,28000
"Department of the Interior","U.S. Geological Survey","University of Minnesota-Twin Cities",27221.8,523487.56
"Department of the Interior","U.S. Geological Survey","University of Missouri-Columbia",17280.71,603326.15
"Department of the Interior","U.S. Geological Survey","University of Oregon",54448,667704.97
"Department of the Interior","U.S. Geological Survey","University of Rhode Island",30396,92244.6
"Department of the Interior","U.S. Geological Survey","University of South Carolina-Beaufort",17351,79976
"Department of the Interior","U.S. Geological Survey","University of South Florida",37305.84,1329759.71
"Department of the Interior","U.S. Geological Survey","University of Vermont",18390.5,324118.74
"Department of the Interior","U.S. Geological Survey","University of Virginia",13719,NA
"Department of the Interior","U.S. Geological Survey","University of Washington",23184.96,3236463.65
"Department of the Interior","U.S. Geological Survey","University of Wisconsin-Madison",530580.39,1634815.81
"Department of the Interior","U.S. Geological Survey","University of Wisconsin-Stevens Point",46834.7,663296.93
"Department of the Interior","U.S. Geological Survey","University of Wyoming",5801.6,816975.55
"Department of the Interior","U.S. Geological Survey","Utah State University",15300,372428.28
"Department of the Interior","U.S. Geological Survey","Virginia Polytechnic Institute and State University",1000,820686.5
"Department of the Interior","U.S. Geological Survey","Washington State University",22700.66,183486.27
"Department of the Treasury","Bureau of Engraving and Printing","Tarrant County College District",28995,NA
"Department of the Treasury","Bureau of the Fiscal Service","Auburn University",9660,NA
"Department of the Treasury","Bureau of the Fiscal Service","California Institute of Technology",399261,NA
"Department of the Treasury","Bureau of the Fiscal Service","Massachusetts Institute of Technology",3900,NA
"Department of the Treasury","Bureau of the Fiscal Service","Norwich University",-726,NA
"Department of the Treasury","Bureau of the Fiscal Service","University of Maryland-University College",-988.5,NA
"Department of the Treasury","Departmental Offices","Case Western Reserve University",-2288.19,NA
"Department of the Treasury","Departmental Offices","Georgetown University",5985,NA
"Department of the Treasury","Departmental Offices","Johns Hopkins University",17779.56,NA
"Department of the Treasury","Departmental Offices","University of Chicago",129142,NA
"Department of the Treasury","Departmental Offices","University of Maryland-University College",-90,NA
"Department of the Treasury","Departmental Offices","University of Pennsylvania",65011.5,NA
"Department of the Treasury","Departmental Offices","Washington University in St Louis",11700,NA
"Department of the Treasury","Internal Revenue Service","College of DuPage",10520,16200
"Department of the Treasury","Internal Revenue Service","Indian River State College",13425.12,NA
"Department of the Treasury","Internal Revenue Service","Macomb Community College",5100,NA
"Department of the Treasury","Internal Revenue Service","Schoolcraft College",8250,NA
"Department of the Treasury","Office of the Comptroller of the Currency","American University",-0.04,NA
"Department of the Treasury","Office of the Comptroller of the Currency","University of Chicago",92593,NA
"Department of the Treasury","Office of the Comptroller of the Currency","University of Pennsylvania",49535,NA
"Department of Transportation","Federal Aviation Administration","Baylor College of Medicine",176530,NA
"Department of Transportation","Federal Aviation Administration","Carnegie Mellon University",-1000,NA
"Department of Transportation","Federal Aviation Administration","Embry-Riddle Aeronautical University",782105.5,327716
"Department of Transportation","Federal Aviation Administration","Florida Institute of Technology",143877,240000
"Department of Transportation","Federal Aviation Administration","Georgia Institute of Technology-Main Campus",300000,852499
"Department of Transportation","Federal Aviation Administration","Iowa State University",5000,-30
"Department of Transportation","Federal Aviation Administration","Johns Hopkins University",-20500,NA
"Department of Transportation","Federal Aviation Administration","Mississippi State University",12500,989872
"Department of Transportation","Federal Aviation Administration","Oklahoma State University",13650,NA
"Department of Transportation","Federal Aviation Administration","Pennsylvania College of Technology",-2475,NA
"Department of Transportation","Federal Aviation Administration","Stevens Institute of Technology",-36166.7,NA
"Department of Transportation","Federal Aviation Administration","Tufts University",1641.38,NA
"Department of Transportation","Federal Aviation Administration","University of Arizona",8569,NA
"Department of Transportation","Federal Aviation Administration","University of Kansas",47500,NA
"Department of Transportation","Federal Aviation Administration","University of Maryland-College Park",608160.34,129000
"Department of Transportation","Federal Highway Administration","Auburn University",-37899.07,173596.63
"Department of Transportation","Federal Highway Administration","Carnegie Mellon University",100000,11500
"Department of Transportation","Federal Highway Administration","CUNY City College",49618.48,35487.03
"Department of Transportation","Federal Highway Administration","Florida International University",80075,NA
"Department of Transportation","Federal Highway Administration","George Mason University",2300011.98,5000
"Department of Transportation","Federal Highway Administration","Iowa State University",2283504,255400
"Department of Transportation","Federal Highway Administration","Lehigh University",-21.57,NA
"Department of Transportation","Federal Highway Administration","Michigan State University",-521.969999999999,5000
"Department of Transportation","Federal Highway Administration","Montana State University",140715.02,1075633.11
"Department of Transportation","Federal Highway Administration","Northwestern University",-29.46,40500
"Department of Transportation","Federal Highway Administration","Ohio University",40000,NA
"Department of Transportation","Federal Highway Administration","Oklahoma State University",-232.44,-8178.57
"Department of Transportation","Federal Highway Administration","Rutgers University-New Brunswick",1518283,NA
"Department of Transportation","Federal Highway Administration","South Dakota State University",-4909.78,NA
"Department of Transportation","Federal Highway Administration","SUNY at Albany",149998,NA
"Department of Transportation","Federal Highway Administration","Texas A & M University-College Station",5576913.72,43539.98
"Department of Transportation","Federal Highway Administration","The University of Texas at Austin",3811,10000
"Department of Transportation","Federal Highway Administration","University of California-Berkeley",-158.56,22618.27
"Department of Transportation","Federal Highway Administration","University of California-Davis",419559.99,5000
"Department of Transportation","Federal Highway Administration","University of Florida",19125,11500
"Department of Transportation","Federal Highway Administration","University of Illinois at Urbana-Champaign",-16183.28,1500
"Department of Transportation","Federal Highway Administration","University of Maine",-1.06,NA
"Department of Transportation","Federal Highway Administration","University of Maryland-College Park",1557720,NA
"Department of Transportation","Federal Highway Administration","University of Maryland-University College",11652,NA
"Department of Transportation","Federal Highway Administration","University of North Carolina at Chapel Hill",-28637.37,2206500
"Department of Transportation","Federal Highway Administration","University of Virginia",4660000,NA
"Department of Transportation","Federal Highway Administration","University of Wisconsin-Madison",924297,5000
"Department of Transportation","Federal Highway Administration","Virginia Polytechnic Institute and State University",802043.68,NA
"Department of Transportation","Federal Motor Carrier Safety Administration","Virginia Polytechnic Institute and State University",204949.6,NA
"Department of Transportation","Federal Railroad Administration","American University",145427.35,NA
"Department of Transportation","Federal Railroad Administration","Harvard University",15500,NA
"Department of Transportation","Federal Railroad Administration","Kansas State University",400012,NA
"Department of Transportation","Federal Railroad Administration","Massachusetts Institute of Technology",499999.1,NA
"Department of Transportation","Federal Railroad Administration","Michigan Technological University",248438.7,NA
"Department of Transportation","Federal Railroad Administration","Pennsylvania State University",322848,NA
"Department of Transportation","Federal Railroad Administration","Rutgers University-New Brunswick",413923.8,NA
"Department of Transportation","Federal Railroad Administration","University of California-San Diego",424911,-2.39
"Department of Transportation","Federal Railroad Administration","University of Florida",168984,NA
"Department of Transportation","Federal Railroad Administration","University of Illinois at Urbana-Champaign",330619,NA
"Department of Transportation","Federal Railroad Administration","Virginia Polytechnic Institute and State University",207903,NA
"Department of Transportation","Federal Transit Administration","Rutgers University-New Brunswick",9000,5000000
"Department of Transportation","Immediate Office of the Secretary of Transportation","American University",40500,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Bentley University",9190,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Georgetown University",11995,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Indiana University-Bloomington",3896.25,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Johns Hopkins University",2098250,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Massachusetts Institute of Technology",101715.28,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Massachusetts Maritime Academy",3868.52,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Northeastern University",13883,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","Pennsylvania State University",44697,2570600
"Department of Transportation","Immediate Office of the Secretary of Transportation","Tufts University",13200,NA
"Department of Transportation","Immediate Office of the Secretary of Transportation","University of Michigan-Ann Arbor",49489,2605200
"Department of Transportation","Maritime Administration","American University",28980,NA
"Department of Transportation","Maritime Administration","California State University Maritime Academy",259296.74,184000
"Department of Transportation","Maritime Administration","Georgetown University",10795,NA
"Department of Transportation","Maritime Administration","Maine Maritime Academy",125000,184000
"Department of Transportation","Maritime Administration","Massachusetts Maritime Academy",323750,88000
"Department of Transportation","Maritime Administration","St Thomas University",-10944,NA
"Department of Transportation","Maritime Administration","SUNY Maritime College",23661.68,192000
"Department of Transportation","Maritime Administration","Texas A & M University-College Station",4297.15,128000
"Department of Transportation","National Highway Traffic Safety Administration","American University",71211.94,NA
"Department of Transportation","National Highway Traffic Safety Administration","Emory University",948341,NA
"Department of Transportation","National Highway Traffic Safety Administration","George Mason University",371976,NA
"Department of Transportation","National Highway Traffic Safety Administration","Indiana University-Bloomington",234996,NA
"Department of Transportation","National Highway Traffic Safety Administration","Kettering University",-20120.6,NA
"Department of Transportation","National Highway Traffic Safety Administration","Medical College of Wisconsin",1504127.4,NA
"Department of Transportation","National Highway Traffic Safety Administration","Ohio State University",682251,NA
"Department of Transportation","National Highway Traffic Safety Administration","Texas A & M University-College Station",7105,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Alabama at Birmingham",437797,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Iowa",346996.16,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Maryland, Baltimore",418580,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Massachusetts-Amherst",178722.75,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Michigan-Ann Arbor",5451388.53,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Utah",1798862,NA
"Department of Transportation","National Highway Traffic Safety Administration","University of Virginia",682243.35,NA
"Department of Transportation","National Highway Traffic Safety Administration","Virginia Polytechnic Institute and State University",2082020.57,NA
"Department of Transportation","National Highway Traffic Safety Administration","Wake Forest University",679535,NA
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Colorado School of Mines",535126,1073745.45
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","George Mason University",4295,NA
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","North Carolina State University at Raleigh",172851,NA
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Vanderbilt University",238000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Albany Medical College",184001.19,NA
"Department of Veterans Affairs","Department of Veterans Affairs","American University",102250,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Arizona State University-Tempe",142646,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Armstrong State University",37722,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Augusta University",4318763.41,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Baylor College of Medicine",734190.52,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Black Hills State University",147882,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Boston University",2127609.21,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Brown University",331670.19,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Bucks County Community College",38235,NA
"Department of Veterans Affairs","Department of Veterans Affairs","California State Polytechnic University-Pomona",29279,NA
"Department of Veterans Affairs","Department of Veterans Affairs","California State University-Monterey Bay",561.84,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Carnegie Mellon University",-2263.64,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Case Western Reserve University",449706.39,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Chamberlain College of Nursing-Administrative Office",-85.64,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Clemson University",75000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Cleveland Clinic Health System-School of Diagnostic Imaging",190700.18,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Cleveland Institute of Art",2232.6,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Colorado State University-Fort Collins",61600,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Columbia University in the City of New York",94316.92,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Covenant School of Nursing and Allied Health",4000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Creighton University",85752.54,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Cuyahoga Community College District",5322.82,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Dartmouth College",151809.54,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Duke University",3958876.34,NA
"Department of Veterans Affairs","Department of Veterans Affairs","East Tennessee State University",88600,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Eastern Virginia Medical School",101962,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Eastern Washington University",6996,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Emory University",494147.68,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Essex County College",4600,NA
"Department of Veterans Affairs","Department of Veterans Affairs","George Mason University",164860,NA
"Department of Veterans Affairs","Department of Veterans Affairs","George Washington University",-23493.59,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Georgetown University",306780,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Georgia Institute of Technology-Main Campus",62020,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Harvard University",1831765.62,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Icahn School of Medicine at Mount Sinai",694878.76,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Indiana University-Bloomington",4099033.58,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Iowa State University",10000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Irell & Manella Graduate School of Biological Sciences at City of Hope",9996,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Lester E Cox Medical Center-School of Medical Technology",65822.49,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Loma Linda University",9201633.73,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Louisiana State University",497180.87,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Loyola University Chicago",124175.66,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Madison Area Technical College",6200,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Massachusetts General Hospital Dietetic Internship",421274.28,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Mayo Clinic School of Medicine",4396,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Medical College of Wisconsin",2814342.15,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Medical University of South Carolina",5880434.95,NA
"Department of Veterans Affairs","Department of Veterans Affairs","New York University",5270635.22,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Northeastern University",-183754.73,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Northwestern University",82743.02,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Ohio State University",150000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Oregon Health & Science University",9036410.08,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Pardee RAND Graduate School",209407,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Pennsylvania State University",866039.89,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Pinellas Technical College-St. Petersburg",-1928.7,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Purdue University-Main Campus",-514309.71,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Rensselaer Polytechnic Institute",10715,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Rosalind Franklin University of Medicine and Science",19418,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Rutgers University-New Brunswick",914223.46,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Saint Cloud State University",5805,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Saint Louis University",544707.62,NA
"Department of Veterans Affairs","Department of Veterans Affairs","San Diego State University",9985,NA
"Department of Veterans Affairs","Department of Veterans Affairs","San Francisco State University",330000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","San Jose State University",-10.75,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Sanford Burnham Prebys Medical Discovery Institute",10045,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Sinclair Community College",18654.91,NA
"Department of Veterans Affairs","Department of Veterans Affairs","South Dakota State University",149720.6,NA
"Department of Veterans Affairs","Department of Veterans Affairs","St Petersburg College",37197.99,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Stanford University",3287571.84,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Stony Brook University",76311.25,NA
"Department of Veterans Affairs","Department of Veterans Affairs","SUNY Buffalo State",3574.48,NA
"Department of Veterans Affairs","Department of Veterans Affairs","SUNY College at Plattsburgh",11074,NA
"Department of Veterans Affairs","Department of Veterans Affairs","SUNY Downstate Medical Center",76958.36,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Syracuse University",813893.39,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Texas A & M University-College Station",-449.5,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Texas Southern University",20000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Texas Tech University Health Sciences Center",869486.76,NA
"Department of Veterans Affairs","Department of Veterans Affairs","The University of Tennessee-Health Science Center",96299.5,NA
"Department of Veterans Affairs","Department of Veterans Affairs","The University of Tennessee-Knoxville",77799,NA
"Department of Veterans Affairs","Department of Veterans Affairs","The University of Texas Health Science Center at Houston",250554.41,NA
"Department of Veterans Affairs","Department of Veterans Affairs","The University of Texas Health Science Center at San Antonio",7421813.27,NA
"Department of Veterans Affairs","Department of Veterans Affairs","The University of Texas MD Anderson Cancer Center",91473.2,NA
"Department of Veterans Affairs","Department of Veterans Affairs","The University of Texas Medical Branch",8016,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Thomas Jefferson University",406978.94,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Tufts University",11018.05,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Tulane University of Louisiana",85436,NA
"Department of Veterans Affairs","Department of Veterans Affairs","UnityPoint Health-Des Moines School of Radiologic Technology",14308,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Alabama at Birmingham",3272381.27,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Arizona",203114.74,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Arkansas for Medical Sciences",3921980.54,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-Davis",3647639.9,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-Hastings College of Law",2100,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-Irvine",236980.1,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-Los Angeles",72804,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-Riverside",298920.09,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-San Diego",918962.89,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-San Francisco",4639640.26,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of California-System Administration Central Office",28888,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Central Florida",383956,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Chicago",83505,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Cincinnati",2887843.56,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Colorado Boulder",199747,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Colorado Denver/Anschutz Medical Campus",2974515.05,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Connecticut",371560,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Denver",38704,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Florida",542793.24,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Hawaii at Manoa",185000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Illinois at Chicago",754016.62,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Iowa",5034740.7,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Kansas",430788.72,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Kentucky",125125.78,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Louisville",8384174.53,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Maryland-Baltimore County",31280,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Maryland-College Park",3006064.51,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Maryland, Baltimore",4109277.49,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Massachusetts-Boston",83557.51,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Massachusetts-Lowell",-0.05,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Miami",2311433.75,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Michigan-Ann Arbor",3362614.9,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Minnesota-Twin Cities",4854354.25,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Mississippi",18516.06,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Mississippi Medical Center",989346.24,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Missouri-Columbia",3818779.95,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Nebraska at Omaha",146688.36,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Nebraska Medical Center",16800,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Nevada-Reno",181541.68,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of New Hampshire-Main Campus",-28215.46,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of New Mexico-Main Campus",3280259.09,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of North Carolina at Chapel Hill",648919,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Oklahoma-Health Sciences Center",1209390.17,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Pennsylvania",563666.78,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Pittsburgh-Pittsburgh Campus",3383351.47,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Rochester",641079.24,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of South Carolina-Beaufort",134997.86,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of South Dakota",118817.46,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of South Florida",1145479.86,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Texas Health Science Center at Tyler",6000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Texas Southwestern Medical Center",14817754.43,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of the District of Columbia",-8219.47,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Utah",4476869.35,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Vermont",-2813.07,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Virginia",29243.57,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Washington",7814469.46,NA
"Department of Veterans Affairs","Department of Veterans Affairs","University of Wisconsin-Madison",3731920.17,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Upstate Medical University",68400,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Vanderbilt University",12459849.31,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Villanova University",4000,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Virginia Commonwealth University",191151,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Virginia Polytechnic Institute and State University",68250,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Wake Forest University",4018853.72,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Washington University in St Louis",109436,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Wayne State University",144640.98,NA
"Department of Veterans Affairs","Department of Veterans Affairs","West Virginia University",2355135.52,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Western Michigan University",54555.52,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Wright State University-Main Campus",72074.59,NA
"Department of Veterans Affairs","Department of Veterans Affairs","Yale University",4051942.04,NA
"Environmental Protection Agency","Environmental Protection Agency","Case Western Reserve University",59837,15000
"Environmental Protection Agency","Environmental Protection Agency","Colorado State University-Fort Collins",4165,897666
"Environmental Protection Agency","Environmental Protection Agency","Georgia Institute of Technology-Main Campus",50000,14995
"Environmental Protection Agency","Environmental Protection Agency","Michigan State University",13420.2,700000
"Environmental Protection Agency","Environmental Protection Agency","Montana State University",34871.34,262388
