"family","program_title","agency","subagency","Recipient","obligation"
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","New Jersey Institute of Technology",-1408
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","New York University",2950676
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","North Carolina Central University",1216837
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Northeast Ohio Medical University",1033200
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Northeastern University",488002
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Northwestern University",1125373
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Ohio State University",728698
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Ohio University",178719
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Old Dominion University",507702
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Oregon Health & Science University",8129870
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Oregon State University",325687
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Pardee RAND Graduate School",3450064
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Pennsylvania State University",2525246
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Purdue University-Main Campus",1438726
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Rockefeller University",381375
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Rush University",1812179
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","Rutgers University-New Brunswick",4167475
"Addiction and Recovery","Alcohol Research Programs","Department of Health and Human Services","National Institutes of Health","San Diego State University",2684300
