"source","target","value"
"National Aeronautics and Space Administration","Johns Hopkins University",294187817.57
"National Aeronautics and Space Administration","Harvard University",79349937.44
"National Aeronautics and Space Administration","University of Colorado Boulder",74162197.49
"National Aeronautics and Space Administration","University of Maryland-College Park",52943660.51
"National Agricultural Statistics Service","Virginia Polytechnic Institute and State University",500000
"National Agricultural Statistics Service","Cornell University",295220
"National Agricultural Statistics Service","University of Florida",129990
"National Agricultural Statistics Service","University of Nebraska-Lincoln",115000
"National Agricultural Statistics Service","University of Chicago",77313.8
"National Archives and Records Administration","Southern Methodist University",2290768.7
"National Archives and Records Administration","Texas A & M University-College Station",2085948.38
"National Archives and Records Administration","The University of Texas at Austin",539925.91
"National Archives and Records Administration","University of Michigan-Ann Arbor",504840.72
"National Archives and Records Administration","Rochester Institute of Technology",78878
"National Endowment for the Arts","Indiana University-Bloomington",235000
"National Endowment for the Arts","University of Michigan-Ann Arbor",180515
"National Endowment for the Arts","University of Rochester",160000
"National Endowment for the Arts","Universidad del Sagrado Corazon",150000
"National Endowment for the Arts","University of California-San Francisco",150000
"National Endowment for the Humanities","University of Arizona",1082979
"National Endowment for the Humanities","University of California-Berkeley",984581
"National Endowment for the Humanities","University of Virginia",972501
"National Endowment for the Humanities","University of Maryland-College Park",805996
"National Endowment for the Humanities","Northwestern University",786987.63
"National Geospatial-Intelligence Agency","California Institute of Technology",1083902
"National Highway Traffic Safety Administration","University of Michigan-Ann Arbor",5451388.53
"National Highway Traffic Safety Administration","Virginia Polytechnic Institute and State University",2082020.57
"National Highway Traffic Safety Administration","University of Utah",1798862
"National Highway Traffic Safety Administration","Medical College of Wisconsin",1504127.4
"National Highway Traffic Safety Administration","Emory University",948341
"National Historical Publications and Records Commission","University of Virginia",670905.67
"National Historical Publications and Records Commission","University of California-Merced",308900
"National Historical Publications and Records Commission","University of North Carolina at Greensboro",294603
"National Historical Publications and Records Commission","University of Georgia",256280
"National Historical Publications and Records Commission","Purdue University-Main Campus",250000
"National Institute of Food and Agriculture","University of Florida",35409665.56
"National Institute of Food and Agriculture","Michigan State University",26212151.92
"National Institute of Food and Agriculture","University of Minnesota-Twin Cities",26168313.75
"National Institute of Food and Agriculture","North Carolina State University at Raleigh",26048783.45
"National Institute of Food and Agriculture","University of California-Davis",25037719.55
"National Institute of Standards and Technology","University of Colorado Boulder",21637664.89
"National Institute of Standards and Technology","University of Maryland-College Park",18325211.46
"National Institute of Standards and Technology","University of Delaware",12435381.82
"National Institute of Standards and Technology","The University of Texas at Arlington",6805689
"National Institute of Standards and Technology","Iowa State University",6139681.68
"National Institutes of Health","Harvard University",797955567.39
"National Institutes of Health","Johns Hopkins University",691242908.14
"National Institutes of Health","University of California-San Francisco",638295529.28
"National Institutes of Health","University of Michigan-Ann Arbor",561478375
"National Institutes of Health","University of Pittsburgh-Pittsburgh Campus",527628098.36
"National Oceanic and Atmospheric Administration","University of Colorado Boulder",60588068.69
"National Oceanic and Atmospheric Administration","University of Oklahoma-Norman Campus",34374158.15
"National Oceanic and Atmospheric Administration","University of Washington",34073464.64
"National Oceanic and Atmospheric Administration","University of California-San Diego",29785229.19
"National Oceanic and Atmospheric Administration","University of Maryland-College Park",27422738.47
"National Park Service","Colorado State University-Fort Collins",6168182.31
"National Park Service","University of California-Davis",4535236.39
"National Park Service","Florida International University",2264996.55
"National Park Service","University of Arizona",1868649.56
"National Park Service","University of New Mexico-Main Campus",1355694.41
"National Protection and Programs Directorate","Pardee RAND Graduate School",3335595.49
"National Science Foundation","The University of Texas at Austin",141069497
"National Science Foundation","Cornell University",122636280
"National Science Foundation","Oregon State University",121563707
"National Science Foundation","Texas A & M University-College Station",119563122
"National Science Foundation","University of California-San Diego",113327686
"National Transportation Safety Board","Northwestern University",73425
"National Transportation Safety Board","University of Wisconsin-Madison",24885.58
"Natural Resources Conservation Service","University of Nebraska-Lincoln",34080
"Natural Resources Conservation Service","The University of Montana",25000
"Natural Resources Conservation Service","University of Alaska Fairbanks",25000
"Natural Resources Conservation Service","Elizabethtown College",20104
"Natural Resources Conservation Service","Purdue University-Main Campus",9386.2
"Nuclear Regulatory Commission","Pennsylvania State University",999672
"Nuclear Regulatory Commission","University of Florida",992034
"Nuclear Regulatory Commission","Clemson University",976613
"Nuclear Regulatory Commission","Massachusetts Institute of Technology",873712.92
"Nuclear Regulatory Commission","Virginia Commonwealth University",800998.59
"Occupational Safety and Health Administration","University of Wisconsin-Madison",4400785
"Occupational Safety and Health Administration","University of South Florida",2335692.22
"Occupational Safety and Health Administration","Indiana University of Pennsylvania-Main Campus",1844939.07
"Occupational Safety and Health Administration","Georgia Institute of Technology-Main Campus",1456194
"Occupational Safety and Health Administration","The University of Alabama",1067959
"Office of Assistant Secretary for Health","The University of Texas Health Science Center at San Antonio",3097680
"Office of Assistant Secretary for Health","University of Puerto Rico-Medical Sciences",2488000
"Office of Assistant Secretary for Health","Morehouse School of Medicine",1715872
"Office of Assistant Secretary for Health","University of Southern California",1399666
"Office of Assistant Secretary for Health","University of Missouri-Kansas City",1392000
"Office of Assistant Secretary for Preparedness and Response","Boston University",55000000
"Office of Assistant Secretary for Preparedness and Response","University of Maryland, Baltimore",8852722
"Office of Assistant Secretary for Preparedness and Response","Emory University",5422147
"Office of Assistant Secretary for Preparedness and Response","Florida International University",4838277.13
"Office of Assistant Secretary for Preparedness and Response","Massachusetts General Hospital Dietetic Internship",3000000
