"agency","subagency","Recipient","family","type","obligation"
"Department of Health and Human Services","National Institutes of Health","University of Utah","Social Wellness and Development","research grant",4963615
"Department of Health and Human Services","National Institutes of Health","University of Vermont","DEFENSE (OTHER) R&D","contract",-149453.39
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Early Childhood Programs","grant",570756
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Early Childhood Programs","research grant",570756
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Medical R&D","grant",43226948
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Medical R&D","research grant",41195978
"Department of Health and Human Services","National Institutes of Health","University of Vermont","MEDICAL R&D","contract",112607
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Medical R&D (Infectious Diseases)","grant",3109095
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Medical R&D (Infectious Diseases)","research grant",3109095
"Department of Health and Human Services","National Institutes of Health","University of Vermont","PROFESSIONAL SERVICES","contract",-34012.69
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Public Health (Tobacco)","grant",3900499
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Public Health (Tobacco)","research grant",3900499
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Research Support Programs","grant",50000
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Social Wellness and Development","grant",3115243
"Department of Health and Human Services","National Institutes of Health","University of Vermont","Social Wellness and Development","research grant",3115243
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Addiction and Recovery","grant",-19921
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Addiction and Recovery","research grant",-19921
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Early Childhood Programs","grant",5437558
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Early Childhood Programs","research grant",5437558
"Department of Health and Human Services","National Institutes of Health","University of Virginia","EDUCATION & TRAINING SERVICES","contract",47375
"Department of Health and Human Services","National Institutes of Health","University of Virginia","INSTALLATION OF EQUIPMENT","contract",35824
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Medical R&D","grant",122494459
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Medical R&D","research grant",118020750
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Medical R&D (Infectious Diseases)","grant",13646149
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Medical R&D (Infectious Diseases)","research grant",13646149
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Public Health (Tobacco)","grant",878302
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Public Health (Tobacco)","research grant",878302
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Research Support Programs","grant",1726148
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Social Wellness and Development","grant",1968148
"Department of Health and Human Services","National Institutes of Health","University of Virginia","Social Wellness and Development","research grant",1968148
"Department of Health and Human Services","National Institutes of Health","University of Washington","Addiction and Recovery","grant",5291637
"Department of Health and Human Services","National Institutes of Health","University of Washington","Addiction and Recovery","research grant",5291637
"Department of Health and Human Services","National Institutes of Health","University of Washington","ADMINISTRATIVE SUPPORT SERVICES","contract",266124.58
"Department of Health and Human Services","National Institutes of Health","University of Washington","Early Childhood Programs","grant",20543569
"Department of Health and Human Services","National Institutes of Health","University of Washington","Early Childhood Programs","research grant",20543569
"Department of Health and Human Services","National Institutes of Health","University of Washington","INSTRUMENTS & LABORATORY EQUIPMENT","contract",187192.15
"Department of Health and Human Services","National Institutes of Health","University of Washington","LABORATORY TESTING SERVICES","contract",83164.29
"Department of Health and Human Services","National Institutes of Health","University of Washington","LIVE ANIMALS","contract",206163.22
"Department of Health and Human Services","National Institutes of Health","University of Washington","MANAGEMENT SUPPORT SERVICES","contract",139987
"Department of Health and Human Services","National Institutes of Health","University of Washington","Medical R&D","grant",315920348
"Department of Health and Human Services","National Institutes of Health","University of Washington","Medical R&D","research grant",272493477
"Department of Health and Human Services","National Institutes of Health","University of Washington","MEDICAL R&D","contract",13125876.24
"Department of Health and Human Services","National Institutes of Health","University of Washington","Medical R&D (Infectious Diseases)","grant",64170480
"Department of Health and Human Services","National Institutes of Health","University of Washington","Medical R&D (Infectious Diseases)","research grant",64170480
"Department of Health and Human Services","National Institutes of Health","University of Washington","MEDICAL, DENTAL, VETERINARY EQUIPMENT","contract",31529
"Department of Health and Human Services","National Institutes of Health","University of Washington","PROFESSIONAL SERVICES","contract",115000
"Department of Health and Human Services","National Institutes of Health","University of Washington","Research Support Programs","grant",15749722
"Department of Health and Human Services","National Institutes of Health","University of Washington","Social Wellness and Development","grant",15055107
"Department of Health and Human Services","National Institutes of Health","University of Washington","Social Wellness and Development","research grant",15055107
"Department of Health and Human Services","National Institutes of Health","University of Washington","SPECIAL STUDIES - NOT R&D","contract",6854642
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Eau Claire","Medical R&D","grant",402161
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Eau Claire","Medical R&D","research grant",402161
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Addiction and Recovery","grant",2130286
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Addiction and Recovery","research grant",2130286
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Early Childhood Programs","grant",13013134
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Early Childhood Programs","research grant",13013134
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","LABORATORY TESTING SERVICES","contract",19086.56
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","LIVE ANIMALS","contract",26000
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Medical R&D","grant",226935639
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Medical R&D","research grant",194479514
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","MEDICAL R&D","contract",3904575.42
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Medical R&D (Infectious Diseases)","grant",41088606
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Medical R&D (Infectious Diseases)","research grant",41088606
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","PROFESSIONAL SERVICES","contract",127700.96
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Public Health (Tobacco)","grant",1418818
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Public Health (Tobacco)","research grant",1418818
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Research Support Programs","grant",25165605
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Social Wellness and Development","grant",4354830
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Madison","Social Wellness and Development","research grant",4354830
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Medical R&D","grant",3482981
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Medical R&D","research grant",2992892
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Medical R&D (Infectious Diseases)","grant",376299
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Medical R&D (Infectious Diseases)","research grant",376299
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Public Health (Tobacco)","grant",108731
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Public Health (Tobacco)","research grant",108731
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Social Wellness and Development","grant",889000
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Milwaukee","Social Wellness and Development","research grant",889000
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Oshkosh","Medical R&D","grant",407519
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Oshkosh","Medical R&D","research grant",407519
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Whitewater","Medical R&D","grant",575348
"Department of Health and Human Services","National Institutes of Health","University of Wisconsin-Whitewater","Medical R&D","research grant",575348
"Department of Health and Human Services","National Institutes of Health","University of Wyoming","Early Childhood Programs","grant",1570610
"Department of Health and Human Services","National Institutes of Health","University of Wyoming","Early Childhood Programs","research grant",1570610
"Department of Health and Human Services","National Institutes of Health","University of Wyoming","Medical R&D","grant",10668331
"Department of Health and Human Services","National Institutes of Health","University of Wyoming","Medical R&D","research grant",10834097
"Department of Health and Human Services","National Institutes of Health","University of Wyoming","Medical R&D (Infectious Diseases)","grant",949963
"Department of Health and Human Services","National Institutes of Health","University of Wyoming","Medical R&D (Infectious Diseases)","research grant",949963
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Early Childhood Programs","grant",563377
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Early Childhood Programs","research grant",563377
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Medical R&D","grant",15927406
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Medical R&D","research grant",14721545
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","MEDICAL R&D","contract",681082.88
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Medical R&D (Infectious Diseases)","grant",1316805
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Medical R&D (Infectious Diseases)","research grant",1316805
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Social Wellness and Development","grant",-675
"Department of Health and Human Services","National Institutes of Health","Upstate Medical University","Social Wellness and Development","research grant",-675
"Department of Health and Human Services","National Institutes of Health","Utah State University","Addiction and Recovery","grant",664577
"Department of Health and Human Services","National Institutes of Health","Utah State University","Addiction and Recovery","research grant",664577
"Department of Health and Human Services","National Institutes of Health","Utah State University","Early Childhood Programs","grant",573119
"Department of Health and Human Services","National Institutes of Health","Utah State University","Early Childhood Programs","research grant",573119
"Department of Health and Human Services","National Institutes of Health","Utah State University","Medical R&D","grant",941683
"Department of Health and Human Services","National Institutes of Health","Utah State University","Medical R&D","research grant",941683
"Department of Health and Human Services","National Institutes of Health","Utah State University","MEDICAL R&D","contract",3560308.53
"Department of Health and Human Services","National Institutes of Health","Utah State University","Medical R&D (Infectious Diseases)","grant",-27237
"Department of Health and Human Services","National Institutes of Health","Utah State University","Medical R&D (Infectious Diseases)","research grant",-27237
"Department of Health and Human Services","National Institutes of Health","Utah State University","Social Wellness and Development","grant",72172
"Department of Health and Human Services","National Institutes of Health","Utah State University","Social Wellness and Development","research grant",72172
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Addiction and Recovery","grant",1640729
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Addiction and Recovery","research grant",1640729
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Early Childhood Programs","grant",14352611
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Early Childhood Programs","research grant",14352611
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","LABORATORY TESTING SERVICES","contract",35867.49
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Medical R&D","grant",287646231
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Medical R&D","research grant",253191761
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","MEDICAL R&D","contract",6077455.16
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Medical R&D (Infectious Diseases)","grant",33098675
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Medical R&D (Infectious Diseases)","research grant",33098675
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","PROFESSIONAL SERVICES","contract",188931.19
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Research Support Programs","grant",16224854
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Social Wellness and Development","grant",2468181
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","Social Wellness and Development","research grant",2468181
"Department of Health and Human Services","National Institutes of Health","Vanderbilt University","SPECIAL STUDIES - NOT R&D","contract",19866
"Department of Health and Human Services","National Institutes of Health","Vassar College","Medical R&D","grant",-29647
"Department of Health and Human Services","National Institutes of Health","Vassar College","Medical R&D","research grant",-29647
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Addiction and Recovery","grant",6183761
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Addiction and Recovery","research grant",6183761
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Early Childhood Programs","grant",3552487
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Early Childhood Programs","research grant",3552487
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Medical R&D","grant",51164002
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Medical R&D","research grant",43453809
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","MEDICAL R&D","contract",1911043
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Medical R&D (Infectious Diseases)","grant",6048200
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Medical R&D (Infectious Diseases)","research grant",6048200
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","MEDICAL, DENTAL, VETERINARY EQUIPMENT","contract",38103.97
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","PROFESSIONAL SERVICES","contract",38315.25
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Public Health (Tobacco)","grant",4042188
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Public Health (Tobacco)","research grant",4042188
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Research Support Programs","grant",-4598
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Social Wellness and Development","grant",10147376
"Department of Health and Human Services","National Institutes of Health","Virginia Commonwealth University","Social Wellness and Development","research grant",10147376
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Addiction and Recovery","grant",738177
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Addiction and Recovery","research grant",738177
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Early Childhood Programs","grant",71949
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Early Childhood Programs","research grant",71949
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Medical R&D","grant",22788773
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Medical R&D","research grant",21535213
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","MEDICAL R&D","contract",1021.06
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Medical R&D (Infectious Diseases)","grant",4164503
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Medical R&D (Infectious Diseases)","research grant",4164503
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Public Health (Tobacco)","grant",727638
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Public Health (Tobacco)","research grant",727638
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Research Support Programs","grant",-131215
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Social Wellness and Development","grant",1161449
"Department of Health and Human Services","National Institutes of Health","Virginia Polytechnic Institute and State University","Social Wellness and Development","research grant",1161449
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Addiction and Recovery","grant",4901471
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Addiction and Recovery","research grant",4901471
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Early Childhood Programs","grant",848702
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Early Childhood Programs","research grant",848702
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Medical R&D","grant",97840961
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Medical R&D","research grant",88228830
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","MEDICAL R&D","contract",476100.98
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Medical R&D (Infectious Diseases)","grant",2210318
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Medical R&D (Infectious Diseases)","research grant",2210318
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Public Health (Tobacco)","grant",8867028
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Public Health (Tobacco)","research grant",8867028
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Social Wellness and Development","grant",4331490
"Department of Health and Human Services","National Institutes of Health","Wake Forest University","Social Wellness and Development","research grant",4331490
"Department of Health and Human Services","National Institutes of Health","Washington State University","Addiction and Recovery","grant",3265214
"Department of Health and Human Services","National Institutes of Health","Washington State University","Addiction and Recovery","research grant",3265214
"Department of Health and Human Services","National Institutes of Health","Washington State University","Early Childhood Programs","grant",3632841
"Department of Health and Human Services","National Institutes of Health","Washington State University","Early Childhood Programs","research grant",3632841
"Department of Health and Human Services","National Institutes of Health","Washington State University","Medical R&D","grant",21356880
"Department of Health and Human Services","National Institutes of Health","Washington State University","Medical R&D","research grant",16588557
"Department of Health and Human Services","National Institutes of Health","Washington State University","Medical R&D (Infectious Diseases)","grant",6029888
"Department of Health and Human Services","National Institutes of Health","Washington State University","Medical R&D (Infectious Diseases)","research grant",6029888
"Department of Health and Human Services","National Institutes of Health","Washington State University","Research Support Programs","grant",216829
"Department of Health and Human Services","National Institutes of Health","Washington State University","Social Wellness and Development","grant",1926230
"Department of Health and Human Services","National Institutes of Health","Washington State University","Social Wellness and Development","research grant",1926230
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Addiction and Recovery","grant",2302114
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Addiction and Recovery","research grant",2302114
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Early Childhood Programs","grant",20592308
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Early Childhood Programs","research grant",20592308
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","EDUCATION & TRAINING SERVICES","contract",4500
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","LABORATORY TESTING SERVICES","contract",160636.5
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Medical R&D","grant",396086365
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Medical R&D","research grant",364370490
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","MEDICAL R&D","contract",2254716
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Medical R&D (Infectious Diseases)","grant",51978056
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Medical R&D (Infectious Diseases)","research grant",51978056
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","PROFESSIONAL SERVICES","contract",77473.81
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Research Support Programs","grant",1818362
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Social Wellness and Development","grant",8187290
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","Social Wellness and Development","research grant",8187290
"Department of Health and Human Services","National Institutes of Health","Washington University in St Louis","SPECIAL STUDIES - NOT R&D","contract",17158
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Addiction and Recovery","grant",532638
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Addiction and Recovery","research grant",532638
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Early Childhood Programs","grant",384312
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Early Childhood Programs","research grant",384312
"Department of Health and Human Services","National Institutes of Health","Wayne State University","LABORATORY TESTING SERVICES","contract",28911.51
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Medical R&D","grant",50948341
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Medical R&D","research grant",46903636
"Department of Health and Human Services","National Institutes of Health","Wayne State University","MEDICAL R&D","contract",344000
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Medical R&D (Infectious Diseases)","grant",2072400
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Medical R&D (Infectious Diseases)","research grant",2072400
"Department of Health and Human Services","National Institutes of Health","Wayne State University","PROFESSIONAL SERVICES","contract",17150000
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Research Support Programs","grant",1552944
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Social Wellness and Development","grant",1514521
"Department of Health and Human Services","National Institutes of Health","Wayne State University","Social Wellness and Development","research grant",1514521
"Department of Health and Human Services","National Institutes of Health","Weber State University","Medical R&D","grant",273846
"Department of Health and Human Services","National Institutes of Health","Weber State University","Medical R&D","research grant",273846
"Department of Health and Human Services","National Institutes of Health","Webster University","Early Childhood Programs","grant",87769
"Department of Health and Human Services","National Institutes of Health","Webster University","Early Childhood Programs","research grant",87769
"Department of Health and Human Services","National Institutes of Health","Wellesley College","Early Childhood Programs","grant",640373
"Department of Health and Human Services","National Institutes of Health","Wellesley College","Early Childhood Programs","research grant",640373
"Department of Health and Human Services","National Institutes of Health","Wentworth Institute of Technology","Medical R&D","grant",352350
"Department of Health and Human Services","National Institutes of Health","Wentworth Institute of Technology","Medical R&D","research grant",352350
"Department of Health and Human Services","National Institutes of Health","Wesleyan University","Medical R&D","grant",1462864
"Department of Health and Human Services","National Institutes of Health","Wesleyan University","Medical R&D","research grant",1462864
"Department of Health and Human Services","National Institutes of Health","Wesleyan University","Social Wellness and Development","grant",82150
"Department of Health and Human Services","National Institutes of Health","Wesleyan University","Social Wellness and Development","research grant",82150
"Department of Health and Human Services","National Institutes of Health","West Virginia School of Osteopathic Medicine","Medical R&D (Infectious Diseases)","grant",-40052
"Department of Health and Human Services","National Institutes of Health","West Virginia School of Osteopathic Medicine","Medical R&D (Infectious Diseases)","research grant",-40052
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Early Childhood Programs","grant",484927
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Early Childhood Programs","research grant",484927
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Medical R&D","grant",22882828
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Medical R&D","research grant",21471617
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Medical R&D (Infectious Diseases)","grant",266202
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Medical R&D (Infectious Diseases)","research grant",266202
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Public Health (Tobacco)","grant",-24702
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Public Health (Tobacco)","research grant",-24702
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Social Wellness and Development","grant",2096386
"Department of Health and Human Services","National Institutes of Health","West Virginia University","Social Wellness and Development","research grant",2096386
"Department of Health and Human Services","National Institutes of Health","Western Carolina University","Medical R&D","grant",-8054
"Department of Health and Human Services","National Institutes of Health","Western Carolina University","Medical R&D","research grant",-8054
"Department of Health and Human Services","National Institutes of Health","Western Kentucky University","Medical R&D","grant",830798
"Department of Health and Human Services","National Institutes of Health","Western Kentucky University","Medical R&D","research grant",830798
"Department of Health and Human Services","National Institutes of Health","Western Michigan University","Medical R&D","grant",685397
"Department of Health and Human Services","National Institutes of Health","Western Michigan University","Medical R&D","research grant",685397
"Department of Health and Human Services","National Institutes of Health","Western Michigan University","Medical R&D (Infectious Diseases)","grant",604000
"Department of Health and Human Services","National Institutes of Health","Western Michigan University","Medical R&D (Infectious Diseases)","research grant",604000
"Department of Health and Human Services","National Institutes of Health","Western Michigan University","Social Wellness and Development","grant",701729
"Department of Health and Human Services","National Institutes of Health","Western Michigan University","Social Wellness and Development","research grant",701729
"Department of Health and Human Services","National Institutes of Health","Western University of Health Sciences","Medical R&D","grant",1591286
"Department of Health and Human Services","National Institutes of Health","Western University of Health Sciences","Medical R&D","research grant",1591286
"Department of Health and Human Services","National Institutes of Health","Western University of Health Sciences","Medical R&D (Infectious Diseases)","grant",423000
"Department of Health and Human Services","National Institutes of Health","Western University of Health Sciences","Medical R&D (Infectious Diseases)","research grant",423000
"Department of Health and Human Services","National Institutes of Health","Wheaton College","Medical R&D","grant",133893
"Department of Health and Human Services","National Institutes of Health","Wheaton College","Medical R&D","research grant",133893
"Department of Health and Human Services","National Institutes of Health","Wheeling Jesuit University","Medical R&D","grant",241367
"Department of Health and Human Services","National Institutes of Health","Wheeling Jesuit University","Medical R&D","research grant",241367
"Department of Health and Human Services","National Institutes of Health","Whitman College","Medical R&D","grant",249000
"Department of Health and Human Services","National Institutes of Health","Whitman College","Medical R&D","research grant",249000
"Department of Health and Human Services","National Institutes of Health","Wichita State University","Medical R&D","grant",1691954
"Department of Health and Human Services","National Institutes of Health","Wichita State University","Medical R&D","research grant",1691954
"Department of Health and Human Services","National Institutes of Health","Widener University","Medical R&D","grant",21600
"Department of Health and Human Services","National Institutes of Health","Widener University","Medical R&D","research grant",21600
"Department of Health and Human Services","National Institutes of Health","Williams College","Medical R&D","grant",369368
"Department of Health and Human Services","National Institutes of Health","Williams College","Medical R&D","research grant",369368
"Department of Health and Human Services","National Institutes of Health","Winston-Salem State University","Medical R&D","grant",1036635
"Department of Health and Human Services","National Institutes of Health","Winston-Salem State University","Medical R&D","research grant",1036635
"Department of Health and Human Services","National Institutes of Health","Worcester Polytechnic Institute","Medical R&D","grant",4509839
"Department of Health and Human Services","National Institutes of Health","Worcester Polytechnic Institute","Medical R&D","research grant",3712484
"Department of Health and Human Services","National Institutes of Health","Worcester Polytechnic Institute","Research Support Programs","grant",159669
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Early Childhood Programs","grant",295924
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Early Childhood Programs","research grant",295924
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Medical R&D","grant",4443316
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Medical R&D","research grant",4443316
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Medical R&D (Infectious Diseases)","grant",738795
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Medical R&D (Infectious Diseases)","research grant",738795
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Research Support Programs","grant",171298
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Social Wellness and Development","grant",766158
"Department of Health and Human Services","National Institutes of Health","Wright State University-Main Campus","Social Wellness and Development","research grant",766158
"Department of Health and Human Services","National Institutes of Health","Xavier University of Louisiana","Medical R&D","grant",2997065
"Department of Health and Human Services","National Institutes of Health","Xavier University of Louisiana","Medical R&D","research grant",2997065
"Department of Health and Human Services","National Institutes of Health","Xavier University of Louisiana","Research Support Programs","grant",4365243
"Department of Health and Human Services","National Institutes of Health","Yale University","Addiction and Recovery","grant",13491632
"Department of Health and Human Services","National Institutes of Health","Yale University","Addiction and Recovery","research grant",13491632
"Department of Health and Human Services","National Institutes of Health","Yale University","Early Childhood Programs","grant",10085964
"Department of Health and Human Services","National Institutes of Health","Yale University","Early Childhood Programs","research grant",10085964
"Department of Health and Human Services","National Institutes of Health","Yale University","Food and Nutrition","grant",166589
"Department of Health and Human Services","National Institutes of Health","Yale University","LABORATORY TESTING SERVICES","contract",21635
"Department of Health and Human Services","National Institutes of Health","Yale University","MAINTENANCE & REPAIR OF EQUIPMENT","contract",-0.2
"Department of Health and Human Services","National Institutes of Health","Yale University","Medical R&D","grant",345706068
"Department of Health and Human Services","National Institutes of Health","Yale University","Medical R&D","research grant",319388583
"Department of Health and Human Services","National Institutes of Health","Yale University","MEDICAL R&D","contract",415356.18
"Department of Health and Human Services","National Institutes of Health","Yale University","Medical R&D (Infectious Diseases)","grant",41473924
"Department of Health and Human Services","National Institutes of Health","Yale University","Medical R&D (Infectious Diseases)","research grant",41473924
"Department of Health and Human Services","National Institutes of Health","Yale University","PROFESSIONAL SERVICES","contract",39988
