cluster_final,coc_number,coc_name,Total_Year_Round_Beds,density,weighted_income,weighted_estimate_median_gross_rent,rent_pct_income,land_area,estimated_pop_2018,total_homeless,homeless_individuals,homeless_people_in_families
7,WV-508,West Virginia Balance of State CoC,939,63.50982425,11369.6,798.2,0.842457079,20219.36,449554,628,513,115
7,AR-508,Old Fort Homeless Coalition,178,62.0143703,12570,684,0.652983294,4191.98,127753,231,212,19
7,MN-502,Rochester/Southeast Minnesota CoC,502,61.57396538,15949.33333,894.6666667,0.673131584,11883.87,290227,497,232,265
7,TN-507,Jackson/West Tennessee CoC,143,60.43186355,9556,785,0.985768104,11090.54,97605,1026,606,420
7,NY-504,Cattaragus County CoC,50,60.00382161,12675,688,0.651360947,1308.35,76840,33,21,12
7,TX-701,Bryan/College Station/Brazos Valley CoC,163,59.90848254,8620,952,1.325290023,5443.77,226758,197,122,75
7,TX-604,Waco/McLennan County CoC,226,56.76091275,10001.87225,741.9785487,0.890207589,6438.11,365433,188,117,71
7,IL-520,Southern Illinois CoC,368,53.98793427,11018,667,0.726447631,10875.43,67056,282,144,138
7,VT-500,Vermont Balance of State CoC,671,53.65601048,13405.68729,842.1960261,0.753885429,8680.09,465739,932,525,407
7,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",119,53.06253244,11754,850,0.867789689,2543.32,70503,493,387,106
7,AR-503,Arkansas  Balance of State  CoC,564,52.41216431,10134.66667,771.6666667,0.913695566,16127.84,332518,768,666,102
7,CA-529,Lake County CoC,43,50.99724623,11858,1173,1.18704672,1256.46,64382,615,547,68
7,LA-505,Monroe/Northeast Louisiana CoC,249,50.48559954,7819,766,1.175597903,7043.87,154475,187,76,111
7,FL-517,"Hendry, Hardee, Highlands Counties CoC",95,50.31041298,11817,794,0.806296014,5019.12,105424,453,292,161
7,NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,75,49.12312272,12021.5,821.5,0.820030778,5223.65,219802,96,81,15
7,MS-501,Mississippi Balance of State CoC,764,48.78382937,10921.4,828.8,0.91065248,39692.21,486017,560,404,156
7,MD-510,Garrett County CoC,30,45.86153608,11604,630,0.651499483,647.1,29677,15,8,7
7,LA-507,Alexandria/Central Louisiana CoC,134,43.39541335,9677,819,1.01560401,7101.05,130562,177,152,25
