cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
5b,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,6,2,444.4007374,9200.14,989,12797,4088549,4.08,7.61,10.78,33.14137721,3724.3,3529,5605,3546,2059,939,3805,1800
5b,IL-501,"Rockford/Winnebago, Boone Counties CoC",6,2,431.3822285,794.08,741.5663607,12025.09468,342552,3.28,5.8,7.87,128.2162,2075.9,293,291,259,32,31,178,113
5b,PA-603,Beaver County CoC,6,2,389.2365025,434.71,652,13074,169205,4.12,6.97,8.8,115.549,1931.7,134,98,88,10,12,34,64
5b,NC-501,Asheville/Buncombe County CoC,6,2,380.8792849,656.67,859,12166,250112,5.32,5.66,7.97,96.24543796,2873.1,494,562,457,105,83,505,57
5b,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",6,2,376.4167698,2528.11,838.2650756,11604.12586,951623,4.26,5.89,8.94,49.62135036,3177.6,986,1092,875,217,92,932,160
5b,IL-504,Madison County CoC,6,2,372.7871098,715.58,779,12923,266759,4.07,6.48,8.66,80.9260949,2075.9,173,176,155,21,28,51,125
5b,VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",6,2,365.9439481,1718.05,1057.694018,13704.42635,628710,3.99,7.02,8.9,39.9635,1930.3,597,703,634,69,82,572,131
5b,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",6,2,365.8682783,1618.26,981.6325739,11708.05412,592070,4.28,5.72,9.57,0,3415.5,220,1732,183,1549,57,750,982
5b,CA-510,Turlock/Modesto/Stanislaus County CoC,6,2,354.930661,1494.83,1005,12503,530561,4.08,6.47,11.76,21.9,2441.1,843,1661,840,821,178,1256,405
5b,FL-503,Lakeland/Winter Haven/Polk County CoC,6,2,354.6984159,1797.84,883,11533,637691,4.18,5.32,8.38,0.9990876,3415.5,524,512,363,149,77,342,170
5b,NC-513,Chapel Hill/Orange County CoC,6,2,351.3091768,397.96,970,12615,139807,4.58,5.84,8.1,72.76688,2873.1,91,127,90,37,14,100,27
5b,MD-512,Hagerstown/Washington County CoC,6,2,326.7311809,457.78,869,13826,149571,3.81,6.8,9.21,89.58485,2507.5,281,208,187,21,48,164,44
5b,CA-608,Riverside City & County CoC,6,2,322.4725525,7206.48,1212,13603,2323892,3.69,6.43,10.19,3.163777372,3087.8,834,2406,768,1638,418,2172,234
5b,FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",6,2,294.7077238,2539.55,887.2868905,11893.63177,748425,4.21,5.27,8.36,12.4885949,3415.5,398,635,282,353,40,444,191
5b,AL-503,Huntsville/North Alabama CoC,6,2,288.4196263,1940.87,721.7011353,12014.54515,559785,4.28,5.82,6.81,55.44936131,3177.6,487,436,337,99,64,327,109
5b,FL-511,Pensacola/Escambia/Santa Rosa County CoC,6,2,283.8489023,1668.06,946.6942914,13537.60964,473477,4.73,6.99,10.22,7.826186,3415.5,774,758,501,257,135,619,139
5b,NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",6,2,275.5783319,2421.62,771.9563165,11799.74258,667346,4.099582765,6.464652954,9.550830574,146,1718.2,810,798,770,28,43,581,217
5b,MI-515,Monroe City & County CoC,6,2,272.9299769,549.39,786,14299,149945,4.14,6.24,9.88,125.8850365,2043.9,205,193,190,3,13,122,71
5b,NV-500,Las Vegas/Clark County CoC,6,2,262.329261,7891.43,1013,12973,2070153,4.26,7.43,10.39,54.66717095,2923.4,2131,6490,2137,4353,446,6190,300
5b,FL-602,Punta Gorda/Charlotte County CoC,6,2,249.3708473,680.28,905,12250,169642,3.7,5.89,8.5,0.5064755,3415.5,90,222,89,133,33,165,57
5b,NY-512,Troy/Rensselaer County CoC,6,2,245.1741949,652.43,883,14369,159959,3.8,6.29,11.34,155.524635,1718.2,139,194,175,19,18,102,92
5b,IL-513,Springfield/Sangamon County CoC,6,2,228.767707,868.3,752,12474,198639,3.99,6.36,8.21,105.57026,2075.9,276,230,219,11,29,171,59
5b,MO-600,"Springfield/Greene, Christian, Webster Counties CoC",6,2,221.0187325,1830.51,713.8582421,11503.39688,404577,5.46,5.92,7.85,95.74589416,2906.5,317,455,255,200,190,335,120
5b,NJ-512,Salem County CoC,6,2,194.3476951,331.9,981,13173,64504,3.57,6.76,8.87,84.25639,1734.1,33,16,13,3,0,8,8
5b,SC-500,Charleston/Low Country CoC,6,2,181.9209112,5436.17,992.2726732,12401.57451,988953,3.86,6.32,8.8,44.25266081,3460.3,377,425,221,204,108,393,32
5b,VA-502,Roanoke City & County/Salem CoC,6,2,170.779165,1629.18,806.6125184,12782.14544,278230,5.13,7.17,8.63,73.76597,1930.3,490,267,250,17,48,197,70
5b,LA-506,Slidell/Southeast Louisiana CoC,6,2,168.4225864,3362.91,861.4960239,12282.23654,566390,4.29,6.12,8.43,10.65693431,3458.8,196,248,159,89,26,191,57
5b,MA-507,"Pittsfield/Berkshire, Franklin, Hampshire County CoC",6,2,167.4161791,2153.4,883.14281,12707.69096,360514,4.48,6.21,12.35,165.3489964,1857.1,473,557,502,55,79,420,137
5b,NY-518,"Utica/Rome/Oneida, Madison Counties CoC",6,2,163.3116796,1867.27,715.7823753,11985.85898,304947,4.05,6.48,9.31,157.8558394,1718.2,201,162,146,16,8,86,76
5b,NY-608,Kingston/Ulster County CoC,6,2,160.5573543,1124.24,1022,13440,180505,3.49,6.33,10.49,120.72308,1718.2,115,411,377,34,14,167,244
5b,AR-501,Fayetteville/Northwest Arkansas CoC,6,2,156.3189988,3253.68,757.2532323,12770.69061,508612,4.98,6.08,8.2,69.27007299,3338,371,330,235,95,66,235,95
5b,MD-513,Wicomico/Somerset/Worcester County CoC,6,2,151.3193755,1430.98,957.1551066,12898.45093,216535,3.374354123,6.165645877,8.269634932,44.08375752,2507.5,218,260,218,42,41,212,48
5b,IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",6,2,149.3058608,2661.57,711.2800663,13897.77126,397388,3.74,6.85,9.14,145.4552239,2075.9,535,329,293,36,73,240,89
5b,MO-602,"Joplin/Jasper, Newton Counties CoC",6,2,139.4157926,1263.25,694.6508174,11566.94152,176117,5.46,5.92,7.85,83.75684307,2906.5,341,270,229,41,45,195,75
5b,CA-524,Yuba City & County/Sutter County CoC,6,2,137.1707515,1234.25,930.9610107,12318.28928,169303,4.11,7,13.96,86.20952381,2441.1,294,760,287,473,150,557,203
5b,NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",6,2,136.911114,1909.75,761.0587992,14706.5765,261466,4.286607742,6.720292811,10.64641254,140.8713504,1718.2,335,337,326,11,29,254,83
5b,MI-511,Lenawee County CoC,6,2,131.6429858,749.55,754,12961,98673,4.14,6.24,9.88,135.8759124,2043.9,117,128,128,0,15,59,69
5b,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",6,2,130.7637191,1967.87,1014.676053,13770.41659,257326,4.73,6.99,10.22,30.63868613,3415.5,134,401,130,271,112,247,154
5b,IA-500,"Sioux City/Dakota, Woodbury Counties CoC",6,2,117.349312,872.83,693,12569,102426,4.28,6.45,6.28,147.1989,2093.8,301,288,286,2,17,159,129
5b,VA-504,Charlottesville CoC,6,2,114.063522,2140.36,1064.003138,14340.63351,244137,4.02,6.85,9.71,116.0606752,1930.3,109,160,137,23,55,119,41
5b,CA-604,Bakersfield/Kern County CoC,6,2,107.1502179,8131.92,905,11655,871337,4.26,6.52,9.64,103.7385949,3972.4,681,810,541,269,289,623,187
5b,NY-519,Columbia/Greene County CoC,7,2,85.756746,1281.87,867.8172639,13514.63644,109929,4.47,6.35,11.35,47.78502415,1718.2,35,144,141,3,15,72,72
5b,CA-614,San Luis Obispo County CoC,7,2,84.48509506,3298.57,1257,13693,278680,3.83,7.14,13.23,53.28467153,2441.1,253,1125,303,822,282,977,148
5b,NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",7,2,83.58201468,3787.31,691.2218347,11861.94299,316551,4.482682317,6.715817546,10.99237668,169.8448905,1718.2,131,226,189,37,6,120,106
5b,MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",7,2,82.8088963,1847.06,824.4353037,14401.37854,152953,5.24,5.93,9.42,176.1724453,2043.9,171,228,188,40,37,167,61
5b,FL-604,Monroe County CoC,7,2,78.46188268,983.28,1466,12836,77150,3.39,5.01,6.55,0,3415.5,401,631,339,292,83,581,50
5b,NY-607,Sullivan County CoC,7,2,78.31386281,968.13,862,11585,75818,4.47,6.35,11.35,166.14266,1718.2,118,167,165,2,0,114,53
5b,NV-501,Reno/Sparks/Washoe County CoC,7,2,69.80136044,6302.37,918,12663,439914,4.52,8.24,11.55,128.2162409,2625.4,1001,1106,1026,80,38,911,195
5b,NY-504,Cattaragus County CoC,7,2,60.00382161,1308.35,616,11898,78506,4.61,6.42,11.17,163.850365,1718.2,50,34,34,0,1,24,10
5b,WA-507,Yakima City & County CoC,7,2,57.6619174,4295.4,776,12336,247681,4.99,6.66,10.12,121.8887,3706.1,629,572,502,70,59,287,285
5b,NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,7,2,49.12312272,5223.65,811.6886696,11517.67909,256602,4.5,6.67,9.72,162.6847628,1718.2,75,169,134,35,12,129,40
5b,MD-510,Garrett County CoC,7,2,45.86153608,647.1,630,11604,29677,3.81,6.8,9.21,113.39644,2507.5,30,10,10,0,3,4,6
5b,IL-519,West Central Illinois CoC,7,2,37.94970823,5929.4,594.3828032,11665.32705,225019,3.927445282,6.482607246,8.442703549,125.5520073,2075.9,119,80,80,0,1,49,31
5b,MN-509,Duluth/St.Louis County CoC,7,2,32.06982105,6247.4,698,11502,200353,4.83,6.54,7.8,209.6418796,2297.5,378,505,312,193,138,314,191
5b,CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",7,2,29.00276101,5284.29,1006.562662,12709.14605,153259,3.956118466,6.38151319,11.69805923,61.11085766,2441.1,154,367,103,264,71,259,108
5b,MN-508,Moorhead/West Central Minnesota CoC,7,2,27.82500865,8612.54,675.876884,13221.20929,239644,4.606209961,6.385068435,7.843036546,177.6710766,2297.5,211,215,212,3,18,104,111
5c,DE-500,Delaware Statewide CoC,9,3,479.6874599,1948.55,1031.665392,14608.12533,934695,3.986063999,6.642966091,9.878397285,76.26368613,2982,1143,994,936,58,127,615,379
5c,OH-507,Ohio Balance of State CoC,9,3,165.6705047,37263.35,730.0263281,13542.4863,6173438,4.902785586,6.23203779,8.486254604,141.870438,2799.1,3177,3309,2686,623,180,1779,1530
5c,IN-502,Indiana Balance of State CoC,9,3,159.6801112,35429.81,754.163001,13466.9983,5657436,4.754961237,6.899142612,8.848018016,138.8385007,2649.4,4392,3655,3212,443,330,2340,1315
5c,PA-509,Eastern Pennsylvania CoC,9,3,149.1564161,20813.58,811.4382484,13821.04976,3104479,4.159826805,5.885382797,7.821952237,173.6747263,1931.7,2256,2170,1765,405,156,1209,961
5c,GA-501,Georgia Balance of State CoC,9,3,123.7744141,55293.35,852.3049835,12280.24036,6843902,4.0655179,5.77757299,9.475592444,92.74863139,3281.2,2399,3716,1843,1873,242,2219,1497
5c,PA-601,Western Pennsylvania CoC,9,3,113.7675964,15230.4,654.6892832,12515.6955,1732726,4.191894679,5.892382062,6.879993842,161.0196168,1931.7,1187,837,774,63,29,531,306
5c,CA-609,San Bernardino City & County CoC,9,3,105.0386549,20056.94,1144,12138,2106754,3.98,6.3,9.92,154.5255474,2441.1,757,1866,687,1179,441,1432,434
5c,NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",10,3,89.41001656,5060.82,703.9879577,11648.15714,452488,4.464540629,6.81404656,11.17530012,158.854927,1718.2,273,308,246,62,5,271,37
5c,HI-500,Hawaii Balance of State CoC,10,3,73.28788418,5821.89,1206.450641,13274.00399,426674,3.968700511,6.808275224,11.63325367,0,3050,1036,2261,785,1476,641,1423,838
5c,IL-518,Rock Island/Moline/Northwestern Illinois CoC,10,3,72.22230727,9145.54,654.1486786,12560.68229,660512,3.581792821,6.488874918,8.703210615,145.8667883,2075.9,334,243,234,9,0,132,111
5c,IL-512,Bloomington/Central Illinois CoC,10,3,69.13776139,7713.99,732.925618,12659.91449,533328,3.679080585,6.561417214,8.743395996,138.3736314,2075.9,373,433,392,41,52,253,180
5c,OK-505,Northeast Oklahoma CoC,10,3,68.62178962,6840.32,697.9675774,11860.08736,469395,4.548073882,6.873721855,7.084026076,71.78389634,2990.7,391,377,325,52,41,209,168
5c,MI-500,Michigan Balance of State CoC,10,3,58.36619777,40991.62,681.1595298,11761.79349,2392525,4.887959424,6.626879376,11.39939477,182.1669708,2043.9,1451,1465,1226,239,55,784,681
5c,VT-500,Vermont Balance of State CoC,10,3,53.65601048,8680.09,842.1960261,13405.68729,465739,5.515152886,6.952919511,13.39123692,198.6519161,1524.4,671,934,828,106,83,500,434
5c,TX-607,Texas Balance of State (BoS) CoC,10,3,48.64244006,226055.58,829.5293926,12567.95132,10995895,4.094887934,6.34647075,7.360580607,188.5545024,3019.4,4643,7153,3583,3570,879,4808,2345
5c,MO-606,Missouri Balance of State CoC,10,3,46.94834248,61595.87,690.239665,12049.82661,2891824,5.151602349,6.493541913,7.917354943,131.7130474,2906.5,1545,1244,952,292,245,751,493
5c,IA-501,Iowa Balance of State CoC,10,3,45.8767875,53443.28,678.4339687,13496.07816,2451806,4.534918725,6.515647164,6.881752524,168.0132299,2093.8,2295,1792,1742,50,107,807,985
5c,IL-515,South Central Illinois CoC,10,3,42.33771029,9534.03,605.495646,12044.92028,403649,4.00278814,6.37918221,8.281933289,118.3918796,2075.9,102,108,76,32,5,44,64
5c,WA-501,Washington Balance of State CoC,10,3,41.14702334,53894.98,894.6809554,12966.66827,2217618,4.872850153,6.82147469,13.15301652,179.6692518,3706.1,4216,4671,3061,1610,972,2875,1796
5c,ME-500,Maine Balance of State CoC,10,3,40.94898957,30842.91,789.3172268,12502.75888,1262986,4.985361263,5.926986364,12.78924914,196.8202555,1986.4,2457,2280,2100,180,201,1352,928
5c,OR-503,Central Oregon CoC,10,3,27.57139955,7778.06,942.7437375,13021.30621,214452,4.68,6.99,12.44,195.3216241,2879,272,778,230,548,246,494,284
5c,MN-511,Southwest Minnesota CoC,10,3,23.04104532,12064.47,638.8403111,13855.12536,277978,4.57,6.57,7.58,166.1815693,2297.5,119,108,100,8,0,43,65
5c,OK-503,Oklahoma Balance of State CoC,10,3,22.17073178,20139.66,731.5472542,14005.67066,446511,4.636898755,7.408068849,7.983496062,123.4299517,2990.7,145,432,139,293,36,151,281
5c,OR-505,Oregon Balance of State CoC,10,3,18.74663846,77847.45,808.0204896,11745.72425,1459378,5.113828117,7.027544091,13.10273622,248.8471116,2879,2575,5795,2026,3769,737,3902,1893
5c,KS-507,Kansas Balance of State CoC,10,3,18.56085377,79592.19,700.0726745,12658.54611,1477299,4.282119964,7.145164791,6.478108406,161.352646,2735.2,1264,1037,895,142,135,608,429
5c,CO-500,Colorado Balance of State CoC,10,3,17.35209116,97032.57,930.4354346,13766.57133,1683718,3.987481217,7.539202646,15.1849992,292.5164224,2530.1,1748,4019,1511,2508,807,2568,1451
5c,ID-501,Idaho Balance of State,10,3,14.82628628,81590.56,727.6078938,12118.93299,1209685,4.98073534,6.254605695,7.025558282,294.3978102,1854.8,920,1204,676,528,109,638,566
5c,NE-500,Nebraska Balance of State CoC,10,3,11.62150311,76167.6,644.9691216,13588.3844,885182,4.527120818,7.40712719,6.589783965,184.8312044,2523.5,657,506,492,14,10,276,230
5c,MN-506,Northwest Minnesota CoC,10,3,11.56410053,14723.67,628.5933657,12617.96397,170266,4.83,6.54,7.8,189.4808743,2297.5,298,288,285,3,2,103,185
5c,SD-500,South Dakota Statewide CoC,10,3,11.22604603,75811.02,667.157491,13796.57792,851058,3.702208874,7.788003767,6.129823526,218.4671533,1863.9,1356,943,772,171,144,611,332
5c,ND-500,North Dakota Statewide CoC,10,3,10.66889389,69000.78,729.6724457,14475.40849,736162,4.029730752,7.727790024,6.848677343,199.3179745,2110.3,1034,1089,758,331,45,832,257
5c,MN-504,Northeast Minnesota CoC,10,3,10.43790153,12016.4,663.1366144,12319.74061,125426,4.83,6.54,7.8,203.8138686,2297.5,74,99,58,41,8,63,36
5c,MT-500,Montana Statewide CoC,11,3,7.031403732,145545.76,724.5333524,12193.98091,1023391,4.387664803,7.8343038,11.16229381,250.7709854,2472.9,1290,1529,985,544,198,987,542
5c,NV-502,Nevada Balance of State CoC,11,3,3.442975782,95587.37,846.4441197,14159.03978,329105,4.450227101,7.491206545,8.966763525,230.2896898,2625.4,199,237,92,145,28,180,57
