cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
2b,MI-510,Saginaw City & County CoC,6,2,243.9677044,800.11,709,9923,195201,4.67,6.96,12.2,129.8814,2043.9,430,388,373,15,22,188,200
2b,MI-517,Jackson City & County CoC,6,2,227.2906067,701.67,723,11412,159483,4.67,6.96,12.2,131.046989,2043.9,196,140,126,14,2,52,88
2b,NY-510,Ithaca/Tompkins County CoC,6,2,219.6734436,474.65,1011,8554,104268,4.46,7.2,11.03,145.034215,1718.2,49,73,53,20,5,54,19
2b,FL-514,Ocala/Marion County CoC,6,2,214.7871635,1584.55,819,10641,340341,4.21,5.27,8.36,5.828010949,3415.5,356,725,290,435,147,599,126
2b,IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,6,2,207.1928293,996.27,828,6799,206420,3.74,6.85,9.14,120.3900547,2075.9,146,160,143,17,11,100,60
2b,CA-521,Davis/Woodland/Yolo County CoC,6,2,206.6355242,1014.69,1147,10536,209671,4.11,7,13.96,19.98175182,2441.1,236,459,250,209,174,318,141
2b,NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",6,2,205.3959304,1908.29,895.6340243,10922.33806,391955,5.11,6.15,9.39,54.45027372,2873.1,405,322,235,87,44,256,66
2b,MI-514,Battle Creek/Calhoun County CoC,6,2,190.7183212,706.23,697,11336,134691,4.66,6.18,10.83,143.8686131,2043.9,239,204,175,29,22,152,52
2b,IL-516,Decatur/Macon County CoC,6,2,186.6813618,580.69,653,10408,108404,3.99,6.36,8.21,107.90146,2075.9,139,130,114,16,23,107,23
2b,WV-501,"Huntington/Cabell, Wayne Counties CoC",6,2,175.1715375,787,669.7535398,7818.463195,137860,5.51,5.89,7.14,91.58303,2034.7,263,205,173,32,9,148,57
2b,TN-509,Appalachian Regional CoC,6,2,174.9798077,2897.14,618.993443,9783.140292,506941,5.02,5.22,6.3,82.72841999,3060.6,550,450,305,145,73,342,108
2b,MD-500,Cumberland/Allegany County CoC,6,2,172.2463221,424.16,646,9479,73060,3.81,6.8,9.21,106.4028,2507.5,116,118,88,30,19,76,42
2b,IL-509,Dekalb City & County CoC,6,2,165.4622927,631.31,877,10532,104458,3.28,5.8,7.87,134.3773,2075.9,94,90,87,3,0,51,39
2b,SC-502,Columbia/Midlands CoC,6,2,160.7157116,9217.4,803.7121132,10922.31633,1481381,4.158927015,5.899166163,8.536679018,60.94434307,3460.3,1031,1200,893,307,295,939,261
2b,TN-500,Chattanooga/Southeast Tennessee CoC,6,2,156.9069714,4332,712.1603187,10639.62076,679721,5.163427318,5.252507411,6.093753672,99.90875912,3060.6,320,576,359,217,192,452,124
2b,WV-500,Wheeling/Weirton Area CoC,6,2,154.1216848,941.12,596.3332782,10204.76337,145047,5.53,6.64,6.26,127.8832117,2034.7,108,118,111,7,23,77,41
2b,MS-500,"Jackson/Rankin, Madison Counties CoC",6,2,153.2507308,3725.47,820.7632516,10758.91406,570931,3.898647718,5.670837825,8.795864772,35.967153,2921.2,464,511,231,280,20,450,61
