Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Northwest University,WA,"Private not-for-profit, 4-year or above",-122.192763,47.657945,King County,NA,Cascade Collegiate Conference,16168359
Northwest University,WA,"Private not-for-profit, 4-year or above",-122.192763,47.657945,King County,NA,Cascade Collegiate Conference,16168359
Union Institute & University,OH,"Private not-for-profit, 4-year or above",-84.500139,39.126856,Hamilton County,NA,NA,16163759
Roanoke College,VA,"Private not-for-profit, 4-year or above",-80.056433,37.29686,Salem City,NA,Old Dominion Athletic Conference,16134473
Washington and Lee University,VA,"Private not-for-profit, 4-year or above",-79.443018,37.788939,Lexington City,Old Dominion Athletic Conference,Old Dominion Athletic Conference,16037869
University of Hawaii-West Oahu,HI,"Public, 4-year or above",-158.056403,21.35531,Honolulu County,NA,NA,16018767
Elizabethtown Community and Technical College,KY,"Public, 2-year",-85.879927,37.692858,Hardin County,NA,NA,15974635
City University of Seattle,WA,"Private not-for-profit, 4-year or above",-122.344594,47.617381,King County,NA,NA,15963050
Tougaloo College,MS,"Private not-for-profit, 4-year or above",-90.16076,32.403014,Madison County,NA,Gulf Coast Athletic Conference,15953620
Fisk University,TN,"Private not-for-profit, 4-year or above",-86.805671,36.16912,Davidson County,NA,Gulf Coast Athletic Conference,15950502
San Bernardino Valley College,CA,"Public, 2-year",-117.313814,34.088717,NA,NA,NA,15923065
Mid Michigan Community College,MI,"Public, 2-year",-84.763715,43.969586,Clare County,NA,NA,15920911
Wayne State College,NE,"Public, 4-year or above",-97.015122,42.241556,Wayne County,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,15905673
Sherman College of Straight Chiropractic,SC,"Private not-for-profit, 4-year or above",-81.986044,35.014125,Spartanburg County,NA,NA,15867990
Southwest Minnesota State University,MN,"Public, 4-year or above",-95.75983,44.455023,Lyon County,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,15851064
College of the Holy Cross,MA,"Private not-for-profit, 4-year or above",-71.808627,42.238942,Worcester County,Patriot League,Patriot League,15836342
Nichols College,MA,"Private not-for-profit, 4-year or above",-71.930283,42.044033,Worcester County,New England Football Conference,Commonwealth Coast Conference,15833724
Fontbonne University,MO,"Private not-for-profit, 4-year or above",-90.315712,38.642697,St. Louis County,NA,St. Louis Intercollegiate Ath Conf,15817008
Middlesex Community College,MA,"Public, 2-year",-71.274931,42.524328,Middlesex County,NA,NA,15809073
Louisiana State University-Alexandria,LA,"Public, 4-year or above",-92.414409,31.178616,Rapides Parish,NA,Red River Athletic Conference,15776100
Eckerd College,FL,"Private not-for-profit, 4-year or above",-82.685992,27.718996,Pinellas County,NA,Sunshine State Conference,15752408
Southwest College of Naturopathic Medicine & Health Sciences,AZ,"Private not-for-profit, 4-year or above",-111.894935,33.408742,Maricopa County,NA,NA,15731439
College of Our Lady of the Elms,MA,"Private not-for-profit, 4-year or above",-72.601541,42.14179,Hampden County,NA,New England Collegiate Conference,15730947
Central Carolina Technical College,SC,"Public, 2-year",-80.367398,33.9328,Sumter County,NA,NA,15719045
Nebraska Wesleyan University,NE,"Private not-for-profit, 4-year or above",-96.648414,40.838789,Lancaster County,Iowa Intercollegiate Athletic Conf,Iowa Intercollegiate Athletic Conf,15709876
Dakota State University,SD,"Public, 4-year or above",-97.113358,44.013014,Lake County,North Star Athletic Association,North Star Athletic Association,15695903
North Greenville University,SC,"Private not-for-profit, 4-year or above",-82.37026,35.069758,Greenville County,Gulf South Conference,Conference Carolinas,15694765
Wiley College,TX,"Private not-for-profit, 4-year or above",-94.376821,32.537646,Harrison County,NA,Red River Athletic Conference,15671795
Harcum College,PA,"Private not-for-profit, 2-year",-75.314801,40.022582,Montgomery County,NA,NA,15670861
Bridgewater College,VA,"Private not-for-profit, 4-year or above",-78.969011,38.378391,Rockingham County,Old Dominion Athletic Conference,Old Dominion Athletic Conference,15656810
St Olaf College,MN,"Private not-for-profit, 4-year or above",-93.183633,44.462884,Rice County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,15606359
Santa Ana College,CA,"Public, 4-year or above",-117.888384,33.759203,Orange County,NA,NA,15594914
William Woods University,MO,"Private not-for-profit, 4-year or above",-91.949273,38.857864,Callaway County,NA,American Midwest Conference,15572504
Cedar Crest College,PA,"Private not-for-profit, 4-year or above",-75.519221,40.586318,Lehigh County,NA,Pennsylvania Athletic Conference,15555274
Chandler-Gilbert Community College,AZ,"Public, 2-year",-111.795922,33.293897,Maricopa County,NA,NA,15542559
Virginia Wesleyan College,VA,"Private not-for-profit, 4-year or above",-76.18606,36.868417,Virginia Beach City,NA,Old Dominion Athletic Conference,15523295
West Georgia Technical College,GA,"Public, 2-year",-85.183666,33.691657,Haralson County,NA,NA,15515043
Big Sandy Community and Technical College,KY,"Public, 2-year",-82.77839,37.687585,Floyd County,NA,NA,15511130
Jefferson Community College,NY,"Public, 2-year",-75.940004,43.987465,Jefferson County,NA,NA,15493008
Inver Hills Community College,MN,"Public, 2-year",-93.055255,44.828599,Dakota County,NA,NA,15488000
Kettering University,MI,"Private not-for-profit, 4-year or above",-83.714356,43.013112,Genesee County,NA,NA,15483866
Saint Johns River State College,FL,"Public, 4-year or above",-81.681387,29.647516,Putnam County,NA,NA,15456287
SUNY Polytechnic Institute,NY,"Public, 4-year or above",-75.2292,43.13528,Oneida County,NA,North Eastern Athletic Conference,15443496
Atlanta Metropolitan State College,GA,"Public, 4-year or above",-84.404659,33.70893,Fulton County,NA,NA,15424339
Saint Norbert College,WI,"Private not-for-profit, 4-year or above",-88.067301,44.444651,Brown County,Midwest Conference,Midwest Conference,15396728
Friends University,KS,"Private not-for-profit, 4-year or above",-97.366666,37.678495,Sedgwick County,Kansas Collegiate Athletic Conf,Kansas Collegiate Athletic Conf,15376126
Southern Union State Community College,AL,"Public, 2-year",-85.572382,33.128785,Randolph County,NA,NA,15375008
Peirce College,PA,"Private not-for-profit, 4-year or above",-75.166332,39.945483,Philadelphia County,NA,NA,15342455
Southern Wesleyan University,SC,"Private not-for-profit, 4-year or above",-82.761586,34.728068,NA,NA,NA,15326300
Crowder College,MO,"Public, 2-year",-94.368315,36.814906,Newton County,NA,NA,15290733
St Lawrence University,NY,"Private not-for-profit, 4-year or above",-75.161343,44.589879,St. Lawrence County,Upstate Collegiate Athletic Association,Upstate Collegiate Athletic Association,15276733
Waynesburg University,PA,"Private not-for-profit, 4-year or above",-80.186205,39.899871,Greene County,Presidents' Athletic Conference,Presidents' Athletic Conference,15252096
Southwest Texas Junior College,TX,"Public, 2-year",-99.741245,29.219676,Uvalde County,NA,NA,15232918
University of Dallas,TX,"Private not-for-profit, 4-year or above",-96.921573,32.846202,Dallas County,NA,Southern Collegiate Athletic Conference,15213162
Tri-County Technical College,SC,"Public, 2-year",-82.792015,34.641914,Anderson County,NA,NA,15185443
Jefferson College of Health Sciences,VA,"Private not-for-profit, 4-year or above",-79.939574,37.265985,Roanoke City,NA,NA,15155993
Orange County Community College,NY,"Public, 2-year",-74.426885,41.439476,Orange County,NA,NA,15155865
Waukesha County Technical College,WI,"Public, 2-year",-88.258805,43.070112,Waukesha County,NA,NA,15135419
Triton College,IL,"Public, 2-year",-87.841056,41.916082,Cook County,NA,NA,15131909
San Juan College,NM,"Public, 2-year",-108.166307,36.771785,San Juan County,NA,NA,15125198
Texas Southmost College,TX,"Public, 2-year",-97.492241,25.899628,Cameron County,NA,NA,15117886
Santa Rosa Junior College,CA,"Public, 2-year",-122.720689,38.45416,Sonoma County,NA,NA,15110263
University of Saint Mary,KS,"Private not-for-profit, 4-year or above",-94.906935,39.277308,Leavenworth County,Kansas Collegiate Athletic Conf,Kansas Collegiate Athletic Conf,15057735
York Technical College,SC,"Public, 2-year",-80.994166,34.934546,York County,NA,NA,15005142
Mount Mercy University,IA,"Private not-for-profit, 4-year or above",-91.650991,42.001931,Linn County,NA,Heart of America Athletic Conference,15002728
Malone University,OH,"Private not-for-profit, 4-year or above",-81.383525,40.826516,Stark County,Great Midwest Athletic Conference,Great Midwest Athletic Conference,14946555
Northwest-Shoals Community College,AL,"Public, 2-year",-87.67733,34.739567,Colbert County,NA,NA,14935108
State Fair Community College,MO,"Public, 2-year",-93.269608,38.699145,Pettis County,NA,NA,14920070
Walsh College of Accountancy and Business Administration,MI,"Private not-for-profit, 4-year or above",-83.147197,42.573888,Oakland County,NA,NA,14894223
Skagit Valley College,WA,"Public, 4-year or above",-122.310199,48.437235,Skagit County,NA,NA,14887917
Rose-Hulman Institute of Technology,IN,"Private not-for-profit, 4-year or above",-87.326749,39.483602,Vigo County,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,14886143
McDaniel College,MD,"Private not-for-profit, 4-year or above",-77.001662,39.584879,Carroll County,Centennial Conference,Centennial Conference,14881761
Gustavus Adolphus College,MN,"Private not-for-profit, 4-year or above",-93.971928,44.324968,Nicollet County,Minnesota Intercollegiate Ath Conf,Minnesota Intercollegiate Ath Conf,14869017
West Kentucky Community and Technical College,KY,"Public, 2-year",-88.658762,37.054081,Mccracken County,NA,NA,14864556
Ventura College,CA,"Public, 2-year",-119.230659,34.277035,Ventura County,NA,NA,14839114
Maysville Community and Technical College,KY,"Public, 2-year",-83.805641,38.627026,Mason County,NA,NA,14833271
Belmont Abbey College,NC,"Private not-for-profit, 4-year or above",-81.041315,35.260651,Gaston County,NA,Conference Carolinas,14830948
Lackawanna College,PA,"Private not-for-profit, 2-year",-75.659319,41.411521,Lackawanna County,NA,NA,14814030
Dean College,MA,"Private not-for-profit, 4-year or above",-71.399003,42.08497,Norfolk County,NA,NA,14753507
Saint Anselm College,NH,"Private not-for-profit, 4-year or above",-71.503622,42.986889,Hillsborough County,Northeast 10 Conference,Northeast 10 Conference,14748043
Lawson State Community College-Birmingham Campus,AL,"Public, 2-year",-86.890234,33.451673,Jefferson County,NA,NA,14702621
Woodbury University,CA,"Private not-for-profit, 4-year or above",-118.341147,34.208011,Los Angeles County,NA,NA,14670077
Central Arizona College,AZ,"Public, 2-year",-111.652501,32.957092,Pinal County,NA,NA,14664109
Benedictine College,KS,"Private not-for-profit, 4-year or above",-95.111424,39.572953,Atchison County,Heart of America Athletic Conference,Heart of America Athletic Conference,14648536
Ridgewater College,MN,"Public, 2-year",-95.073054,45.13832,Kandiyohi County,NA,NA,14616141
Chadron State College,NE,"Public, 4-year or above",-103.001615,42.8199,Dawes County,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,14582014
North Lake College,TX,"Public, 2-year",-96.967106,32.871878,Dallas County,NA,NA,14580470
Lubbock Christian University,TX,"Private not-for-profit, 4-year or above",-101.934816,33.576273,Lubbock County,NA,Heartland Conference,14557382
Oklahoma Wesleyan University,OK,"Private not-for-profit, 4-year or above",-95.954124,36.717752,Washington County,NA,Midlands Collegiate Athletic Conf,14556695
Illinois Central College,IL,"Public, 2-year",-89.52485,40.707235,Tazewell County,NA,NA,14549845
City Colleges of Chicago-Malcolm X College,IL,"Public, 2-year",-87.675321,41.878092,Cook County,NA,NA,14489318
Mount Aloysius College,PA,"Private not-for-profit, 4-year or above",-78.601358,40.459948,Cambria County,NA,Allegheny Mountain Collegiate Conference,14488980
Bucks County Community College,PA,"Public, 2-year",-74.965841,40.239102,Bucks County,NA,NA,14446024
University of Mobile,AL,"Private not-for-profit, 4-year or above",-88.128934,30.793247,Mobile County,NA,Southern States Athletic Conference,14435987
Mount Ida College,MA,"Private not-for-profit, 4-year or above",-71.193175,42.293525,Middlesex County,Eastern Collegiate Football Conference,Great Northeast Athletic Conference,14426386
Berry College,GA,"Private not-for-profit, 4-year or above",-85.189202,34.290414,Floyd County,Southern Athletic Association,Southern Athletic Association,14418948
Treasure Valley Community College,OR,"Public, 2-year",-116.972693,44.019376,Malheur County,NA,NA,14389983
Louisiana Delta Community College,LA,"Public, 2-year",-92.032664,32.49637,Ouachita Parish,NA,NA,14388431
Virginia Western Community College,VA,"Public, 2-year",-79.973133,37.245648,Roanoke City,NA,NA,14376560
Northwestern Michigan College,MI,"Public, 4-year or above",-85.581808,44.767608,Grand Traverse County,NA,NA,14322355
North Idaho College,ID,"Public, 2-year",-116.798399,47.676416,Kootenai County,NA,NA,14305291
Centenary University,NJ,"Private not-for-profit, 4-year or above",-74.832775,40.848693,Warren County,NA,Colonial States Athletic Conference,14301125
Olympic College,WA,"Public, 4-year or above",-122.635751,47.575093,Kitsap County,NA,NA,14284286
West Los Angeles College,CA,"Public, 4-year or above",-118.387578,34.005578,Los Angeles County,NA,NA,14280125
Adirondack Community College,NY,"Public, 2-year",-73.655014,43.353441,Warren County,NA,NA,14279778
Fisher College,MA,"Private not-for-profit, 4-year or above",-71.074125,42.355253,Suffolk County,NA,Independent Northeast Region,14216729
Washington & Jefferson College,PA,"Private not-for-profit, 4-year or above",-80.240388,40.171898,Washington County,Presidents' Athletic Conference,Presidents' Athletic Conference,14201597
Prairie State College,IL,"Public, 2-year",-87.638943,41.525316,Cook County,NA,NA,14190455
Wesleyan University,CT,"Private not-for-profit, 4-year or above",-72.656755,41.55678,Middlesex County,New England Small College Ath Conf,New England Small College Ath Conf,14148197
Mount Wachusett Community College,MA,"Public, 2-year",-71.984149,42.593151,Worcester County,NA,NA,14147015
Columbia Basin College,WA,"Public, 4-year or above",-119.118609,46.251547,Franklin County,NA,NA,14141739
Yavapai College,AZ,"Public, 2-year",-112.454156,34.547512,Yavapai County,NA,NA,14137985
University of Rio Grande,OH,"Private not-for-profit, 4-year or above",-82.377359,38.88058,Gallia County,NA,Kentucky Intercollegiate Ath Conf,14133175
Hutchinson Community College,KS,"Public, 2-year",-97.919647,38.066843,Reno County,NA,NA,14089600
The University of Texas at Brownsville,TX,"Public, 4-year or above",-97.486644,25.893584,NA,NA,NA,14084274
Gateway Community and Technical College,KY,"Public, 2-year",-84.632911,38.96132,Boone County,NA,NA,14080821
Guilford College,NC,"Private not-for-profit, 4-year or above",-79.887737,36.094233,Guilford County,Old Dominion Athletic Conference,Old Dominion Athletic Conference,14049361
Allegany College of Maryland,MD,"Public, 2-year",-78.729766,39.652658,Allegany County,NA,NA,14048684
Coker College,SC,"Private not-for-profit, 4-year or above",-80.067713,34.37709,Darlington County,NA,South Atlantic Conference,14019201
Luther College,IA,"Private not-for-profit, 4-year or above",-91.803971,43.313584,Winneshiek County,Iowa Intercollegiate Athletic Conf,Iowa Intercollegiate Athletic Conf,13984510
Northern Oklahoma College,OK,"Public, 2-year",-97.297487,36.678762,Kay County,NA,NA,13977654
Ashland Community and Technical College,KY,"Public, 2-year",-82.650664,38.469201,Boyd County,NA,NA,13967466
Columbus College of Art and Design,OH,"Private not-for-profit, 4-year or above",-82.988548,39.965767,Franklin County,NA,NA,13963215
Three Rivers College,MO,"Public, 2-year",-90.430212,36.775114,Butler County,NA,NA,13960744
Northland Community and Technical College,MN,"Public, 2-year",-96.162362,48.124955,Pennington County,NA,NA,13936581
Bethel College-Indiana,IN,"Private not-for-profit, 4-year or above",-86.194686,41.678399,St. Joseph County,NA,Crossroads League,13904697
Lake Superior State University,MI,"Public, 4-year or above",-84.3655,46.491736,Chippewa County,NA,Great Lakes Intercollegiate Ath Conf,13893093
Barnard College,NY,"Private not-for-profit, 4-year or above",-73.964027,40.809137,New York County,NA,Ivy Group,13842155
Midland University,NE,"Private not-for-profit, 4-year or above",-96.488008,41.43674,Dodge County,Great Plains Athletic Conference,Great Plains Athletic Conference,13836449
Goucher College,MD,"Private not-for-profit, 4-year or above",-76.594843,39.410175,Baltimore County,NA,Landmark Conference,13821516
Ursinus College,PA,"Private not-for-profit, 4-year or above",-75.455654,40.19405,Montgomery County,Centennial Conference,Centennial Conference,13815595
Gadsden State Community College,AL,"Public, 2-year",-85.991299,33.991866,Etowah County,NA,NA,13810045
Columbia College,SC,"Private not-for-profit, 4-year or above",-81.029967,34.045581,Richland County,NA,Appalachian Athletic Conference,13809452
Ohio Wesleyan University,OH,"Private not-for-profit, 4-year or above",-83.067912,40.296912,Delaware County,North Coast Athletic Conference,North Coast Athletic Conference,13809301
Saint Michael's College,VT,"Private not-for-profit, 4-year or above",-73.167069,44.494558,Chittenden County,NA,Northeast 10 Conference,13808401
College for Creative Studies,MI,"Private not-for-profit, 4-year or above",-83.062352,42.361839,Wayne County,NA,NA,13807123
Oklahoma Baptist University,OK,"Private not-for-profit, 4-year or above",-96.934334,35.359949,Pottawatomie County,Great American Conference,Great American Conference,13800634
Saddleback College,CA,"Public, 2-year",-117.664876,33.551925,Orange County,NA,NA,13790141
South Georgia State College,GA,"Public, 4-year or above",-82.855231,31.495903,Coffee County,NA,NA,13719306
Mount Mary University,WI,"Private not-for-profit, 4-year or above",-88.030594,43.072303,Milwaukee County,NA,Division III Independents,13700590
Northcentral Technical College,WI,"Public, 2-year",-89.648419,44.984837,Marathon County,NA,NA,13696136
Wheeling Jesuit University,WV,"Private not-for-profit, 4-year or above",-80.690804,40.070873,Ohio County,NA,Mountain East Conference,13666714
Minot State University,ND,"Public, 4-year or above",-101.300624,48.246877,Ward County,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,13653932
Lower Columbia College,WA,"Public, 2-year",-122.937653,46.1428,Cowlitz County,NA,NA,13647344
Illinois Wesleyan University,IL,"Private not-for-profit, 4-year or above",-88.990622,40.491522,Mclean County,College Conference of Illinois and Wisc,College Conference of Illinois and Wisc,13623915
Pfeiffer University,NC,"Private not-for-profit, 4-year or above",-80.283168,35.484696,Stanly County,NA,Conference Carolinas,13620151
Saint Mary's College,IN,"Private not-for-profit, 4-year or above",-86.256947,41.707274,St. Joseph County,NA,Michigan Intercollegiate Athletic Assoc,13605137
Oklahoma Christian University,OK,"Private not-for-profit, 4-year or above",-97.468312,35.609042,Oklahoma County,NA,Heartland Conference,13596484
Lourdes University,OH,"Private not-for-profit, 4-year or above",-83.706649,41.708694,Lucas County,NA,Wolverine-Hoosier Athletic Conference,13594571
Georgetown College,KY,"Private not-for-profit, 4-year or above",-84.554583,38.207934,Scott County,Mid-South Conference,Mid-South Conference,13589980
Webber International University,FL,"Private not-for-profit, 4-year or above",-81.532315,27.838778,Polk County,Florida Sun Conference,Florida Sun Conference,13584775
Pearl River Community College,MS,"Public, 2-year",-89.543052,30.844322,Pearl River County,NA,NA,13577602
Kansas City Kansas Community College,KS,"Public, 2-year",-94.748061,39.121911,Wyandotte County,NA,NA,13566211
Keystone College,PA,"Private not-for-profit, 4-year or above",-75.777456,41.558969,Wyoming County,NA,Colonial States Athletic Conference,13553421
Lake Forest College,IL,"Private not-for-profit, 4-year or above",-87.830777,42.250456,Lake County,Midwest Conference,Midwest Conference,13531361
Wyotech-Laramie,WY,"Private not-for-profit, 2-year",-105.621161,41.30354,Albany County,NA,NA,13526910
Hood College,MD,"Private not-for-profit, 4-year or above",-77.419282,39.421908,Frederick County,NA,Commonwealth Conference,13526417
College of Saint Mary,NE,"Private not-for-profit, 4-year or above",-96.020209,41.240879,Douglas County,NA,Great Plains Athletic Conference,13503288
Mercer County Community College,NJ,"Public, 2-year",-74.650719,40.254398,Mercer County,NA,NA,13482956
Trocaire College,NY,"Private not-for-profit, 4-year or above",-78.812398,42.846693,Erie County,NA,NA,13470775
Cabrillo College,CA,"Public, 2-year",-121.927926,36.9891,Santa Cruz County,NA,NA,13470025
SUNY Maritime College,NY,"Public, 4-year or above",-73.800336,40.809048,Bronx County,Eastern Collegiate Football Conference,Skyline Conference,13463949
DePauw University,IN,"Private not-for-profit, 4-year or above",-86.863556,39.63953,Putnam County,North Coast Athletic Conference,North Coast Athletic Conference,13461108
Davidson County Community College,NC,"Public, 2-year",-80.181739,35.865541,Davidson County,NA,NA,13439793
GateWay Community College,AZ,"Public, 2-year",-111.997077,33.449686,Maricopa County,NA,NA,13412740
Ursuline College,OH,"Private not-for-profit, 4-year or above",-81.466716,41.494971,Cuyahoga County,NA,Great Midwest Athletic Conference,13403824
Warner University,FL,"Private not-for-profit, 4-year or above",-81.599972,27.825751,Polk County,Mid-South Conference,Florida Sun Conference,13400532
Wichita Area Technical College,KS,"Public, 2-year",-97.224151,37.75764,Sedgwick County,NA,NA,13380979
Furman University,SC,"Private not-for-profit, 4-year or above",-82.440458,34.924676,Greenville County,Southern Conference,Southern Conference,13357562
Lincoln Land Community College,IL,"Public, 2-year",-89.611249,39.721211,Sangamon County,NA,NA,13348902
Laney College,CA,"Public, 2-year",-122.262434,37.796205,Alameda County,NA,NA,13328460
Texas A&M University-Texarkana,TX,"Public, 4-year or above",-94.10398,33.49561,Bowie County,NA,NA,13315159
Alma College,MI,"Private not-for-profit, 4-year or above",-84.670073,43.379236,Gratiot County,Michigan Intercollegiate Athletic Assoc,Michigan Intercollegiate Athletic Assoc,13313239
Le Moyne-Owen College,TN,"Private not-for-profit, 4-year or above",-90.034101,35.118641,Shelby County,NA,Southern Intercollegiate Athletic Conf,13281802
Point University,GA,"Private not-for-profit, 4-year or above",-85.184931,32.87912,Troup County,Independent Southeast Region,Appalachian Athletic Conference,13276501
Emory & Henry College,VA,"Private not-for-profit, 4-year or above",-81.831737,36.772543,Washington County,Old Dominion Athletic Conference,Old Dominion Athletic Conference,13273629
Georgia Northwestern Technical College,GA,"Public, 2-year",-85.171361,34.224673,Floyd County,NA,NA,13273074
Southern College of Optometry,TN,"Private not-for-profit, 4-year or above",-90.019856,35.138252,Shelby County,NA,NA,13259172
Mars Hill University,NC,"Private not-for-profit, 4-year or above",-82.550859,35.825858,Madison County,South Atlantic Conference,South Atlantic Conference,13216193
Mountain View College,TX,"Public, 2-year",-96.903798,32.726573,Dallas County,NA,NA,13206307
Central Community College,NE,"Public, 2-year",-98.372549,40.889582,Hall County,NA,NA,13199604
Weatherford College,TX,"Public, 2-year",-97.792652,32.740658,Parker County,NA,NA,13187060
Green River College,WA,"Public, 4-year or above",-122.178175,47.312277,King County,NA,NA,13186593
Sarah Lawrence College,NY,"Private not-for-profit, 4-year or above",-73.84381,40.934147,Westchester County,NA,Skyline Conference,13181727
Morningside College,IA,"Private not-for-profit, 4-year or above",-96.360738,42.47324,Woodbury County,Great Plains Athletic Conference,Great Plains Athletic Conference,13180830
Simpson College,IA,"Private not-for-profit, 4-year or above",-93.563471,41.365503,NA,NA,NA,13165065
Mount Holyoke College,MA,"Private not-for-profit, 4-year or above",-72.573625,42.257588,Hampshire County,NA,New England Women's & Men's Athletic Conference,13157953
Oklahoma State University Institute of Technology,OK,"Public, 4-year or above",-95.940432,35.628588,Okmulgee County,NA,NA,13146375
Southcentral Kentucky Community and Technical College,KY,"Public, 2-year",-86.476717,36.984827,Warren County,NA,NA,13120633
Corning Community College,NY,"Public, 2-year",-77.073708,42.11724,Steuben County,NA,NA,13116339
West Virginia Wesleyan College,WV,"Private not-for-profit, 4-year or above",-80.217094,38.990476,Upshur County,Mountain East Conference,Mountain East Conference,13089316
Huston-Tillotson University,TX,"Private not-for-profit, 4-year or above",-97.721698,30.264672,Travis County,NA,Red River Athletic Conference,13085844
Muhlenberg College,PA,"Private not-for-profit, 4-year or above",-75.508502,40.596416,Lehigh County,Centennial Conference,Centennial Conference,13043877
Herkimer County Community College,NY,"Public, 2-year",-75.007206,43.032738,Herkimer County,NA,NA,13043450
Briar Cliff University,IA,"Private not-for-profit, 4-year or above",-96.42696,42.526919,Woodbury County,Great Plains Athletic Conference,Great Plains Athletic Conference,13043341
Brookhaven College,TX,"Public, 2-year",-96.85016,32.928237,Dallas County,NA,NA,13013571
Taylor University,IN,"Private not-for-profit, 4-year or above",-85.496906,40.458382,Grant County,Mid-States Football Association,Crossroads League,12989566
Drew University,NJ,"Private not-for-profit, 4-year or above",-74.425825,40.757026,Morris County,NA,Landmark Conference,12975464
Linn-Benton Community College,OR,"Public, 2-year",-123.115042,44.586996,Linn County,NA,NA,12969631
Elgin Community College,IL,"Public, 2-year",-88.32194,42.018066,Kane County,NA,NA,12964945
The Wright Institute,CA,"Private not-for-profit, 4-year or above",-122.253168,37.868221,Alameda County,NA,NA,12945342
Franklin and Marshall College,PA,"Private not-for-profit, 4-year or above",-76.319037,40.048045,Lancaster County,Centennial Conference,Centennial Conference,12940969
Christian Brothers University,TN,"Private not-for-profit, 4-year or above",-89.983241,35.127437,Shelby County,NA,Gulf South Conference,12934932
Los Angeles Southwest College,CA,"Public, 2-year",-118.304674,33.929586,Los Angeles County,NA,NA,12933108
California College San Diego,CA,"Private not-for-profit, 4-year or above",-117.166966,32.835221,San Diego County,NA,NA,12921949
Lycoming College,PA,"Private not-for-profit, 4-year or above",-77.0003,41.246127,Lycoming County,Middle Atlantic States Athletic Corporation,Middle Atlantic States Athletic Corporation,12916879
Edward Waters College,FL,"Private not-for-profit, 4-year or above",-81.684817,30.34513,Duval County,Other,Gulf Coast Athletic Conference,12879035
La Roche College,PA,"Private not-for-profit, 4-year or above",-80.014851,40.568615,Allegheny County,NA,NA,12878725
South Central College,MN,"Public, 2-year",-94.04741,44.174326,Nicollet County,NA,NA,12873363
Asbury University,KY,"Private not-for-profit, 4-year or above",-84.662606,37.862029,Jessamine County,NA,Kentucky Intercollegiate Ath Conf,12867534
SUNY College of Environmental Science and Forestry,NY,"Public, 4-year or above",-76.139236,43.034355,Onondaga County,NA,NA,12855962
Moreno Valley College,CA,"Public, 2-year",-117.20271,33.88744,Riverside County,NA,NA,12855575
William Penn University,IA,"Private not-for-profit, 4-year or above",-92.648348,41.308868,Mahaska County,Heart of America Athletic Conference,Heart of America Athletic Conference,12849620
Hartnell College,CA,"Public, 2-year",-121.668763,36.673052,Monterey County,NA,NA,12841844
Jones County Junior College,MS,"Public, 2-year",-89.199694,31.597162,Jones County,NA,NA,12836187
Northeast Mississippi Community College,MS,"Public, 2-year",-88.562983,34.667833,Prentiss County,NA,NA,12819747
Pacific Union College,CA,"Private not-for-profit, 4-year or above",-122.440308,38.570585,Napa County,NA,California Pacific Conference,12814385
Texarkana College,TX,"Public, 2-year",-94.078821,33.441916,Bowie County,NA,NA,12797188
Texas College,TX,"Private not-for-profit, 4-year or above",-95.312259,32.374185,Smith County,Central States Football League,Red River Athletic Conference,12791055
Clackamas Community College,OR,"Public, 2-year",-122.574272,45.323185,Clackamas County,NA,NA,12787927
Southeast Kentucky Community and Technical College,KY,"Public, 2-year",-82.994863,36.971339,Harlan County,NA,NA,12783815
Randolph-Macon College,VA,"Private not-for-profit, 4-year or above",-77.478416,37.76043,Hanover County,Old Dominion Athletic Conference,Old Dominion Athletic Conference,12769669
Trinity University,TX,"Private not-for-profit, 4-year or above",-98.482577,29.46286,Bexar County,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,12752951
College of Lake County,IL,"Public, 2-year",-88.012291,42.354164,Lake County,NA,NA,12731195
Los Angeles Mission College,CA,"Public, 2-year",-118.419087,34.314944,Los Angeles County,NA,NA,12721764
New England College of Optometry,MA,"Private not-for-profit, 4-year or above",-71.086521,42.351656,Suffolk County,NA,NA,12705775
William Jessup University,CA,"Private not-for-profit, 4-year or above",-121.292312,38.819728,Placer County,NA,Golden State Athletic Conference,12680989
Gordon College,MA,"Private not-for-profit, 4-year or above",-70.819133,42.588173,Essex County,NA,Commonwealth Coast Conference,12663896
Vaughn College of Aeronautics and Technology,NY,"Private not-for-profit, 4-year or above",-73.881721,40.768348,Queens County,NA,NA,12658454
Durham Technical Community College,NC,"Public, 2-year",-78.880735,35.975202,Durham County,NA,NA,12653544
William Peace University,NC,"Private not-for-profit, 4-year or above",-78.636793,35.789105,Wake County,NA,USA South Athletic Conference,12642603
Kapiolani Community College,HI,"Public, 2-year",-157.800413,21.271357,Honolulu County,NA,NA,12563446
East Texas Baptist University,TX,"Private not-for-profit, 4-year or above",-94.374337,32.554545,Harrison County,American Southwest Conference,American Southwest Conference,12553287
