Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Kauai Community College,HI,"Public, 2-year",-159.395966,21.969509,Kauai County,NA,NA,2932397
Bladen Community College,NC,"Public, 2-year",-78.731119,34.644691,Bladen County,NA,NA,2925814
University of Maine-System Central Office,ME,Administrative Unit,-68.771724,44.801896,Penobscot County,NA,NA,2912361
NTMA Training Centers of Southern California,CA,"Private not-for-profit, less-than 2-year",-118.074231,33.94302,Los Angeles County,NA,NA,2883783
Art Academy of Cincinnati,OH,"Private not-for-profit, 4-year or above",-84.513913,39.108805,Hamilton County,NA,NA,2879745
Sisseton Wahpeton College,SD,"Public, 2-year",-97.060835,45.562731,Roberts County,NA,NA,2878452
South Baylo University,CA,"Private not-for-profit, 4-year or above",-117.958663,33.847936,Orange County,NA,NA,2871461
Institute of American Indian and Alaska Native Culture and Arts Development,NM,"Public, 4-year or above",-106.010015,35.586563,Santa Fe County,NA,NA,2871349
East Arkansas Community College,AR,"Public, 2-year",-90.767726,35.041655,St. Francis County,NA,NA,2859850
American Academy McAllister Institute of Funeral Service,NY,"Private not-for-profit, 2-year",-73.993782,40.769031,New York County,NA,NA,2848994
Piedmont Community College,NC,"Public, 2-year",-78.980607,36.431674,Person County,NA,NA,2843574
Wesley Theological Seminary,DC,"Private not-for-profit, 4-year or above",-77.08996,38.939606,District Of Columbia,NA,NA,2842521
Bard College at Simon's Rock,MA,"Private not-for-profit, 4-year or above",-73.380008,42.209241,Berkshire County,NA,NA,2837166
University of South Carolina-Sumter,SC,"Public, 2-year",-80.374205,33.933501,Sumter County,NA,NA,2837095
Vermilion Community College,MN,"Public, 2-year",-91.837938,47.905213,St. Louis County,NA,NA,2835129
Dallas Theological Seminary,TX,"Private not-for-profit, 4-year or above",-96.779957,32.7943,Dallas County,NA,NA,2825945
College of Biblical Studies-Houston,TX,"Private not-for-profit, 4-year or above",-95.506566,29.716681,Harris County,NA,NA,2821322
St. John's College,NM,"Private not-for-profit, 4-year or above",-105.912478,35.666974,Santa Fe County,NA,NA,2819621
Little Priest Tribal College,NE,"Private not-for-profit, 2-year",-96.470766,42.232399,Thurston County,NA,NA,2803450
Glen Oaks Community College,MI,"Public, 2-year",-85.496929,41.892504,St. Joseph County,NA,NA,2788228
John Paul the Great Catholic University,CA,"Private not-for-profit, 4-year or above",-117.082401,33.12085,San Diego County,NA,NA,2785069
Chesapeake College,MD,"Public, 2-year",-76.083668,38.952193,Queen Anne'S County,NA,NA,2783349
Valley Forge Military College,PA,"Private not-for-profit, 2-year",-75.382097,40.053697,Delaware County,NA,NA,2767038
Fort Peck Community College,MT,"Public, 2-year",-105.193021,48.113569,Roosevelt County,NA,NA,2760779
Be'er Yaakov Talmudic Seminary,NY,"Private not-for-profit, 4-year or above",-74.028425,41.13905,Rockland County,NA,NA,2755420
College of the Albemarle,NC,"Public, 2-year",-76.219606,36.324824,Pasquotank County,NA,NA,2750992
Southeastern Technical College,GA,"Public, 2-year",-82.365827,32.20393,Toombs County,NA,NA,2742281
United States Sports Academy,AL,"Private not-for-profit, 4-year or above",-87.91163,30.639329,Baldwin County,NA,NA,2741933
Southern Arkansas University Tech,AR,"Public, 2-year",-92.721629,33.628367,Calhoun County,NA,NA,2708692
Delaware College of Art and Design,DE,"Private not-for-profit, 2-year",-75.549822,39.741944,New Castle County,NA,NA,2703383
Aria Health School of Nursing,PA,"Private not-for-profit, 2-year",-74.978275,40.125175,Bucks County,NA,NA,2694684
Tennessee College of Applied Technology-Memphis,TN,"Public, 2-year",-90.03881,35.149683,Shelby County,NA,NA,2693122
Baptist Bible College,MO,"Private not-for-profit, 4-year or above",-93.285385,37.239731,Greene County,NA,NA,2690345
Silver Lake College of the Holy Family,WI,"Private not-for-profit, 4-year or above",-87.742961,44.071038,Manitowoc County,NA,Other,2688287
Yeshivath Viznitz,NY,"Private not-for-profit, 4-year or above",-74.066431,41.118499,Rockland County,NA,NA,2684910
Aultman College of Nursing and Health Sciences,OH,"Private not-for-profit, 4-year or above",-81.404182,40.796865,Stark County,NA,NA,2669393
Donnelly College,KS,"Private not-for-profit, 4-year or above",-94.65103,39.112227,Wyandotte County,NA,NA,2656661
Lakeview College of Nursing,IL,"Private not-for-profit, 4-year or above",-87.644452,40.137179,Vermilion County,NA,NA,2635898
Southwestern College,NM,"Private not-for-profit, 4-year or above",-106.052585,35.636241,Santa Fe County,NA,NA,2635197
Brazosport College,TX,"Public, 4-year or above",-95.409004,29.04836,Brazoria County,NA,NA,2627144
Haywood Community College,NC,"Public, 2-year",-82.927918,35.525905,Haywood County,NA,NA,2606048
Marion Military Institute,AL,"Public, 2-year",-87.322041,32.623734,Perry County,NA,NA,2606001
Sheridan Technical College,FL,"Public, 2-year",-80.198024,26.031736,Broward County,NA,NA,2601623
Cascadia College,WA,"Public, 4-year or above",-122.191108,47.759958,King County,NA,NA,2597371
Seward County Community College,KS,"Public, 2-year",-100.917695,37.059807,Seward County,NA,NA,2595886
Sweet Briar College,VA,"Private not-for-profit, 4-year or above",-79.081014,37.556725,Amherst County,NA,NA,2591976
Dallas Christian College,TX,"Private not-for-profit, 4-year or above",-96.887124,32.913698,Dallas County,NA,NA,2580810
New York Academy of Art,NY,"Private not-for-profit, 4-year or above",-74.006019,40.718388,New York County,NA,NA,2565131
Rockingham Community College,NC,"Public, 2-year",-79.758353,36.388682,Rockingham County,NA,NA,2559360
West Shore Community College,MI,"Public, 2-year",-86.336122,44.008512,Mason County,NA,NA,2550111
Northland Pioneer College,AZ,"Public, 2-year",-110.142199,34.93031,Navajo County,NA,NA,2549043
Gupton Jones College of Funeral Service,GA,"Private not-for-profit, 2-year",-84.179602,33.710441,Dekalb County,NA,NA,2529439
Andrew College,GA,"Private not-for-profit, 2-year",-84.795021,31.772321,Randolph County,NA,NA,2529280
South Piedmont Community College,NC,"Public, 2-year",-80.211087,35.000312,Anson County,NA,NA,2523391
Pennsylvania College of Art and Design,PA,"Private not-for-profit, 4-year or above",-76.308769,40.041152,Lancaster County,NA,NA,2522173
Northwest State Community College,OH,"Public, 2-year",-84.30312,41.452684,Henry County,NA,NA,2510802
Nebraska Indian Community College,NE,"Public, 2-year",-96.35176,42.11677,Thurston County,NA,NA,2510321
The Baptist College of Florida,FL,"Private not-for-profit, 4-year or above",-85.503931,30.962708,Jackson County,NA,NA,2477766
Northwest Kansas Technical College,KS,"Public, 2-year",-101.70022,39.346424,Sherman County,NA,NA,2474739
Randall University,OK,"Private not-for-profit, 4-year or above",-97.491107,35.300757,Cleveland County,NA,NA,2454085
Southeastern Illinois College,IL,"Public, 2-year",-88.436631,37.75174,Saline County,NA,NA,2445737
Covenant School of Nursing and Allied Health,TX,"Private not-for-profit, 2-year",-101.937872,33.5757,Lubbock County,NA,NA,2432465
Frank Phillips College,TX,"Public, 2-year",-101.405653,35.655151,Hutchinson County,NA,NA,2422057
Cooper Union for the Advancement of Science and Art,NY,"Private not-for-profit, 4-year or above",-73.990516,40.72938,NA,NA,NA,2410927
Flint Hills Technical College,KS,"Public, 2-year",-96.223623,38.420955,Lyon County,NA,NA,2386926
James Sprunt Community College,NC,"Public, 2-year",-77.977639,34.946802,Duplin County,NA,NA,2385492
Williston State College,ND,"Public, 2-year",-103.613066,48.158603,Williams County,NA,NA,2380783
Bryn Athyn College of the New Church,PA,"Private not-for-profit, 4-year or above",-75.06093,40.131358,Montgomery County,NA,North Eastern Athletic Conference,2379495
Relay Graduate School of Education,NY,"Private not-for-profit, 4-year or above",-73.993407,40.740511,New York County,NA,NA,2364040
Divine Mercy University,VA,"Private not-for-profit, 4-year or above",-77.05135,38.855847,Arlington County,NA,NA,2348664
Quinebaug Valley Community College,CT,"Public, 2-year",-71.889673,41.82623,Windham County,NA,NA,2342766
New York Methodist Hospital Center for Allied Health Education,NY,"Private not-for-profit, 2-year",-73.959024,40.608669,Kings County,NA,NA,2308761
Lamar Community College,CO,"Public, 2-year",-102.616144,38.068886,Prowers County,NA,NA,2297329
Marlboro College,VT,"Private not-for-profit, 4-year or above",-72.736552,42.839603,Windham County,NA,NA,2285481
Morgan Community College,CO,"Public, 2-year",-103.771822,40.258792,Morgan County,NA,NA,2284196
Erie 1 BOCES,NY,"Public, less-than 2-year",-78.78642,42.851567,Erie County,NA,NA,2279741
Trinity College of Nursing & Health Sciences,IL,"Private not-for-profit, 4-year or above",-90.57091,41.48559,Rock Island County,NA,NA,2267150
University of South Carolina-Union,SC,"Public, 2-year",-81.619238,34.716337,Union County,NA,NA,2258456
North Florida Community College,FL,"Public, 2-year",-83.420732,30.473841,Madison County,NA,NA,2255176
Warren County Community College,NJ,"Public, 2-year",-75.018309,40.744812,Warren County,NA,NA,2249203
Ogden-Weber Applied Technology College,UT,"Public, less-than 2-year",-111.964808,41.264286,Weber County,NA,NA,2248205
Barclay College,KS,"Private not-for-profit, 4-year or above",-99.104027,37.620691,Kiowa County,NA,NA,2236029
Beaufort County Community College,NC,"Public, 2-year",-76.96535,35.533587,Beaufort County,NA,NA,2221289
Manatee Technical College,FL,"Public, 2-year",-82.481088,27.447894,Manatee County,NA,NA,2212863
Institute of World Politics,DC,"Private not-for-profit, 4-year or above",-77.036112,38.910537,District Of Columbia,NA,NA,2205629
Metropolitan Learning Institute,NY,"Private not-for-profit, less-than 2-year",-73.862296,40.730459,Queens County,NA,NA,2193809
Brunswick Community College,NC,"Public, 2-year",-78.22979,34.038973,Brunswick County,NA,NA,2189106
Chatfield College,OH,"Private not-for-profit, 2-year",-83.887153,39.210369,Brown County,NA,NA,2188044
Mayland Community College,NC,"Public, 2-year",-82.016988,35.934475,Avery County,NA,NA,2187761
St Joseph's College of Nursing at St Joseph's Hospital Health Center,NY,"Private not-for-profit, 2-year",-76.148355,43.055355,Onondaga County,NA,NA,2178511
Oregon College of Art and Craft,OR,"Private not-for-profit, 4-year or above",-122.760915,45.510599,Washington County,NA,NA,2159327
White Earth Tribal and Community College,MN,"Private not-for-profit, 2-year",-95.953499,47.320446,Mahnomen County,NA,NA,2154366
Wentworth Military Academy and College,MO,"Private not-for-profit, 2-year",-93.872974,39.187108,Lafayette County,NA,NA,2148851
College of the Atlantic,ME,"Private not-for-profit, 4-year or above",-68.221517,44.395258,Hancock County,NA,NA,2133138
Columbia Gorge Community College,OR,"Public, 2-year",-121.190197,45.590724,Wasco County,NA,NA,2131466
Yo San University of Traditional Chinese Medicine,CA,"Private not-for-profit, 4-year or above",-118.442947,33.9929,Los Angeles County,NA,NA,2121517
Talmudical Seminary of Bobov,NY,"Private not-for-profit, 4-year or above",-73.995378,40.634485,Kings County,NA,NA,2116228
Cossatot Community College of the University of Arkansas,AR,"Public, 2-year",-94.3673,34.043389,Sevier County,NA,NA,2115649
Lake Tahoe Community College,CA,"Public, 2-year",-119.971631,38.926864,El Dorado County,NA,NA,2115167
University of Pittsburgh Medical Center-Shadyside School of Nursing,PA,"Private not-for-profit, 2-year",-79.940831,40.454415,Allegheny County,NA,NA,2070889
Payne Theological Seminary,OH,"Private not-for-profit, 4-year or above",-83.884871,39.715286,Greene County,NA,NA,2049750
Alabama Southern Community College,AL,"Public, 2-year",-87.326352,31.488925,Monroe County,NA,NA,2042310
Saginaw Chippewa Tribal College,MI,"Public, 2-year",-84.732485,43.607105,Isabella County,NA,NA,2039000
Pentecostal Theological Seminary,TN,"Private not-for-profit, 4-year or above",-84.868326,35.162528,Bradley County,NA,NA,2026393
Manhattan School of Computer Technology,NY,"Private not-for-profit, less-than 2-year",-73.967148,40.634492,Kings County,NA,NA,2023477
Applied Technology Services,MO,"Public, less-than 2-year",-90.413236,38.542285,St. Louis County,NA,NA,2003773
Carolinas College of Health Sciences,NC,"Public, 2-year",-80.838535,35.200295,Mecklenburg County,NA,NA,1980992
Central Pennsylvania Institute of Science and Technology,PA,"Public, less-than 2-year",-77.740423,40.882223,Centre County,NA,NA,1970151
Keweenaw Bay Ojibwa Community College,MI,"Public, 2-year",-88.50791,46.780701,Baraga County,NA,NA,1967229
American Jewish University,CA,"Private not-for-profit, 4-year or above",-118.471764,34.128099,Los Angeles County,NA,NA,1961481
Lively Technical Center,FL,"Public, less-than 2-year",-84.339057,30.448534,Leon County,NA,NA,1959795
Mid-EastCTC-Adult Education,OH,"Public, less-than 2-year",-81.976056,39.937192,Muskingum County,NA,NA,1957352
Greater Altoona Career & Technology Center,PA,"Public, less-than 2-year",-78.398094,40.508337,Blair County,NA,NA,1948739
Wabash Valley College,IL,"Public, 2-year",-87.78205,38.4293,Wabash County,NA,NA,1944429
Thomas Aquinas College,CA,"Private not-for-profit, 4-year or above",-119.087141,34.429009,Ventura County,NA,NA,1929028
Yeshiva of Machzikai Hadas,NY,"Private not-for-profit, 4-year or above",-73.987833,40.638341,Kings County,NA,NA,1922510
