"source","target","value"
"Boston University","Medical R&D (Infectious Diseases)",29824283
"Boston University","Early Childhood Programs",15344290
"Boston University","Social Wellness and Development",9088385
"Bowdoin College","Science, Engineering, and Mathematics",1801615.16
"Bowdoin College","Education",933966
"Bowdoin College","Medical R&D",803839
"Bowdoin College","Medical R&D (Infectious Diseases)",419260
"Bowdoin College","Environment",160291
"Bowie State University","Education",7344671
"Bowie State University","Science, Engineering, and Mathematics",1161840.74
"Bowie State University","Individuals with Disabilities",734755
"Bowie State University","Research Support Programs",241463
"Bowie State University","Nursing and Health Professionals",240936
"Bowling Green State University-Main Campus","Education",3274898
"Bowling Green State University-Main Campus","Medical R&D",1074534
"Bowling Green State University-Main Campus","Science, Engineering, and Mathematics",1003416
"Bowling Green State University-Main Campus","Early Childhood Programs",620238
"Bowling Green State University-Main Campus","Research Support Programs",242136
"Bradley University","Science, Engineering, and Mathematics",60000
"Brandeis University","Medical R&D",19803225
"Brandeis University","Science, Engineering, and Mathematics",5466026
"Brandeis University","Criminal Justice and Public Safety",3081101.57
"Brandeis University","Social Wellness and Development",2489264
"Brandeis University","Individuals with Disabilities",2007851
"Brescia University","Education",450000
"Brewster Technical College","Education",2827574.34
"Brewster Technical College","Social Wellness and Development",1500000
"Brewster Technical College","HIV Programs",360000
"Briar Cliff University","Education",1208244.63
"Bridgerland Applied Technology College","Education",225000
"Bridgewater State University","Education",149250
"Brigham Young University-Provo","Science, Engineering, and Mathematics",11409586.52
"Brigham Young University-Provo","Medical R&D",3044253
"Brigham Young University-Provo","Medical R&D (Infectious Diseases)",988510
"Brigham Young University-Provo","Environment",577472.6
"Brigham Young University-Provo","Social Wellness and Development",399219
"Brighton Center's Center for Employment Training","Housing and Development",507245
"Brighton Center's Center for Employment Training","Homelessness",347355
"Brighton Center's Center for Employment Training","Social Wellness and Development",161856
"Bristol Community College","Education",1379496
"Brookdale Community College","Education",1153701
"Brookhaven College","Education",865535
"Broward College","Education",2111242
"Broward College","Refugee and Entrant Assistance",250000
"Broward College","Disaster Response and Assistance",183672
"Broward College","EDUCATION & TRAINING SERVICES",5250
"Brown University","Medical R&D",75284424
"Brown University","Science, Engineering, and Mathematics",29805313.24
"Brown University","Addiction and Recovery",10499435
"Brown University","Defense R&D",7113768
"Brown University","Medical R&D (Infectious Diseases)",6058073
"Bryan College of Health Sciences","Nursing and Health Professionals",215546
"Bryant University","Trade Assistance",310310
"Bryant University","Science, Engineering, and Mathematics",54483
"Bryn Mawr College","Medical R&D",362500
"Bryn Mawr College","Science, Engineering, and Mathematics",130084
"Buckeye Hills Career Center","Education",48616
"Bucknell University","Education",1220060
"Bucknell University","Science, Engineering, and Mathematics",1088590.76
"Bucknell University","Medical R&D (Infectious Diseases)",133604
"Bucknell University","Wildlife Conservation",59900
"Bucks County Community College","EDUCATION & TRAINING SERVICES",694693.2
"Bucks County Community College","EQUIPMENT & MATERIALS TESTING",11240
"Bucks County Community College","Humanities and the Arts",10000
"Buena Vista University","Early Childhood Programs",329633
"Bunker Hill Community College","Education",900712
"Bunker Hill Community College","Nursing and Health Professionals",300000
"Butler Community College","Childcare and Welfare",232023
"Butler University","Science, Engineering, and Mathematics",492570
"Butler University","Education",469197
"Butler University","Agriculture and Farming",41303.3
"Butte College","Childcare and Welfare",422199
"Butte College","Environmental R&D",75000
"Butte College","Science, Engineering, and Mathematics",3500
"Cabrillo College","Education",1679541
"Cabrillo College","Childcare and Welfare",102428
"Cabrini University","Academic Exchange Programs",85746
"Cabrini University","Education",60169
"Caddo Kiowa Technology Center","EDUCATION & TRAINING SERVICES",16575
"Caldwell Community College and Technical Institute","Education",319570
"Caldwell University","Social Wellness and Development",299238
"California Baptist University","Nursing and Health Professionals",1000000
"California Baptist University","Science, Engineering, and Mathematics",181696
"California Baptist University","Social Wellness and Development",125000
"California College of the Arts","Humanities and the Arts",25000
"California Institute of Technology","SPACE R&D",2710871850.34
"California Institute of Technology","Science, Engineering, and Mathematics",113473170.6
"California Institute of Technology","Medical R&D",65820898
"California Institute of Technology","Energy Programs",16586417.01
"California Institute of Technology","Defense R&D",11723575
"California Institute of the Arts","Humanities and the Arts",40000
"California Lutheran University","Education",3956162
"California Lutheran University","Research Support Programs",242134
