"source","target","value"
"The University of Tennessee-Knoxville","Medical R&D",4255038
"The University of Tennessee-Martin","Education",530885
"The University of Tennessee-Martin","Wildlife Conservation",12000
"The University of Texas at Arlington","Science, Engineering, and Mathematics",7820958
"The University of Texas at Arlington","Trade Assistance",6608779
"The University of Texas at Arlington","Medical R&D",5837985
"The University of Texas at Arlington","Education",5723187.45
"The University of Texas at Arlington","Energy Programs",2760831
"The University of Texas at Austin","Science, Engineering, and Mathematics",151637919.95
"The University of Texas at Austin","DEFENSE (OTHER) R&D",91246717.56
"The University of Texas at Austin","Medical R&D",63679243
"The University of Texas at Austin","Energy Programs",44049176
"The University of Texas at Austin","Education",27426900
"The University of Texas at Brownsville","Education",191441.83
"The University of Texas at Dallas","Medical R&D",25526976
"The University of Texas at Dallas","Science, Engineering, and Mathematics",13474687.96
"The University of Texas at Dallas","Environment",2229238
"The University of Texas at Dallas","Defense R&D",2081836
"The University of Texas at Dallas","Social Wellness and Development",1353094
"The University of Texas at El Paso","Education",16193923.83
"The University of Texas at El Paso","Science, Engineering, and Mathematics",8734236.56
"The University of Texas at El Paso","Medical R&D",7050402
"The University of Texas at El Paso","Research Support Programs",6352834
"The University of Texas at El Paso","Nursing and Health Professionals",2411181
"The University of Texas at San Antonio","Education",10030019.73
"The University of Texas at San Antonio","Science, Engineering, and Mathematics",7374725
"The University of Texas at San Antonio","Medical R&D",6988788
"The University of Texas at San Antonio","Business",4243902
"The University of Texas at San Antonio","DEFENSE (OTHER) R&D",2051436
"The University of Texas at Tyler","Nursing and Health Professionals",1567562
"The University of Texas at Tyler","Medical R&D",419336
"The University of Texas at Tyler","Science, Engineering, and Mathematics",349414
"The University of Texas at Tyler","Regional Development",112850
"The University of Texas at Tyler","Public Health",111754
"The University of Texas Health Science Center at Houston","Medical R&D",73518022
"The University of Texas Health Science Center at Houston","Medical R&D (Infectious Diseases)",11784060
"The University of Texas Health Science Center at Houston","Early Childhood Programs",4890196
"The University of Texas Health Science Center at Houston","Occupational Safety",2433333.58
"The University of Texas Health Science Center at Houston","MEDICAL R&D",2265353
"The University of Texas Health Science Center at San Antonio","Medical R&D",79945134
"The University of Texas Health Science Center at San Antonio","Medical R&D (Infectious Diseases)",7049084
"The University of Texas Health Science Center at San Antonio","MEDICAL, DENTAL, & SURGICAL SERVICES",5481049.45
"The University of Texas Health Science Center at San Antonio","Social Wellness and Development",3408257
"The University of Texas Health Science Center at San Antonio","Public Health",3097680
"The University of Texas MD Anderson Cancer Center","Medical R&D",138388532
"The University of Texas MD Anderson Cancer Center","MEDICAL, DENTAL, & SURGICAL SERVICES",7653828
"The University of Texas MD Anderson Cancer Center","Medical R&D (Infectious Diseases)",5141049
"The University of Texas MD Anderson Cancer Center","MEDICAL R&D",4039707.87
"The University of Texas MD Anderson Cancer Center","Research Support Programs",1598706
"The University of Texas Medical Branch","Medical R&D (Infectious Diseases)",39538452
"The University of Texas Medical Branch","Medical R&D",35285638
"The University of Texas Medical Branch","MEDICAL R&D",6355179.08
"The University of Texas Medical Branch","Early Childhood Programs",5371753
"The University of Texas Medical Branch","Social Wellness and Development",3118551
"The University of Texas of the Permian Basin","Medical R&D",845126
"The University of Texas of the Permian Basin","Education",504424
"The University of Texas of the Permian Basin","Humanities and the Arts",17000
"The University of Texas Rio Grande Valley","Education",13385216.78
"The University of Texas Rio Grande Valley","Childcare and Welfare",7810217
"The University of Texas Rio Grande Valley","Medical R&D",5181683
"The University of Texas Rio Grande Valley","Science, Engineering, and Mathematics",1599408
"The University of Texas Rio Grande Valley","Refugee and Entrant Assistance",1324999
"The University of West Florida","Business",8001438.84
"The University of West Florida","Education",921592
"The University of West Florida","Science, Engineering, and Mathematics",231317.08
"The University of West Florida","Childcare and Welfare",156032
"The University of West Florida","Medical R&D",151576
"Thomas College","Education",683998
"Thomas Edison State University","State Reimbursement",4098162
"Thomas Edison State University","Education",222697
"Thomas Jefferson University","Medical R&D",57116898
"Thomas Jefferson University","Medical R&D (Infectious Diseases)",6812554
"Thomas Jefferson University","MEDICAL R&D",4833053
"Thomas Jefferson University","Addiction and Recovery",1638125
"Thomas Jefferson University","Early Childhood Programs",998048
"Thomas Nelson Community College","Education",254356
"Thomas University","Education",589308
"Thomas University","Employment Programs",199885
"Three Rivers College","Education",817070.59
"Tidewater Community College","EDUCATION & TRAINING SERVICES",1667025.5
"Tidewater Community College","Education",618786
"Tidewater Community College","Childcare and Welfare",369501
"Tidewater Community College","Transportation",97336
"Tillamook Bay Community College","Regional Development",50000
"Tougaloo College","Education",6381724.47
"Tougaloo College","MEDICAL R&D",1154033.02
"Tougaloo College","Early Childhood Programs",1139160
"Tougaloo College","Business",695412
"Touro College","Nursing and Health Professionals",630000
"Touro College","EDUCATION & TRAINING SERVICES",294976
"Touro College","Information Services and Records Preservation",57500
"Touro College","Science, Engineering, and Mathematics",34577
"Touro University California","Nursing and Health Professionals",630000
"Touro University California","EDUCATION & TRAINING SERVICES",628774.97
"Touro University California","Medical R&D (Infectious Diseases)",234375
"Touro University Nevada","EDUCATION & TRAINING SERVICES",432422.59
"Towson University","Science, Engineering, and Mathematics",1565853.36
"Towson University","Education",517532
"Towson University","Medical R&D",515537
"Towson University","Defense R&D",50000
"Towson University","ENVIRONMENTAL PROTECTION R&D",48846
"Treasure Valley Community College","Refugee and Entrant Assistance",899325
"Treasure Valley Community College","Education",486890
"Treasure Valley Community College","Environment",16060
"Trevecca Nazarene University","Food and Nutrition",35000
"Tri-County Adult Career Center","Education",47017
"Tri-Rivers Career Center","Education",41283
"Trident Technical College","Education",3913575
"Trident Technical College","Science, Engineering, and Mathematics",250000
"Trident Technical College","EDUCATION & TRAINING SERVICES",7475
"Trident Technical College","PROFESSIONAL SERVICES",2560
"Trine University","Science, Engineering, and Mathematics",8944
"Trinidad State Junior College","Education",1073376
"Trinidad State Junior College","SPECIAL STUDIES - NOT R&D",37277.5
"Trinity College","Medical R&D",980021
"Trinity College","Science, Engineering, and Mathematics",645344
"Trinity College","Humanities and the Arts",6000
"Trinity College of Nursing & Health Sciences","Nursing and Health Professionals",131336
"Trinity University","EDUCATION & TRAINING SERVICES",486863
"Trinity University","Education",444725
"Trinity University","Science, Engineering, and Mathematics",269647
"Trinity University","Medical R&D",248928
"Trinity University","Research Support Programs",242136
"Trinity Washington University","Education",633200
"Triton College","Education",1441635
"Triton College","Social Wellness and Development",49416
"Triton College","Information Services and Records Preservation",12909
"Trocaire College","Nursing and Health Professionals",466009
"Trocaire College","Social Wellness and Development",299639
"Troy University","Research Support Programs",3442136
"Troy University","Education",1330840
"Troy University","Employment Programs",400000
"Troy University","Wetland Preservation",271117
"Troy University","Humanities and the Arts",119042
"Truckee Meadows Community College","GEN. SCIENCE & TECHNOLOGY R&D",3069994.62
"Truckee Meadows Community College","Science, Engineering, and Mathematics",2639910.51
"Truckee Meadows Community College","NATURAL RESOURCES - OTHER SERVICES",1212548
"Truckee Meadows Community College","SPECIAL STUDIES - NOT R&D",1090669.15
"Truckee Meadows Community College","Energy Programs",545838
"Truman State University","Education",1485666
"Truman State University","Science, Engineering, and Mathematics",400000
"Truman State University","Research Support Programs",280658
"Tufts University","Medical R&D",64800199
"Tufts University","Medical R&D (Infectious Diseases)",15450190
"Tufts University","Science, Engineering, and Mathematics",12883928.83
"Tufts University","Agriculture and Farming",11708036
"Tufts University","PROFESSIONAL SERVICES",5890745.18
"Tulane University of Louisiana","Medical R&D",46849209
"Tulane University of Louisiana","Medical R&D (Infectious Diseases)",13230667
"Tulane University of Louisiana","Science, Engineering, and Mathematics",7507418
"Tulane University of Louisiana","Early Childhood Programs",6813319
"Tulane University of Louisiana","MEDICAL R&D",4475087.9
"Tulsa Community College","Education",494704.4
"Tulsa Community College","Addiction and Recovery",125000
"Turtle Mountain Community College","Education",9132100.83
"Turtle Mountain Community College","Nursing and Health Professionals",2285882
"Turtle Mountain Community College","Tribal Programs",664107
"Turtle Mountain Community College","Regional Development",129000
"Turtle Mountain Community College","Agriculture and Farming R&D",125000
"Tusculum College","Education",2256915
"Tusculum College","Regional Development",20000
"Tuskegee University","Education",13113068.26
"Tuskegee University","Medical R&D",4072203
"Tuskegee University","Nursing and Health Professionals",2891266
"Tuskegee University","Science, Engineering, and Mathematics",2663655
"Tuskegee University","Agriculture and Farming R&D",566500.57
"Tyler Junior College","Education",262519
"U S Grant Joint Vocational School","Education",44588
"Ulster County Community College","Education",996158
"Umpqua Community College","Education",877552.55
"Umpqua Community College","Environment",319477.78
"Umpqua Community College","Childcare and Welfare",82931
"Union College","Education",1317793
"Union College","Science, Engineering, and Mathematics",813055
"Union College","Humanities and the Arts",10000
"Union County College","Education",2254023
"Union University","Nursing and Health Professionals",90598
"United Tribes Technical College","Education",6953836.21
"United Tribes Technical College","Tribal Programs",4415839
"United Tribes Technical College","Food and Nutrition",1143900
"United Tribes Technical College","Regional Development",1031900
"United Tribes Technical College","Business",300000
"UnityPoint Health-Des Moines School of Radiologic Technology","MEDICAL, DENTAL, & SURGICAL SERVICES",463500
"UnityPoint Health-Des Moines School of Radiologic Technology","GENERAL HEALTH CARE SERVICES",14308
"Universidad Adventista de las Antillas","Education",1009113
"Universidad Central de Bayamon","Education",948319
"Universidad Central de Bayamon","Employment Programs",344640
"Universidad Central de Bayamon","Childcare and Welfare",60336
"Universidad del Sagrado Corazon","Regional Development",2315000
"Universidad del Sagrado Corazon","Education",1513780
"Universidad del Sagrado Corazon","Humanities and the Arts",180000
"Universidad del Sagrado Corazon","Business",111500
"Universidad del Sagrado Corazon","Social Wellness and Development",10000
"Universidad Metropolitana","Education",1177387
"Universidad Metropolitana","Childcare and Welfare",470184
"Universidad Metropolitana","Food and Nutrition",427662
"Universidad Metropolitana","Agriculture and Farming R&D",144932.56
"Universidad Metropolitana","Science, Engineering, and Mathematics",107020
"Universidad Politecnica de Puerto Rico","Education",5674544
"Universidad Politecnica de Puerto Rico","Research Support Programs",79904.4
"University of Akron","Science, Engineering, and Mathematics",3467037.1
"University of Akron","Education",1972919.17
"University of Akron","Energy Programs",786839
"University of Akron","Medical R&D",772689
"University of Akron","Research Support Programs",353492
"University of Alabama at Birmingham","Medical R&D",226042671
"University of Alabama at Birmingham","Medical R&D (Infectious Diseases)",43971735
"University of Alabama at Birmingham","Research Support Programs",13470900
"University of Alabama at Birmingham","Early Childhood Programs",12054460
"University of Alabama at Birmingham","MEDICAL R&D",11994393.36
"University of Alabama in Huntsville","Education",20378113.82
"University of Alabama in Huntsville","Science, Engineering, and Mathematics",16103725.31
"University of Alabama in Huntsville","DEFENSE SYSTEMS R&D",5965269.34
"University of Alabama in Huntsville","DEFENSE (OTHER) R&D",5057789.31
"University of Alabama in Huntsville","Homeland Security",2000000
"University of Alaska Anchorage","Science, Engineering, and Mathematics",2711197
"University of Alaska Anchorage","Education",2499496.17
"University of Alaska Anchorage","Homeland Security",2487515
"University of Alaska Anchorage","Business",1516846
"University of Alaska Anchorage","Early Childhood Programs",1185222
"University of Alaska Fairbanks","Science, Engineering, and Mathematics",48428968.8
"University of Alaska Fairbanks","Education",9636556.95
"University of Alaska Fairbanks","Energy Programs",9087656.6
"University of Alaska Fairbanks","Research Support Programs",5296532
"University of Alaska Fairbanks","Medical R&D",5027795
"University of Alaska Southeast","Education",3137258.02
"University of Alaska Southeast","Science, Engineering, and Mathematics",364888
"University of Alaska Southeast","Environment",81815.58
"University of Alaska Southeast","Fisheries",23938
"University of Arizona","Medical R&D",103093417
"University of Arizona","Science, Engineering, and Mathematics",64293311.33
"University of Arizona","SPACE R&D",33145752
"University of Arizona","Research Support Programs",13992880
"University of Arizona","Medical R&D (Infectious Diseases)",11531869
"University of Arkansas","Science, Engineering, and Mathematics",15339585.73
"University of Arkansas","Hazardous Materials",8000000
"University of Arkansas","Agriculture and Farming R&D",7095475
"University of Arkansas","Education",6317776.36
"University of Arkansas","Energy Programs",6139760.35
"University of Arkansas at Little Rock","Education",3349260.4
"University of Arkansas at Little Rock","Agriculture and Farming R&D",1546736
"University of Arkansas at Little Rock","Business",1361680.85
"University of Arkansas at Little Rock","Social Wellness and Development",760804
"University of Arkansas at Little Rock","Science, Engineering, and Mathematics",576221
"University of Arkansas at Monticello","ENVIRONMENTAL SYSTEMS PROTECTION",9406
"University of Arkansas at Pine Bluff","Education",7752851.74
"University of Arkansas at Pine Bluff","Childcare and Welfare",1228177
"University of Arkansas at Pine Bluff","Agriculture and Farming R&D",903465.73
"University of Arkansas at Pine Bluff","Defense R&D",245000
"University of Arkansas at Pine Bluff","NATURAL RESOURCE CONSERVERVAT ION SERVICES",48744.75
"University of Arkansas Community College Rich Mountain","Education",1877356
"University of Arkansas Community College Rich Mountain","Childcare and Welfare",30027
"University of Arkansas Community College-Batesville","Education",242136
"University of Arkansas Community College-Hope","Education",1066933
"University of Arkansas for Medical Sciences","Medical R&D",32278087
"University of Arkansas for Medical Sciences","Childcare and Welfare",8408941
"University of Arkansas for Medical Sciences","Medical R&D (Infectious Diseases)",4278713
"University of Arkansas for Medical Sciences","Social Wellness and Development",3356656
"University of Arkansas for Medical Sciences","Early Childhood Programs",3273272
"University of Arkansas-Fort Smith","Education",815338
"University of Baltimore","Drug Policy R&D",7896802.2
"University of Baltimore","Information Services and Records Preservation",95392
"University of Bridgeport","Education",618639
"University of Bridgeport","Early Childhood Programs",89551
"University of California Office of the President","Agriculture and Farming",2705361
"University of California Office of the President","Environmental R&D",1610025
"University of California Office of the President","Environment",385839.84
"University of California Office of the President","Medical R&D",368064
"University of California Office of the President","Food and Nutrition",299990
"University of California-Berkeley","OPERATE GOVERNMENT OWNED BUILDINGS",992153754.07
"University of California-Berkeley","Medical R&D",126891991
"University of California-Berkeley","Science, Engineering, and Mathematics",116297777.74
"University of California-Berkeley","Education",37009498.34
"University of California-Berkeley","Energy Programs",23892868.98
"University of California-Davis","Medical R&D",197033571
"University of California-Davis","Science, Engineering, and Mathematics",59576171.12
"University of California-Davis","Humanitarian Assistance",29819065
"University of California-Davis","Agriculture and Farming R&D",24395000.98
"University of California-Davis","Education",21281002.18
"University of California-Hastings College of Law","LEASE & RENTAL OF BUILDINGS",128390.4
"University of California-Hastings College of Law","Foreign Policy",90384
"University of California-Hastings College of Law","Science, Engineering, and Mathematics",39998
"University of California-Irvine","Medical R&D",132641927
"University of California-Irvine","Science, Engineering, and Mathematics",60613886.99
"University of California-Irvine","Education",33738434.29
"University of California-Irvine","Energy Programs",11097982.06
"University of California-Irvine","Medical R&D (Infectious Diseases)",10665838
"University of California-Los Angeles","Medical R&D",318979257
"University of California-Los Angeles","Science, Engineering, and Mathematics",80380315.49
"University of California-Los Angeles","Medical R&D (Infectious Diseases)",41827875
"University of California-Los Angeles","Energy Programs",33072339.39
"University of California-Los Angeles","Early Childhood Programs",24174845
"University of California-Merced","Education",6877830.53
"University of California-Merced","Medical R&D",4172914
"University of California-Merced","Science, Engineering, and Mathematics",3757057
"University of California-Merced","Energy Programs",2275225.85
"University of California-Merced","Business",1688939.32
"University of California-Riverside","Science, Engineering, and Mathematics",33191583
"University of California-Riverside","Medical R&D",21008470
"University of California-Riverside","Energy Programs",7258010
"University of California-Riverside","Education",6109509.9
"University of California-Riverside","Agriculture and Farming R&D",4565794.06
"University of California-San Diego","Medical R&D",348728463
"University of California-San Diego","Science, Engineering, and Mathematics",189607613.95
"University of California-San Diego","Medical R&D (Infectious Diseases)",51272350
"University of California-San Diego","Social Wellness and Development",34443182.8
"University of California-San Diego","Research Support Programs",24083787.15
"University of California-San Francisco","Medical R&D",527627623
"University of California-San Francisco","Medical R&D (Infectious Diseases)",86681870
"University of California-San Francisco","HIV Programs",20764321
"University of California-San Francisco","Early Childhood Programs",18284599
"University of California-San Francisco","Social Wellness and Development",13381986
"University of California-Santa Barbara","Science, Engineering, and Mathematics",61202843.33
"University of California-Santa Barbara","Medical R&D",13019878
"University of California-Santa Barbara","Energy Programs",10907290.87
"University of California-Santa Barbara","OTHER R&D",9733159.36
"University of California-Santa Barbara","Defense R&D",7660941
"University of California-Santa Cruz","Medical R&D",32487586
"University of California-Santa Cruz","Science, Engineering, and Mathematics",21185038.59
"University of California-Santa Cruz","Education",8515627
"University of California-Santa Cruz","Energy Programs",3611796
"University of California-Santa Cruz","Wildlife",3426600.37
"University of California-System Administration Central Office","OPERATE GOVERNMENT OWNED BUILDINGS",144998505
"University of California-System Administration Central Office","SPACE R&D",4969986
"University of California-System Administration Central Office","Education",3500000
"University of California-System Administration Central Office","Humanities and the Arts",87408
"University of California-System Administration Central Office","Science, Engineering, and Mathematics",49888
"University of Central Arkansas","Agriculture and Farming R&D",469000
"University of Central Arkansas","Education",315155
"University of Central Arkansas","Environment",20000
"University of Central Florida","Science, Engineering, and Mathematics",29164562.75
"University of Central Florida","Defense R&D",11611596
"University of Central Florida","MEDICAL R&D",11572866
"University of Central Florida","Medical R&D",7846746
"University of Central Florida","Education",7590084.61
"University of Central Missouri","Education",2197253
"University of Central Missouri","Research Support Programs",267450
"University of Central Oklahoma","Education",8009267
"University of Central Oklahoma","Employment Programs",454006
"University of Central Oklahoma","Medical R&D",274871
"University of Central Oklahoma","Research Support Programs",242127
"University of Central Oklahoma","Humanities and the Arts",51000
"University of Charleston","Education",364527
"University of Chicago","Medical R&D",154500074
"University of Chicago","PROFESSIONAL SERVICES",85055275.52
"University of Chicago","Science, Engineering, and Mathematics",67286554.43
"University of Chicago","MEDICAL R&D",21420424.83
"University of Chicago","Medical R&D (Infectious Diseases)",16907131
"University of Cincinnati","Medical R&D",59197699
"University of Cincinnati","Education",7855702.67
"University of Cincinnati","Science, Engineering, and Mathematics",7172327.64
"University of Cincinnati","Defense R&D",5403621
"University of Cincinnati","Medical R&D (Infectious Diseases)",5163894
"University of Colorado Boulder","Science, Engineering, and Mathematics",197286809.45
"University of Colorado Boulder","Medical R&D",41236148
"University of Colorado Boulder","Energy Programs",20353070.17
"University of Colorado Boulder","Education",20078844.98
"University of Colorado Boulder","SPACE R&D",18668371.81
"University of Colorado Colorado Springs","Education",1090202
"University of Colorado Colorado Springs","Medical R&D",914365
"University of Colorado Colorado Springs","Science, Engineering, and Mathematics",764480
"University of Colorado Colorado Springs","Childcare and Welfare",267587
"University of Colorado Colorado Springs","Nursing and Health Professionals",208321
"University of Colorado Denver/Anschutz Medical Campus","Medical R&D",204967304
"University of Colorado Denver/Anschutz Medical Campus","Medical R&D (Infectious Diseases)",20319810
"University of Colorado Denver/Anschutz Medical Campus","Early Childhood Programs",14161500
"University of Colorado Denver/Anschutz Medical Campus","Research Support Programs",7097981.01
"University of Colorado Denver/Anschutz Medical Campus","Science, Engineering, and Mathematics",6048858.89
"University of Connecticut","Medical R&D",65079985
"University of Connecticut","Science, Engineering, and Mathematics",28383378.52
"University of Connecticut","Medical R&D (Infectious Diseases)",7682798
"University of Connecticut","Education",6778544.61
"University of Connecticut","Energy Programs",5457554.39
"University of Dayton","PROFESSIONAL SERVICES",55048216.71
"University of Dayton","DEFENSE SYSTEMS R&D",49740262.86
"University of Dayton","Defense R&D",12964258
"University of Dayton","DEFENSE (OTHER) R&D",6703815
"University of Dayton","Science, Engineering, and Mathematics",1657256
"University of Delaware","Science, Engineering, and Mathematics",50212637.76
"University of Delaware","Medical R&D",34571511
"University of Delaware","Energy Programs",9902331.82
"University of Delaware","Education",6952282.51
"University of Delaware","Research Support Programs",4791135.82
"University of Denver","Medical R&D",5090852
"University of Denver","Childcare and Welfare",4250000
"University of Denver","Science, Engineering, and Mathematics",2121548
"University of Denver","Social Wellness and Development",1494480
"University of Denver","Research Support Programs",1098330.16
"University of Detroit Mercy","Research Support Programs",5240946
"University of Detroit Mercy","Nursing and Health Professionals",1253538
"University of Detroit Mercy","EDUCATION & TRAINING SERVICES",562214.1
"University of Detroit Mercy","Education",516277
"University of Detroit Mercy","Medical R&D (Infectious Diseases)",161413
"University of Dubuque","Education",235084
"University of Dubuque","Environment",9200
"University of Florida","Medical R&D",137513131
"University of Florida","Science, Engineering, and Mathematics",52729029.06
"University of Florida","Agriculture and Farming R&D",31331719.58
"University of Florida","Medical R&D (Infectious Diseases)",23156463
"University of Florida","Research Support Programs",17761841.21
"University of Georgia","Medical R&D",35867241
"University of Georgia","Science, Engineering, and Mathematics",29296030.82
"University of Georgia","Agriculture and Farming R&D",17250122.53
"University of Georgia","Medical R&D (Infectious Diseases)",12158433
"University of Georgia","Education",11335722.32
"University of Great Falls","Education",496294
"University of Guam","Education",1643372.83
"University of Guam","Medical R&D",1508061
"University of Guam","Homeland Security",1315553
"University of Guam","Individuals with Disabilities",697011
"University of Guam","Business",458365.06
"University of Hartford","Education",569997.2
"University of Hartford","Science, Engineering, and Mathematics",299556
"University of Hartford","Business",150000
"University of Hartford","Foreign Policy",3500
"University of Hawaii at Hilo","Education",4140457
"University of Hawaii at Hilo","Science, Engineering, and Mathematics",1658028.72
"University of Hawaii at Hilo","Environmental R&D",1509264.28
"University of Hawaii at Hilo","Business",722222
"University of Hawaii at Hilo","Homeland Security",449730
"University of Hawaii at Manoa","Science, Engineering, and Mathematics",82886780.61
"University of Hawaii at Manoa","Medical R&D",40896971
"University of Hawaii at Manoa","Education",19559143.54
"University of Hawaii at Manoa","DEFENSE (OTHER) R&D",14254737.26
"University of Hawaii at Manoa","Regional Development",11359348
"University of Hawaii Maui College","Education",6011206
"University of Hawaii Maui College","Regional Development",210000
"University of Hawaii System Office","Science, Engineering, and Mathematics",5686496
"University of Hawaii System Office","Humanitarian Assistance",800000
"University of Hawaii-West Oahu","Education",4355096
"University of Hawaii-West Oahu","Science, Engineering, and Mathematics",149930.85
"University of Hawaii-West Oahu","Environmental R&D",11880
"University of Hawaii-West Oahu","Humanities and the Arts",1000
"University of Houston","Science, Engineering, and Mathematics",18327917.16
"University of Houston","Medical R&D",16647614
"University of Houston","Education",10789824.08
"University of Houston","Business",3160707
"University of Houston","Energy Programs",3091404
"University of Houston-System Administration","Science, Engineering, and Mathematics",18186581.16
"University of Houston-System Administration","Medical R&D",16647614
"University of Houston-System Administration","Education",7165812.55
"University of Houston-System Administration","Business",3160707
"University of Houston-System Administration","Energy Programs",3091404
"University of Idaho","Science, Engineering, and Mathematics",10975072.12
"University of Idaho","Education",7053478.14
"University of Idaho","Medical R&D",6631252
"University of Idaho","Energy Programs",5220895.97
"University of Idaho","Agriculture and Farming",2608720.44
"University of Illinois at Chicago","Medical R&D",107845699
"University of Illinois at Chicago","Science, Engineering, and Mathematics",20584616.83
"University of Illinois at Chicago","Medical R&D (Infectious Diseases)",9455550
"University of Illinois at Chicago","Education",6385078.4
"University of Illinois at Chicago","Addiction and Recovery",6349865
"University of Illinois at Springfield","Science, Engineering, and Mathematics",43448
"University of Illinois at Urbana-Champaign","Science, Engineering, and Mathematics",110918025.33
"University of Illinois at Urbana-Champaign","Medical R&D",55535952
"University of Illinois at Urbana-Champaign","Energy Programs",45361522.72
"University of Illinois at Urbana-Champaign","Agriculture and Farming R&D",13457004.71
"University of Illinois at Urbana-Champaign","Defense R&D",11834314
"University of Indianapolis","Nursing and Health Professionals",640000
"University of Iowa","Medical R&D",156472073
"University of Iowa","Medical R&D (Infectious Diseases)",19964231
"University of Iowa","Science, Engineering, and Mathematics",15158386.78
"University of Iowa","Research Support Programs",6029342.86
"University of Iowa","OTHER R&D",5999433.89
"University of Kansas","Medical R&D",72063486
"University of Kansas","Science, Engineering, and Mathematics",21018361.69
"University of Kansas","Education",13544502.5
"University of Kansas","Early Childhood Programs",11719176
"University of Kansas","Individuals with Disabilities",6564163.08
"University of Kentucky","Medical R&D",112629891
"University of Kentucky","Science, Engineering, and Mathematics",20482121.27
"University of Kentucky","Social Wellness and Development",14076192.88
"University of Kentucky","Energy Programs",13063862.19
"University of Kentucky","Medical R&D (Infectious Diseases)",7707833
"University of La Verne","Education",1403582
"University of Louisiana at Lafayette","Education",5177695.46
"University of Louisiana at Lafayette","Science, Engineering, and Mathematics",4213164.67
"University of Louisiana at Lafayette","Energy Programs",2317562.71
"University of Louisiana at Lafayette","Medical R&D (Infectious Diseases)",1815149
"University of Louisiana at Lafayette","PROFESSIONAL SERVICES",689320.31
"University of Louisiana at Monroe","Medical R&D",705226
"University of Louisiana at Monroe","Social Wellness and Development",671135
"University of Louisiana at Monroe","Education",656426.58
"University of Louisiana at Monroe","Refugee and Entrant Assistance",460495
"University of Louisiana at Monroe","Science, Engineering, and Mathematics",274857
"University of Louisville","Medical R&D",51382193
"University of Louisville","MEDICAL, DENTAL, & SURGICAL SERVICES",8313879.31
"University of Louisville","Medical R&D (Infectious Diseases)",7459215
"University of Louisville","Science, Engineering, and Mathematics",6941560
"University of Louisville","Addiction and Recovery",5766091
"University of Maine","Science, Engineering, and Mathematics",15042372.31
"University of Maine","Agriculture and Farming R&D",9443118.29
"University of Maine","Education",8423712
"University of Maine","DEFENSE (OTHER) R&D",3900000
"University of Maine","Energy Programs",2991686
"University of Maine at Augusta","Education",978497
"University of Maine at Augusta","Social Wellness and Development",300000
"University of Maine at Farmington","Education",4027622
"University of Maine at Fort Kent","Education",317177
"University of Maine at Presque Isle","Education",1334431.22
"University of Maine-System Central Office","Education",4027622
"University of Mary","Education",1063223
"University of Mary","Nursing and Health Professionals",325121
"University of Mary Washington","LEASE & RENTAL OF BUILDINGS",234864.96
"University of Mary Washington","EDUCATION & TRAINING SERVICES",62245.95
"University of Mary Washington","Science, Engineering, and Mathematics",50522.55
"University of Mary Washington","Information Services and Records Preservation",44625
"University of Maryland Center for Environmental Science","Science, Engineering, and Mathematics",6355630.71
"University of Maryland Center for Environmental Science","Environment",1617324
"University of Maryland Center for Environmental Science","Environmental R&D",1409839.62
"University of Maryland Center for Environmental Science","Wetland Preservation",769100
"University of Maryland Center for Environmental Science","Research Support Programs",298531
"University of Maryland Eastern Shore","Education",12234453
"University of Maryland Eastern Shore","Agriculture and Farming R&D",806717
"University of Maryland Eastern Shore","Science, Engineering, and Mathematics",702556
"University of Maryland Eastern Shore","Social Wellness and Development",425000
"University of Maryland Eastern Shore","Employment Programs",198569
"University of Maryland-Baltimore County","Science, Engineering, and Mathematics",20593777.14
"University of Maryland-Baltimore County","Education",8956831
"University of Maryland-Baltimore County","Medical R&D",4865089
"University of Maryland-Baltimore County","Research Support Programs",3451172.66
"University of Maryland-Baltimore County","Defense R&D",645124
"University of Maryland-College Park","Science, Engineering, and Mathematics",151640329.52
"University of Maryland-College Park","Medical R&D",37562908
"University of Maryland-College Park","Research Support Programs",21987421.71
"University of Maryland-College Park","Defense R&D",15718463
"University of Maryland-College Park","Education",14201292.41
"University of Maryland-University College","EDUCATION & TRAINING SERVICES",65730
"University of Maryland, Baltimore","Medical R&D",113458098
"University of Maryland, Baltimore","HIV Programs",82779273
"University of Maryland, Baltimore","Medical R&D (Infectious Diseases)",40318560
"University of Maryland, Baltimore","MEDICAL R&D",20016684.19
"University of Maryland, Baltimore","Social Wellness and Development",10055846
"University of Massachusetts Medical School Worcester","Medical R&D",108808653
"University of Massachusetts Medical School Worcester","GENERAL HEALTH CARE SERVICES",40011291.73
"University of Massachusetts Medical School Worcester","Medical R&D (Infectious Diseases)",27941759
"University of Massachusetts Medical School Worcester","Early Childhood Programs",10929222
"University of Massachusetts Medical School Worcester","Research Support Programs",6744298
"University of Massachusetts-Amherst","Science, Engineering, and Mathematics",38044573.23
"University of Massachusetts-Amherst","Medical R&D",24602269
"University of Massachusetts-Amherst","Childcare and Welfare",7897855
"University of Massachusetts-Amherst","Education",7015178
"University of Massachusetts-Amherst","Energy Programs",6758761.7
"University of Massachusetts-Boston","Employment Programs",41736662.59
"University of Massachusetts-Boston","Individuals with Disabilities",8356081.97
"University of Massachusetts-Boston","Education",5637682.99
"University of Massachusetts-Boston","Medical R&D",4722689
"University of Massachusetts-Boston","Science, Engineering, and Mathematics",3573886
