"cluster_final","coc_number","coc_name","Total_Year_Round_Beds","density","weighted_income","weighted_estimate_median_gross_rent","rent_pct_income","land_area","estimated_pop_2018","total_homeless","homeless_individuals","homeless_people_in_families","CoC_program_funding","Other_program_funding"
"5","GA-504","Augusta-Richmond County CoC",225,621.0279653,8661,870,1.20540353307932,324.33,201554,269,238,31,39369.98,145581.58
"5","CA-508","Watsonville/Santa Cruz City & County CoC",482,608.6012085,16467,1685,1.22791036618692,445.17,274255,2320,1911,409,2502667.77,12035.37
"5","NY-503","Albany City & County CoC",478,588.9269319,14582,993,0.817171855712522,522.8,307117,835,580,255,35070.49,6524732.8
"5","WI-502","Racine City & County CoC",258,586.0842105,12949,847,0.784925476870801,332.5,196584,275,176,99,694635,161218
"5","MD-502","Harford County CoC",143,571.4521037,20857,1221,0.70249796231481,437.09,253956,190,100,90,494086,0
"5","OH-504","Youngstown/Mahoning County CoC",272,566.0925125,11268,659,0.701810436634718,411.62,229642,180,95,85,1775236,297945
"5","PA-510","Lancaster City & County CoC",419,564.8488573,17451,975,0.670448684889118,943.81,543557,406,226,180,1768708.21,300631.65
"5","NJ-502","Burlington County CoC",444,563.7957374,22663,1313,0.69523011075321,798.58,445384,840,457,383,465981,0
"5","CA-518","Vallejo/Solano County CoC",366,522.7755062,21780,1633,0.899724517906336,821.76,446610,1129,1052,77,760120.95,0
"5","PA-501","Harrisburg/Dauphin County CoC",420,517.9735263,14346,920,0.769552488498536,525.05,277097,445,260,185,2308175.18,11885092.94
"5","MI-508","Lansing/East Lansing/Ingham County CoC",342,511.6863267,11097,868,0.938632062719654,556.12,292735,419,294,125,11111399.96,9550533.05
"5","KS-502","Wichita/Sedgwick County CoC",581,509.4896292,13455,788,0.702787068004459,997.51,513607,573,421,152,1901908.42,646809.05
"5","IL-500","McHenry County CoC",130,509.1151748,20850,1100,0.633093525179856,603.17,307083,179,124,55,472580.05,0
"5","MI-509","Ann Arbor/Washtenaw County CoC",227,507.2198535,12067,1116,1.10980359658573,705.97,370963,282,210,72,5451950.06,178973
"5","OK-504","Norman/Cleveland County CoC",72,504.5158416,15208,895,0.706207259337191,538.77,281669,364,331,33,386770.99,0
"6","NC-511","Fayetteville/Cumberland County CoC",185,499.5186338,10934,926,1.01627949515273,652.31,332330,372,142,230,691512.17,0
"6","CA-507","Marin County CoC",349,498.4682209,25405,2167,1.02357803581972,520.31,259666,1095,920,175,4699165.48,-50928.28
"6","NJ-500","Atlantic City & County CoC",351,493.1185892,13934,1063,0.915458590498062,555.7,265429,437,401,36,294371.49,0
"6","MI-519","Holland/Ottawa County CoC",359,490.8566561,20878,871,0.500622665006227,563.47,290494,226,133,93,991657,0
"6","PA-512","York City & County CoC",400,487.2967772,16442,930,0.678749543851113,904.18,448273,324,167,157,527717.9,535043
"6","PA-506","Reading/Berks County CoC",488,483.4701288,15835,909,0.688853804862646,856.51,420152,562,406,156,2296383.4,633305
"6","TN-510","Murfreesboro/Rutherford County CoC",269,468.6918755,19061,1064,0.669849430774881,619.36,324890,283,229,54,503077,0
"6","PA-508","Scranton/Lackawanna County CoC",171,463.9844907,12487,797,0.765916553215344,459.08,210793,159,100,59,3302315,229061
"6","NY-602","Newburgh/Middletown/Orange County CoC",279,463.5291799,16039,1243,0.929983166032795,811.69,381951,480,229,251,2045422.68,138158
"6","MI-507","Portage/Kalamazoo City & County CoC",601,460.4297974,13743,818,0.714254529578695,561.66,264870,567,343,224,1623334,-6500.36
"6","MA-503","Cape Cod/Islands CoC",301,447.5292468,18016,1232,0.820603907637655,541.94,213413,358,174,184,1062262.97,121709
"6","WI-503","Madison/Dane County CoC",569,431.6745181,18772,1097,0.701257191561901,1197.24,542364,614,409,205,3200313,480845
"6","IL-501","Rockford/Winnebago, Boone Counties CoC",293,431.3822285,12684,797,0.754020813623463,794.08,284081,256,169,87,1322948.98,809763.3
"6","ID-500","Boise/Ada County CoC",771,404.5279219,15136,991,0.785676532769556,1052.58,469966,756,613,143,429579.64,1374750
"6","IL-508","East Saint Louis/Belleville/Saint Clair County CoC",175,403.7475675,11317,845,0.895997172395511,657.76,261059,250,124,126,2459802.2,0
"6","PA-603","Beaver County CoC",134,389.2365025,13217,657,0.596504501778013,434.71,164742,117,67,50,1045460.22,274427
"6","NC-501","Asheville/Buncombe County CoC",494,380.8792849,14451,973,0.807971766659747,656.67,259103,554,515,39,1979379.19,0
"6","MD-506","Carroll County CoC",112,374.3046091,20395,1062,0.62485903407698,447.59,168429,173,100,73,267509,0
"6","IL-504","Madison County CoC",173,372.7871098,13547,816,0.722816859821363,715.58,264461,146,88,58,542875.41,0
"6","NY-601","Poughkeepsie/Dutchess County CoC",408,371.9128238,15443,1229,0.954995790973256,795.63,293718,399,226,173,1194298.31,362787
"6","MD-509","Frederick City & County CoC",282,368.7634425,24851,1443,0.696792885598165,660.22,255648,316,207,109,239084,0
"6","VA-501","Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",597,365.9439481,13704.42635,1147.666667,1.00493079040846,1718.05,577895,773,562,211,3814914.45,973972.56
"6","FL-512","Saint Johns County CoC",190,363.5367762,19109,1200,0.753571615469151,600.66,254261,342,219,123,58424,0
"6","PA-503","Wilkes-Barre/Hazleton/Luzerne County CoC",229,358.2008918,11478,789,0.824882383690538,890.33,317646,165,95,70,2828608.95,750089.18
"6","CA-510","Turlock/Modesto/Stanislaus County CoC",843,354.930661,14380,1158,0.9663421418637,1494.83,549815,1356,1080,276,3146220.58,2399.54000000004
"6","NC-513","Chapel Hill/Orange County CoC",91,351.3091768,14498,1093,0.904676507104428,397.96,146027,152,120,32,248335.43,0
"6","PA-605","Erie City & County CoC",401,349.2873678,11817,761,0.772784970804773,799.15,272061,336,231,105,1530824.6,443564
"6","NH-502","Nashua/Hillsborough County CoC",303,349.262194,18867,1165,0.740976307839084,843.04,415247,281,164,117,1676127,653078
"6","NC-509","Gastonia/Cleveland, Gaston, Lincoln Counties CoC",202,347.5604085,12486.33333,749.3333333,0.720147361275033,1118.22,404261,331,248,83,733289.18,0
"6","MD-508","Charles, Calvert, St.Mary's Counties CoC",165,345.8475994,24984.33333,1496.333333,0.718690379240149,1028.08,366170,492,274,218,1239074,0
"6","MI-516","Norton Shores/Muskegon City & County CoC",144,344.8132198,12913,751,0.697901339735151,499.25,173588,159,106,53,321160.98,0
"6","MI-518","Livingston County CoC",88,328.7766475,23313,1056,0.543559387466221,565.25,191224,90,46,44,102089.79,0
"6","KS-503","Topeka/Shawnee County CoC",339,328.2360943,12052,843,0.839362761367408,544.02,177499,408,282,126,1975106,1602524.08
"6","MD-512","Hagerstown/Washington County CoC",281,326.7311809,15015,949,0.758441558441558,457.78,150926,199,149,50,128117,0
"6","CA-504","Santa Rosa/Petaluma/Sonoma County CoC",936,315.8777802,18668,1655,1.06385258195843,1575.85,499942,2996,2657,339,2951564.03,201258.73
"6","GA-505","Columbus-Muscogee/Russell County CoC",347,301.9591151,8563,859,1.20378372065865,857.53,194160,276,234,42,1111970.11,340568
