source,target,value,type
"Special Education Educational Technology Media, and Materials for Individuals with Disabilities",University of Massachusetts-Boston,500000,grant
Special Education Grants to States,United Tribes Technical College,156818,grant
Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,University of Oregon,7814233.67,grant
Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,The University of Texas at Austin,6688792.6,grant
Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,University of North Carolina at Chapel Hill,6200000,grant
Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,University of Minnesota-Twin Cities,3999896,grant
Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities,University of North Carolina at Charlotte,2840408,grant
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",University of Southern California,1249975,grant
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",University of North Dakota,340000,grant
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",University of Massachusetts-Boston,275000,grant
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",Georgia State University,249831,grant
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",Minot State University,238000,grant
"Special Programs for the Aging, Title VI, Part A, Grants to Indian Tribes, Part B, Grants to Native Hawaiians",University of North Dakota,250000,grant
SPECIAL SERVICE VESSELS,California State University-Monterey Bay,73000,contract
SPECIAL STUDIES/ANALYSIS- AIR QUALITY,University of California-Davis,2923615.98,contract
SPECIAL STUDIES/ANALYSIS- AIR QUALITY,Rochester Institute of Technology,78878,contract
SPECIAL STUDIES/ANALYSIS- AIR QUALITY,University of Wisconsin-Madison,10521.5,contract
SPECIAL STUDIES/ANALYSIS- AIR QUALITY,Saint Mary's College of California,10000,contract
SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES,University of California-San Diego,342675.25,contract
SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES,University of Washington,129873.94,contract
SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES,University of Oregon,111803,contract
SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES,University of Arizona,104295,contract
SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES,Portland State University,73349,contract
SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),Medical College of Wisconsin,4393230,contract
SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),University of Chicago,3886635.65,contract
SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),Rockefeller University,421374,contract
SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),Colorado State University-Fort Collins,109999,contract
SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),Oregon State University,88894,contract
SPECIAL STUDIES/ANALYSIS- DEFENSE,Pardee RAND Graduate School,100484050.8,contract
SPECIAL STUDIES/ANALYSIS- DEFENSE,Johns Hopkins University,7303245.08,contract
SPECIAL STUDIES/ANALYSIS- DEFENSE,The University of Tennessee-Knoxville,364971,contract
SPECIAL STUDIES/ANALYSIS- EDUCATIONAL,University of Houston,158240.35,contract
SPECIAL STUDIES/ANALYSIS- EDUCATIONAL,University of Houston-System Administration,158240.35,contract
SPECIAL STUDIES/ANALYSIS- EDUCATIONAL,University of Illinois at Chicago,136490,contract
SPECIAL STUDIES/ANALYSIS- EDUCATIONAL,Pennsylvania State University,15000,contract
SPECIAL STUDIES/ANALYSIS- EDUCATIONAL,William Carey University,7609.86,contract
SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL,University of New Mexico-Main Campus,221413.89,contract
SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL,University of South Dakota,194133,contract
SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL,Portland State University,156678,contract
SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL,University of California-Davis,50935,contract
SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL,University of Hawaii at Manoa,46956.96,contract
SPECIAL STUDIES/ANALYSIS- ENERGY,Carnegie Mellon University,200000,contract
SPECIAL STUDIES/ANALYSIS- ENERGY,Stanford University,100000,contract
SPECIAL STUDIES/ANALYSIS- ENERGY,The University of Tennessee-Knoxville,5000,contract
SPECIAL STUDIES/ANALYSIS- ENERGY,University of California-Davis,2400,contract
SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,University of California-Davis,2856496.84,contract
SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,University of Georgia,148652,contract
SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,University of Wisconsin-Madison,106259.67,contract
SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,Rensselaer Polytechnic Institute,95000,contract
SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,Kent State University at Kent,59000,contract
SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,New Mexico Institute of Mining and Technology,76582.12,contract
SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,Purdue University-Main Campus,64745,contract
SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,University of California-Santa Barbara,49112,contract
SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,University of Alaska Fairbanks,39200,contract
SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,The University of Texas at Austin,26620,contract
SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,University of Oklahoma-Norman Campus,9600,contract
SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,The University of Tennessee-Knoxville,5698,contract
SPECIAL STUDIES/ANALYSIS- HISTORICAL,Xavier University,73000,contract
SPECIAL STUDIES/ANALYSIS- HISTORICAL,Texas Tech University,56986.33,contract
SPECIAL STUDIES/ANALYSIS- HISTORICAL,Texas A & M University-College Station,56732,contract
SPECIAL STUDIES/ANALYSIS- HISTORICAL,University of Southern Mississippi,55058,contract
SPECIAL STUDIES/ANALYSIS- HISTORICAL,University of North Carolina at Chapel Hill,55000,contract
SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL,University of California-San Francisco,100000,contract
SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL,The University of Alabama,61200,contract
SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL,University of Chicago,8638,contract
SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE,Truckee Meadows Community College,808747.15,contract
SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE,Ohio State University,80925,contract
SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE,Southern Illinois University-System Office,49424,contract
SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE,Auburn University,20000,contract
SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE,Chief Dull Knife College,20000,contract
SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL,University of Pennsylvania,20000,contract
SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL,University of Alaska Fairbanks,13680,contract
SPECIAL STUDIES/ANALYSIS- OCEANOLOGICAL,University of Delaware,5000,contract
SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,Pardee RAND Graduate School,77215954.52,contract
SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,Brown University,121247.67,contract
SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,University of Alabama at Birmingham,108825,contract
SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,Michigan State University,12230,contract
SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,University of California-Los Angeles,1168,contract
SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,University of Chicago,1197672,contract
SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,Stanford University,1086135,contract
SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,University of California-San Francisco,885582,contract
SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,Harvard University,874966.78,contract
SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,University of Pennsylvania,760918.75,contract
SPECIALIZED MEDICAL SUPPORT,Johns Hopkins University,1426817,contract
SPECIALIZED MEDICAL SUPPORT,University of Alabama at Birmingham,734736,contract
SPECIALIZED MEDICAL SUPPORT,University of Cincinnati,439999,contract
SPECIALIZED MEDICAL SUPPORT,George Washington University,19202,contract
SPECIALIZED MEDICAL SUPPORT,Northwestern University,16122.5,contract
Specially Adapted Housing Assistive Technology Grant Program,Saint Ambrose University,22553,grant
Specially Adapted Housing Assistive Technology Grant Program,Auburn University,17424,grant
Specialty Crop Research Initiative,University of Florida,11561827.21,research
Specialty Crop Research Initiative,North Carolina State University at Raleigh,8541889,research
Specialty Crop Research Initiative,Rutgers University-New Brunswick,5833082.74,research
Specialty Crop Research Initiative,Washington State University,5694710,research
Specialty Crop Research Initiative,Texas A & M University-College Station,4380457,research
State & Private Forestry Hazardous Fuel Reduction Program,Texas A & M University-College Station,343560,grant
State & Private Forestry Hazardous Fuel Reduction Program,North Dakota State University-Main Campus,300000,grant
State Commissions,University of Hawaii at Manoa,265000,grant
State Grants for Protection and Advocacy Services,The University of Alabama,55998,grant
State Indoor Radon Grants,University of Georgia,122700,grant
State Indoor Radon Grants,Texas Tech University,100000,grant
State Justice Statistics Program for Statistical Analysis Centers,University of Southern Maine,426101,grant
State Justice Statistics Program for Statistical Analysis Centers,University of Wyoming,236680,grant
State Justice Statistics Program for Statistical Analysis Centers,Michigan State University,224043,grant
State Justice Statistics Program for Statistical Analysis Centers,University of New Mexico-Main Campus,152363.51,grant
State Justice Statistics Program for Statistical Analysis Centers,University of Southern Mississippi,68278.27,grant
State Maritime Schools,SUNY Maritime College,192000,grant
State Maritime Schools,California State University Maritime Academy,184000,grant
State Maritime Schools,Maine Maritime Academy,184000,grant
State Maritime Schools,Northwestern Michigan College,172000,grant
State Maritime Schools,Texas A & M University-College Station,128000,grant
State Physical Activity and Nutrition (SPAN),University of Arkansas for Medical Sciences,658162,grant
State Public Health Approaches for Ensuring Quitline Capacity Funded in part by Prevention and Public Health Funds (PPHF) ,University of California-San Diego,961500,grant
State Rural Hospital Flexibility Program,University of Minnesota-Twin Cities,1499999,grant
State Rural Hospital Flexibility Program,University of North Dakota,868373,grant
State Rural Hospital Flexibility Program,University of Wisconsin-Madison,857502,grant
State Rural Hospital Flexibility Program,Oklahoma State University,725624,grant
State Rural Hospital Flexibility Program,Oregon Health & Science University,705330,grant
State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare,University of Nebraska at Omaha,3025229,grant
State Survey Certification of Health Care Providers and Suppliers (Title XIX) Medicaid,University of Nebraska at Omaha,1428088,grant
State Trade Expansion,Bryant University,310310,grant
State Trade Expansion,University of Arkansas,150000,grant
State Tribal Education Partnership (STEP),Oglala Lakota College,330944,grant
Statewide Family Engagement Centers,University of Hawaii at Manoa,990439,grant
Statewide Family Engagement Centers,University of South Carolina-Beaufort,917985,grant
Statewide Family Engagement Centers,Ohio State University,817523,grant
"Statistical, Research, and Methodology  Assistance",Georgetown University,398120,grant
"Statistical, Research, and Methodology  Assistance",Purdue University-Main Campus,101754,grant
Stewardship Science Grant Program,University of Rochester,73879841,research
Stewardship Science Grant Program,Washington State University,4509609,research
Stewardship Science Grant Program,Texas A & M University-College Station,4499997.15,research
Stewardship Science Grant Program,Cornell University,4454028.59,research
Stewardship Science Grant Program,The University of Texas at Austin,3500000,research
STOP School Violence,Western Illinois University,996598,grant
STOP School Violence,Virginia State University,500000,grant
Strengthening Minority-Serving Institutions,CUNY York College,1199074.32,grant
Strengthening Minority-Serving Institutions,Albany Technical College,600000,grant
Strengthening Minority-Serving Institutions,Bloomfield College,600000,grant
Strengthening Minority-Serving Institutions,Chicago State University,600000,grant
Strengthening Minority-Serving Institutions,Community College of Philadelphia,600000,grant
STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL,Mississippi State University,189489.03,contract
STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL,Western Carolina University,185551.22,contract
STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL,University of Maryland-College Park,130006.83,contract
STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL,University of Wisconsin-Madison,95224.39,contract
STUDY/ARCHEOLOGICAL-PALEONTOLOGICAL,Washington State University,92626.47,contract
STUDY/CHEMICAL-BIOLOGICAL,University of Cincinnati,767885.6,contract
STUDY/CHEMICAL-BIOLOGICAL,Rutgers University-New Brunswick,588706,contract
STUDY/CHEMICAL-BIOLOGICAL,Baylor College of Medicine,176530,contract
STUDY/CHEMICAL-BIOLOGICAL,University of Washington,149987.25,contract
STUDY/CHEMICAL-BIOLOGICAL,University of California-Berkeley,80000,contract
SUBSISTENCE (BASIC),Harvard University,105865,contract
SUBSISTENCE (BASIC),School of the Museum of Fine Arts at Tufts University,92000,contract
SUBSISTENCE (BASIC),Tufts University,92000,contract
Substance Abuse and Mental Health Services Projects of Regional and National Significance,University of California-Los Angeles,8822034,grant
Substance Abuse and Mental Health Services Projects of Regional and National Significance,University of California-San Francisco,4756403,grant
Substance Abuse and Mental Health Services Projects of Regional and National Significance,University of Iowa,4249390,grant
Substance Abuse and Mental Health Services Projects of Regional and National Significance,Augusta University,3544151,grant
Substance Abuse and Mental Health Services Projects of Regional and National Significance,Yale University,2938624,grant
SUBSURFACE MINING EQUIPMENT (BASIC),University of Kentucky,247018,contract
Sun Grant Program,South Dakota State University,2815488,research
"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements ",Dine College,429467,grant
"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements ",Missouri State University-Springfield,58255,grant
Support for Adam Walsh Act Implementation Grant Program,Fairleigh Dickinson University-Metropolitan Campus,500000,grant
SUPPORT- ADMINISTRATIVE: LIBRARY,University of North Carolina at Chapel Hill,2429250.83,contract
SUPPORT- ADMINISTRATIVE: LIBRARY,University of South Dakota,93805,contract
SUPPORT- ADMINISTRATIVE: LIBRARY,Wright State University-Lake Campus,26710.59,contract
SUPPORT- ADMINISTRATIVE: LIBRARY,Wright State University-Main Campus,26710.59,contract
SUPPORT- ADMINISTRATIVE: LIBRARY,Wake Forest University,25680,contract
SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,University of Chicago,6533437,contract
SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,The University of Texas at Austin,40595,contract
SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,Roger Williams University,15775,contract
SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),University of Nebraska at Omaha,92315.2,contract
SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),Potomac State College of West Virginia University,24995,contract
SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),West Virginia University,24995,contract
SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),West Virginia University Institute of Technology,24995,contract
SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),Icahn School of Medicine at Mount Sinai,15500,contract
SUPPORT- PROFESSIONAL: COMMUNICATIONS,Fordham University,9000,contract
SUPPORT- PROFESSIONAL: EXPERT WITNESS,University of Arkansas for Medical Sciences,248432,contract
SUPPORT- PROFESSIONAL: EXPERT WITNESS,University of Virginia,122754.5,contract
SUPPORT- PROFESSIONAL: EXPERT WITNESS,Michigan State University,85671.71,contract
SUPPORT- PROFESSIONAL: EXPERT WITNESS,University of Texas Southwestern Medical Center,85210,contract
SUPPORT- PROFESSIONAL: EXPERT WITNESS,University of North Texas Health Science Center,53507.3,contract
SUPPORT- PROFESSIONAL: HUMAN RESOURCES,Boston University,102538,contract
SUPPORT- PROFESSIONAL: HUMAN RESOURCES,Southern Utah University,9269.88,contract
SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,University of Michigan-Ann Arbor,1034616,contract
SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,Virginia Polytechnic Institute and State University,837463.61,contract
SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,George Mason University,597223.15,contract
SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,Oregon Health & Science University,386865,contract
SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,University of Arkansas for Medical Sciences,199614.42,contract
SUPPORT- PROFESSIONAL: PATENT AND TRADEMARK,Hazelden Betty Ford Graduate School of Addiction Studies,793331.76,contract
SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,Florida International University,314798.16,contract
SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,Colorado State University-Fort Collins,68270,contract
SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,University of North Carolina at Asheville,16537,contract
SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,Northern Virginia Community College,7266.37,contract
SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELOPMENT,East Tennessee State University,60000,contract
SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,University of Chicago,14445829.22,contract
SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,Texas A & M University-College Station,3775501,contract
SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,University of Michigan-Ann Arbor,1125990,contract
SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,Johns Hopkins University,1110720,contract
SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,Pardee RAND Graduate School,992259,contract
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,University of Chicago,7804079.56,contract
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,University of Southern Mississippi,4728344.19,contract
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,University of Virginia,4660000,contract
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,University of Utah,1798862,contract
SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,SIT Graduate Institute,1443867.54,contract
SUPPORT- PROFESSIONAL: SIMULATION,Mayo Clinic School of Medicine,107365,contract
SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE,Auburn University,2463316,contract
SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE,University of California-Davis,2088391.03,contract
SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE,Washington State University,737331,contract
SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE,University of Louisiana at Lafayette,700000,contract
SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE,Colorado State University-Fort Collins,584049.5,contract
Supported Employment Services for Individuals with the Most Significant Disabilities,University of Massachusetts-Boston,362827,grant
Supporting and Maintaining a Surveillance System for Chronic Kidney Disease (CKD) in the United States,University of Michigan-Ann Arbor,865614,grant
Supporting and Maintaining a Surveillance System for Chronic Kidney Disease (CKD) in the United States,University of California-San Francisco,494039,grant
Supporting Effective Educator Development Program,Texas A & M University-College Station,8599184,grant
Supporting Effective Educator Development Program,Radford University,5417325,grant
Supporting Effective Educator Development Program,Illinois State University,5236751,grant
Supporting Effective Educator Development Program,Xavier University of Louisiana,4240979,grant
Supporting Effective Educator Development Program,Western Michigan University,4106211,grant
SURGICAL DRESSING MATERIALS,University of Texas Southwestern Medical Center,4709,contract
"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act",University of North Carolina at Chapel Hill,3600000,grant
"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",Florida International University,625000,grant
"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",Northern Arizona University,457500,grant
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Northern Arizona University,670000,grant
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Kansas State University,285500,grant
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Auburn University,25000,grant
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Mississippi State University,24987,grant
Sustainable Agriculture Research and Education,Montana State University,7895037,research
Sustainable Agriculture Research and Education,University of Georgia,7816907,research
Sustainable Agriculture Research and Education,University of Minnesota-Twin Cities,7816907,research
Sustainable Agriculture Research and Education,University of Vermont,7816735.76,research
Sustainable Agriculture Research and Education,University of Maryland-College Park,1424329.13,research
"Swift, Certain, and Fair (SCF) Sanctions program: Replicating the Concepts behind Project HOPE",New York University,1221769,grant
Tax Counseling for the Elderly,Vincennes University,18000,grant
Tax Counseling for the Elderly,Triton College,12909,grant
Tax Counseling for the Elderly,Cornell University,4330,grant
Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund),Brewster Technical College,1675691,grant
Teacher Quality Partnership Grants,Illinois State University,2425797,grant
Teacher Quality Partnership Grants,Coppin State University,2273803,grant
Teacher Quality Partnership Grants,University of New Hampshire-Main Campus,2234139,grant
Teacher Quality Partnership Grants,North Carolina A & T State University,2153625,grant
Teacher Quality Partnership Grants,University of West Alabama,1803503,grant
Teaching Health Center Graduate Medical Education Payment,Northwestern University,3596054,grant
Teaching Health Center Graduate Medical Education Payment,University of Arkansas for Medical Sciences,349743,grant
Technical Agricultural Assistance,University of Rhode Island,1967054.35,research
Technical Agricultural Assistance,University of California-Davis,1693971.88,research
Technical Agricultural Assistance,Oklahoma State University,343905.2,research
Technical Agricultural Assistance,Texas Tech University,285999.47,research
Technical Agricultural Assistance,University of Minnesota-Twin Cities,277000,research
Technical Assistance and Training Grants,West Virginia University,466478,grant
Technical Assistance and Training Grants,Syracuse University,183210,grant
Technical Assistance and Workforce Development,University of South Florida,2000000,research
TECHNICAL MEDICAL SUPPORT,University of Minnesota-Twin Cities,43784,contract
TECHNICAL MEDICAL SUPPORT,University of New Mexico-Main Campus,9000,contract
Technical Preservation Services,Highlands College of Montana Tech,174068.93,grant
Technical Preservation Services,Montana Tech of the University of Montana,174068.93,grant
"TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",Utah State University,292937.17,contract
TECHNICAL REPRESENTATIVE- MISCELLANEOUS,Georgetown University,4551.15,contract
TECHNICAL REPRESENTATIVE- PHOTOGRAPHIC EQUIPMENT,University of California-San Francisco,618000,contract
TECHNICAL REPRESENTATIVE- TRAINING AIDS AND DEVICES,Saint Cloud State University,5805,contract
TECHNICAL REPRESENTATIVE- TRAINING AIDS AND DEVICES,St Cloud Technical and Community College,5805,contract
TECHNOLOGY STUDIES,University of Washington,2000,contract
Teenage Pregnancy Prevention Program,The University of Texas Health Science Center at San Antonio,3097680,grant
Teenage Pregnancy Prevention Program,University of Southern California,1399666,grant
Teenage Pregnancy Prevention Program,Morehouse School of Medicine,1365872,grant
Teenage Pregnancy Prevention Program,Texas A & M University-College Station,1359124,grant
Teenage Pregnancy Prevention Program,Carnegie Mellon University,1000000,grant
TELECOMMUNICATION NETWORK MGMT SVCS,University of Maryland-College Park,312621.2,contract
TELECOMMUNICATION NETWORK MGMT SVCS,University of Pittsburgh-Pittsburgh Campus,48000,contract
TELECOMMUNICATION NETWORK MGMT SVCS,University of Alaska Fairbanks,37567,contract
TELECOMMUNICATION NETWORK MGMT SVCS,Carnegie Mellon University,28612.5,contract
TELECOMMUNICATION NETWORK MGMT SVCS,Louisiana State University,16776.2,contract
Telehealth Programs,University of North Carolina at Chapel Hill,2400000,grant
Telehealth Programs,Medical University of South Carolina,2000000,grant
Telehealth Programs,University of Mississippi Medical Center,2000000,grant
Telehealth Programs,Texas A & M University-College Station,1130473,grant
Telehealth Programs,University of Kansas,814624,grant
TELEPHONE AND TELEGRAPH EQUIPMENT,University of Rochester,3900,contract
Thomas R. Pickering Foreign Affairs Fellowship Program,Howard University,245000,grant
Threatened and Endangered Species,California State University-Stanislaus,50000,grant
Threatened and Endangered Species,Brigham Young University-Provo,39974,grant
Threatened and Endangered Species,Humboldt State University,30000,grant
Threatened and Endangered Species,Washington State University,28300,grant
Threatened and Endangered Species,Portland State University,18000,grant
Title I Grants to Local Educational Agencies,United Tribes Technical College,131100,grant
TOPOGRAPHY SERVICES,Saint Mary's University of Minnesota,325315,contract
Trade Adjustment Assistance for Firms,University of Colorado Boulder,1483058.9,grant
Trade Adjustment Assistance for Firms,University of Southern California,1373910.9,grant
Trade Adjustment Assistance for Firms,Georgia Institute of Technology-Main Campus,1243455.9,grant
Trade Adjustment Assistance for Firms,The University of Texas at San Antonio,1145078,grant
Trade Adjustment Assistance for Firms,University of Missouri-Columbia,1128912.9,grant
TRAINING AIDS,Rio Hondo College,705440,contract
TRAINING AIDS,Virginia Polytechnic Institute and State University,220000,contract
TRAINING AIDS,University of California-San Diego,80624,contract
TRAINING AIDS,University of Texas Southwestern Medical Center,38257,contract
TRAINING AIDS,University of Cincinnati,35000,contract
Training and Technical Assistance,University of Hawaii at Manoa,161537,grant
"Training in General, Pediatric, and Public Health Dentistry",New York University,537728,grant
"Training in General, Pediatric, and Public Health Dentistry",University of Utah,300000,grant
"Training in General, Pediatric, and Public Health Dentistry",Tufts University,299918,grant
"Training in General, Pediatric, and Public Health Dentistry",Boston University,299854,grant
"Training in General, Pediatric, and Public Health Dentistry",Texas A & M University-College Station,288637,grant
Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,St Catherine University,1195108.87,grant
Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,University of Northern Colorado,400000,grant
Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,Western Oregon University,399999.99,grant
Training Interpreters for Individuals who are Deaf and Individuals who are Deaf-Blind,Northeastern University,386995.47,grant
TRAINING/CURRICULUM DEVELOPMENT,Virginia Commonwealth University,4327583,contract
TRAINING/CURRICULUM DEVELOPMENT,Johns Hopkins University,1358727.61,contract
TRAINING/CURRICULUM DEVELOPMENT,University of New Mexico-Main Campus,1303890,contract
TRAINING/CURRICULUM DEVELOPMENT,Pennsylvania State University,595600,contract
TRAINING/CURRICULUM DEVELOPMENT,Texas A & M University-College Station,481779,contract
Trans-National Crime,University of Maryland-College Park,986422,grant
Trans-National Crime,American University,450000,grant
Trans-NIH Research Support,Stanford University,26368048,grant
Trans-NIH Research Support,University of Wisconsin-Madison,23745999,grant
Trans-NIH Research Support,Duke University,21501139,grant
Trans-NIH Research Support,Harvard University,20545199,grant
Trans-NIH Research Support,University of California-San Diego,20433602,grant
Transition Programs for Students with Intellectual Disabilities into Higher Education,University of Massachusetts-Boston,1988135.97,grant
Transition Programs for Students with Intellectual Disabilities into Higher Education,University of Central Florida,500000,grant
