source,target,value,type
Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,University of Alaska Fairbanks,2014475.33,research
Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,University of Hawaii Maui College,979532,research
Alaska Subsistence Management,Idaho State University,172956,grant
ALCOHOL DEPENDENCY (BASIC),Medical University of South Carolina,742784,contract
ALCOHOL DEPENDENCY (BASIC),Louisiana State University,442565,contract
ALCOHOL DEPENDENCY (BASIC),Indiana University-Bloomington,375862,contract
Alcohol Research Programs,Yale University,13491632,research
Alcohol Research Programs,University of North Carolina at Chapel Hill,11178157,research
Alcohol Research Programs,Indiana University-Bloomington,10955516,research
Alcohol Research Programs,Medical University of South Carolina,9466724,research
Alcohol Research Programs,Brown University,9041988,research
Alfalfa and Forage Research Program,University of Wisconsin-Madison,899814,grant
Alfalfa and Forage Research Program,Washington State University,590000,grant
Alfalfa and Forage Research Program,University of California-Davis,300000,grant
Alfalfa and Forage Research Program,Michigan State University,299977,grant
Alfalfa and Forage Research Program,University of Minnesota-Twin Cities,297557,grant
Allergy and Infectious Diseases Research,Harvard University,179453270,research
Allergy and Infectious Diseases Research,Johns Hopkins University,111668861,research
Allergy and Infectious Diseases Research,Duke University,95182516,research
Allergy and Infectious Diseases Research,University of California-San Francisco,83208214,research
Allergy and Infectious Diseases Research,Emory University-Oxford College,78931419,research
"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants",Northern Arizona University,150000,grant
Alzheimer's Disease Program Initiative (ADPI),University of Wyoming,866453,grant
American Battlefield Protection,Ball State University,74981.17,grant
American Battlefield Protection,SUNY at Binghamton,68000,grant
American Battlefield Protection,University of Mississippi,60000,grant
American Battlefield Protection,University of New Mexico-Main Campus,56000,grant
American History and Civics Education,The University of Texas Rio Grande Valley,679090,grant
American History and Civics Education,University of Wisconsin-Parkside,526281,grant
AmeriCorps,Arizona State University-Tempe,6308988,grant
AmeriCorps,University of Maryland-College Park,5347108,grant
AmeriCorps,University of Hawaii at Manoa,2690050,grant
AmeriCorps,Western Washington University,2430578,grant
AmeriCorps,Orleans Technical College,539984,grant
ANESTHESIOLOGY SERVICES,University of Louisville,2759237.85,contract
ANESTHESIOLOGY SERVICES,University of Texas Southwestern Medical Center,2507881.52,contract
ANESTHESIOLOGY SERVICES,The University of Texas Health Science Center at San Antonio,2139537.73,contract
ANESTHESIOLOGY SERVICES,University of Michigan-Ann Arbor,80995.28,contract
"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",Georgia Institute of Technology-Main Campus,42640382,contract
"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT",University of Southern California,960,contract
Antimicrobial Resistance Surveillance in Retail Food Specimens,South Dakota State University,150111,grant
Antimicrobial Resistance Surveillance in Retail Food Specimens,University of California-Davis,144793,grant
Antimicrobial Resistance Surveillance in Retail Food Specimens,Kansas State University,139793,grant
Antimicrobial Resistance Surveillance in Retail Food Specimens,Iowa State University,130000,grant
Antimicrobial Resistance Surveillance in Retail Food Specimens,North Carolina State University at Raleigh,130000,grant
Applied Meteorological Research,University of Utah,499076,grant
Applied Meteorological Research,Stony Brook University,469096,grant
Applied Meteorological Research,University of Oklahoma-Norman Campus,433508.84,grant
Applied Meteorological Research,George Mason University,418824.46,grant
Applied Meteorological Research,Columbia University in the City of New York,377187,grant
ARCHITECT AND ENGINEERING- CONSTRUCTION: EXHIBIT DESIGN (NON-BUILDING),University of Utah,7506,contract
ARCHITECT AND ENGINEERING- CONSTRUCTION: PARKING FACILITIES,Montana State University,140715.02,contract
"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",University of Colorado Colorado Springs,9500,contract
Area Health Education Centers,University of Illinois at Chicago,1912000,grant
Area Health Education Centers,University of California-San Francisco,1588999,grant
Area Health Education Centers,University of Alabama at Birmingham,1353000,grant
Area Health Education Centers,University of Florida,1277514,grant
Area Health Education Centers,Wayne State University,1186205,grant
"ARMOR, PERSONAL",Pennsylvania State University,275510.8,contract
"ARMOR, PERSONAL",University of Delaware,203446,contract
Arrangements for Interdisciplinary Research Infrastructure,University of Delaware,10400000,grant
Arrangements for Interdisciplinary Research Infrastructure,Colorado State University-Fort Collins,4000000,grant
Arrangements for Interdisciplinary Research Infrastructure,Iowa State University,3999940,grant
"Arthritis, Musculoskeletal and Skin Diseases Research",Harvard University,22471071,research
"Arthritis, Musculoskeletal and Skin Diseases Research",Washington University in St Louis,13970147,research
"Arthritis, Musculoskeletal and Skin Diseases Research",University of Pennsylvania,13940119,research
"Arthritis, Musculoskeletal and Skin Diseases Research",University of Michigan-Ann Arbor,13540610,research
"Arthritis, Musculoskeletal and Skin Diseases Research",Columbia University in the City of New York,11598244,research
Arts in Education,Arizona State University-Tempe,480575,grant
ARTS/GRAPHICS SERVICES,Western Carolina University,100000,contract
Assistance for Torture Victims,Boston University,382276,grant
Assistance for Torture Victims,Oregon Health & Science University,382276,grant
Assistance for Torture Victims,University of California-San Francisco,344053,grant
Assistance Programs for Chronic Disease Prevention and Control,University of California-Los Angeles,700000,grant
Assistance Programs for Chronic Disease Prevention and Control,Wake Forest University,562625,grant
Assistance Programs for Chronic Disease Prevention and Control,University of California-Berkeley,449942,grant
Assistance Programs for Chronic Disease Prevention and Control,Oregon Health & Science University,449730,grant
Assistance Programs for Chronic Disease Prevention and Control,Northwestern University,446476,grant
Assistance to Firefighters Grant,University of Illinois at Urbana-Champaign,1671868,grant
Assistance to Firefighters Grant,Northeastern University,1500000,grant
Assistance to Firefighters Grant,University of Miami,1499785,grant
Assistance to Firefighters Grant,Duke University,1419658,grant
Assistance to Firefighters Grant,Skidmore College,1311489,grant
Assistance to Small and Disadvantaged Businesses,Miami Dade College,184271.49,grant
Assistance to Small and Disadvantaged Businesses,SUNY College of Optometry,179026.13,grant
Assistance to State Water Resources Research Institutes,University of Illinois at Urbana-Champaign,1448494.71,grant
Assistance to State Water Resources Research Institutes,University of Hawaii at Manoa,325668.3,grant
Assistance to State Water Resources Research Institutes,University of New Hampshire-Main Campus,291364,grant
Assistance to State Water Resources Research Institutes,University of Guam,277005,grant
Assistance to State Water Resources Research Institutes,University of Wisconsin-Madison,264138.38,grant
Assistance to Tribally Controlled Community Colleges and Universities,Dine College,13598810,grant
Assistance to Tribally Controlled Community Colleges and Universities,Oglala Lakota College,8091287,grant
Assistance to Tribally Controlled Community Colleges and Universities,Turtle Mountain Community College,4936426,grant
Assistance to Tribally Controlled Community Colleges and Universities,Northwest Indian College,4373490,grant
Assistance to Tribally Controlled Community Colleges and Universities,Salish Kootenai College,4299220,grant
Assistive Technology Alternative Financing Program,University of Massachusetts-Boston,552683,grant
ATHLETIC AND SPORTING EQUIPMENT,Schoolcraft College,10000,contract
"Autism Collaboration, Accountability, Research, Education, and Support",University of Washington,300000,research
"Autism Collaboration, Accountability, Research, Education, and Support",University of Colorado Denver/Anschutz Medical Campus,293497,research
"AUTO NEWS, DATA & OTHER SVCS",University of Chicago,167243,contract
"AUTO NEWS, DATA & OTHER SVCS",Georgia Institute of Technology-Main Campus,159600,contract
"AUTO NEWS, DATA & OTHER SVCS",University of Pennsylvania,71635,contract
"AUTO NEWS, DATA & OTHER SVCS",The University of Texas at Austin,45000,contract
"AUTO NEWS, DATA & OTHER SVCS",Purdue University-Main Campus,42270,contract
AUTOMATED INFORMATION SYSTEM SVCS,University of Michigan-Ann Arbor,125515,contract
AUTOMATED INFORMATION SYSTEM SVCS,University of Utah,32200,contract
AUTOMATED INFORMATION SYSTEM SVCS,University of Wyoming,8000,contract
Aviation Research Grants,George Mason University,600000,research
Aviation Research Grants,Ohio State University,499999,research
Aviation Research Grants,Drexel University,329986,research
Aviation Research Grants,University of Illinois at Urbana-Champaign,323967.88,research
Aviation Research Grants,Wichita State University,309955,research
Basic and Applied Scientific Research,University of California-San Diego,31339847,research
Basic and Applied Scientific Research,Colorado State University-Fort Collins,29810887,research
Basic and Applied Scientific Research,University of Washington,21610467,research
Basic and Applied Scientific Research,Carnegie Mellon University,17723398,research
Basic and Applied Scientific Research,Massachusetts Institute of Technology,14078143,research
Basic Center Grant,Brighton Center's Center for Employment Training,199176,grant
Basic Scientific Research,Massachusetts Institute of Technology,12560268,research
Basic Scientific Research,University of Wisconsin-Madison,9197641,research
Basic Scientific Research,University of Southern California,9041386,research
Basic Scientific Research,University of Maryland-College Park,8610147,research
Basic Scientific Research,Northeastern University,8340642,research
"Basic, Applied, and Advanced Research in Science and Engineering",Johns Hopkins University,9547531,research
"Basic, Applied, and Advanced Research in Science and Engineering",University of California-San Diego,9122979,research
"Basic, Applied, and Advanced Research in Science and Engineering",Carnegie Mellon University,6498048,research
"Basic, Applied, and Advanced Research in Science and Engineering",Pennsylvania State University,5522066,research
"Basic, Applied, and Advanced Research in Science and Engineering",University of Massachusetts-Lowell,3995938,research
Beginning Farmer and Rancher Development Program,University of California-Santa Cruz,1199640,grant
Beginning Farmer and Rancher Development Program,Pennsylvania State University,1166580,grant
Beginning Farmer and Rancher Development Program,United Tribes Technical College,1143900,grant
Beginning Farmer and Rancher Development Program,Alcorn State University,600000,grant
Beginning Farmer and Rancher Development Program,The University of Texas Rio Grande Valley,600000,grant
Biodiesel,University of Idaho,180874,research
Biological Sciences,Michigan State University,19926345,research
Biological Sciences,University of California-Berkeley,14688975,research
Biological Sciences,University of Georgia,14551697,research
Biological Sciences,Cornell University,14336568,research
Biological Sciences,University of Arizona,13596806,research
Biomass Research and Development Initiative Competitive Grants Program (BRDI),Ohio State University,1999995,research
Biomass Research and Development Initiative Competitive Grants Program (BRDI),Iowa State University,1469448,research
Biomass Research and Development Initiative Competitive Grants Program (BRDI),Northwestern University,999913,research
Biomass Research and Development Initiative Competitive Grants Program (BRDI),Virginia Polytechnic Institute and State University,609930,research
BIOMEDICAL (ADVANCED),"University of Maryland, Baltimore",8852722,contract
BIOMEDICAL (ADVANCED),University of Pittsburgh-Pittsburgh Campus,8811342.88,contract
BIOMEDICAL (ADVANCED),University of North Texas,89600,contract
BIOMEDICAL (ADVANCED),University of Missouri-Columbia,13548,contract
"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development",Boston University,55000000,grant
"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development",Stony Brook University,100000,grant
"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development",University of Massachusetts-Lowell,99999,grant
Biomedical Research and Research Training,Harvard University,61674923,research
Biomedical Research and Research Training,Stanford University,58509337,research
Biomedical Research and Research Training,University of California-San Francisco,55781287,research
Biomedical Research and Research Training,University of California-San Diego,52169538,research
Biomedical Research and Research Training,University of Michigan-Ann Arbor,49072914,research
Biotechnology Risk Assessment Research,University of Maryland-College Park,1499214,research
Biotechnology Risk Assessment Research,North Carolina State University at Raleigh,1498466,research
Biotechnology Risk Assessment Research,Michigan State University,1000000,research
Biotechnology Risk Assessment Research,University of Minnesota-Twin Cities,997156,research
Biotechnology Risk Assessment Research,Iowa State University,500000,research
Bipartisan Budget Act of 2018,Texas A & M University-College Station,205794,grant
Birth Defects and Developmental Disabilities - Prevention and Surveillance,University of South Carolina-Beaufort,2408832,grant
Birth Defects and Developmental Disabilities - Prevention and Surveillance,University of North Carolina at Chapel Hill,1320000,grant
Birth Defects and Developmental Disabilities - Prevention and Surveillance,Stanford University,770000,grant
Birth Defects and Developmental Disabilities - Prevention and Surveillance,University of Iowa,770000,grant
Birth Defects and Developmental Disabilities - Prevention and Surveillance,University of Alaska Anchorage,650000,grant
BLM Wildland Urban Interface Community Fire Assistance,University of Nevada-Reno,535526.8,grant
BLM Wildland Urban Interface Community Fire Assistance,North Dakota State University-Main Campus,72610.85,grant
BLM Wildland Urban Interface Community Fire Assistance,University of Nebraska-Lincoln,24696,grant
BLM Wildland Urban Interface Community Fire Assistance,The University of Montana,10000,grant
Block Grants for Prevention and Treatment of Substance Abuse,Florida Atlantic University,700000,grant
Block Grants for Prevention and Treatment of Substance Abuse,University of Alabama at Birmingham,700000,grant
Block Grants for Prevention and Treatment of Substance Abuse,University of Utah,700000,grant
Block Grants for Prevention and Treatment of Substance Abuse,University of Washington,699854,grant
Block Grants for Prevention and Treatment of Substance Abuse,Montana State University,698832,grant
Blood Diseases and Resources Research,University of Pennsylvania,15969879,research
Blood Diseases and Resources Research,University of Michigan-Ann Arbor,14848978,research
Blood Diseases and Resources Research,Medical College of Wisconsin,12582790,research
Blood Diseases and Resources Research,Emory University-Oxford College,11167861,research
Blood Diseases and Resources Research,Washington University in St Louis,9934600,research
Body Worn Camera Policy and Implementation,Lock Haven University,16500,grant
Body Worn Camera Policy and Implementation,Northern Kentucky University,14045,grant
BOOKS AND PAMPHLETS,Georgetown University,115360,contract
BOOKS AND PAMPHLETS,Worcester Polytechnic Institute,25000,contract
BOOKS AND PAMPHLETS,University of Arizona,20085,contract
BOOKS AND PAMPHLETS,Hazelden Betty Ford Graduate School of Addiction Studies,10986.83,contract
BOOKS AND PAMPHLETS,Purdue University-Main Campus,9386.2,contract
Brookwood-Sago Grant,Rend Lake College,94558.71,grant
Brookwood-Sago Grant,West Virginia University,52146.5,grant
Brookwood-Sago Grant,Pennsylvania State University,50000,grant
Brownfields Assessment and Cleanup Cooperative Agreements,Virginia Polytechnic Institute and State University,300000,grant
"Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements ",Kansas State University,900000,grant
BUOYS,University of California-San Diego,140000,contract
