"source","target","value"
"Bentley University","Internal Revenue Service",84155.76
"Bentley University","Immediate Office of the Secretary of Transportation",9190
"Berea College","Department of Education",43035709
"Berea College","Rural Business Cooperative Service",75000
"Berea College","Institute of Museum and Library Services",50000
"Berea College","National Endowment for the Arts",50000
"Bergen Community College","Department of Education",2135599
"Bergen Community College","National Endowment for the Humanities",100000
"Berklee College of Music","National Endowment for the Arts",25000
"Berkshire Community College","Department of Education",646757
"Berry College","National Science Foundation",784813
"Bethel University","National Science Foundation",71160
"Bethune-Cookman University","Department of Education",5207733
"Bethune-Cookman University","National Science Foundation",101360
"Bethune-Cookman University","National Institutes of Health",94750
"Bevill State Community College","Department of Education",3609831.7
"Bevill State Community College","Mine Safety and Health Administration",242189
"Big Bend Community College","Department of Education",3007851
"Bishop State Community College","Department of Education",3675066.71
"Bismarck State College","Occupational Safety and Health Administration",502700
"Bismarck State College","Rural Business Cooperative Service",99859
"Black Hawk College","Department of Education",355237
"Black Hills State University","Department of Education",316383
"Black Hills State University","Department of Veterans Affairs",147882
"Black Hills State University","National Science Foundation",95979
"Black Hills State University","Corporation for National and Community Service",59490
"Blackfeet Community College","Bureau of Indian Affairs and Bureau of Indian Education",3623170
"Blackfeet Community College","Department of Education",3072252
"Blackfeet Community College","National Institute of Food and Agriculture",226147
"Blackfeet Community College","Rural Housing Service",129000
"Blackfeet Community College","National Endowment for the Humanities",101200
"Blinn College","Federal Prison System / Bureau of Prisons",126988.86
"Bloomfield College","Department of Education",1114632
"Bloomsburg University of Pennsylvania","Department of Education",748384
"Bloomsburg University of Pennsylvania","National Science Foundation",129192
"Bloomsburg University of Pennsylvania","Health Resources and Services Administration",24122
"Blue Mountain College","Rural Business Cooperative Service",116173
"Blue Mountain Community College","Department of Education",254904
"Blue Ridge Community College","Forest Service",94536
"Bluefield State College","Department of Education",2764030
"Bluegrass Community and Technical College","Department of Education",1599703.74
"Boise State University","National Science Foundation",11484093
"Boise State University","Department of Education",6142115.51
"Boise State University","National Institutes of Health",3362930
"Boise State University","Department of Energy",1553884.3
"Boise State University","Department of the Army",1401394
"Boston College","National Institutes of Health",20002325
"Boston College","National Science Foundation",8167571
"Boston College","Department of the Navy",3937421
"Boston College","Social Security Administration",2424301
"Boston College","Department of the Air Force",1798803.31
"Boston University","National Institutes of Health",2002422236.26
"Boston University","Office of Assistant Secretary for Preparedness and Response",55000000
"Boston University","National Science Foundation",35841573
"Boston University","Department of the Navy",13087897.62
"Boston University","Health Resources and Services Administration",12865046
"Bowdoin College","National Science Foundation",1753138
"Bowdoin College","National Institutes of Health",1223099
"Bowdoin College","Department of Education",844077
"Bowdoin College","National Aeronautics and Space Administration",208768.16
"Bowdoin College","National Endowment for the Humanities",89889
"Bowie State University","Department of Education",7771046
"Bowie State University","National Science Foundation",1123816
"Bowie State University","Department of the Army",585176
"Bowie State University","Health Resources and Services Administration",240936
"Bowie State University","Environmental Protection Agency",10000
"Bowling Green State University-Main Campus","Department of Education",2140273
"Bowling Green State University-Main Campus","National Science Foundation",1999086
"Bowling Green State University-Main Campus","National Institutes of Health",1694772
"Bowling Green State University-Main Campus","Economic Development Administration",150000
"Bowling Green State University-Main Campus","National Endowment for the Humanities",35000
"Bradley University","Department of the Air Force",60000
"Brandeis University","National Institutes of Health",25669436
"Brandeis University","National Science Foundation",5558026
"Brandeis University","Office of Justice Programs",3068052.02
"Brandeis University","Administration on Aging",2007851
"Brandeis University","Department of Energy",684999.34
"Brescia University","Department of Education",450000
"Brewster Technical College","Department of Education",4327574.34
"Brewster Technical College","Centers for Disease Control and Prevention",360000
"Briar Cliff University","Department of Education",1208244.63
"Bridgerland Applied Technology College","National Science Foundation",225000
"Bridgewater State University","Department of Education",149250
"Brigham Young University-Provo","National Science Foundation",9852190
"Brigham Young University-Provo","National Institutes of Health",4431982
"Brigham Young University-Provo","National Aeronautics and Space Administration",822620.52
"Brigham Young University-Provo","Forest Service",577472.6
"Brigham Young University-Provo","Department of the Army",417124
"Brighton Center's Center for Employment Training","Assistant Secretary for Housing--Federal Housing Commissioner",507245
"Brighton Center's Center for Employment Training","Administration for Children and Families",341581
"Brighton Center's Center for Employment Training","Corporation for National and Community Service",161856
"Brighton Center's Center for Employment Training","Under Secretary for Health/Veterans Health Administration",5774
"Bristol Community College","Department of Education",1379496
"Brookdale Community College","National Science Foundation",649258
"Brookdale Community College","Department of Education",504443
"Brookhaven College","Department of Education",640722
"Brookhaven College","National Science Foundation",224813
"Broward College","Department of Education",2294914
"Broward College","Administration for Children and Families",250000
"Broward College","Federal Bureau of Investigation",5250
"Brown University","National Institutes of Health",325918388.55
"Brown University","National Science Foundation",20920678
"Brown University","Department of the Army",16122672
"Brown University","Agency for Healthcare Research and Quality",6665785
"Brown University","Department of the Navy",4891928
"Bryan College of Health Sciences","Health Resources and Services Administration",215546
"Bryant University","Small Business Administration",310310
"Bryant University","National Science Foundation",54483
"Bryn Mawr College","National Institutes of Health",362500
"Bryn Mawr College","National Science Foundation",130084
"Buckeye Hills Career Center","Department of Education",48616
"Bucknell University","National Science Foundation",2315067
"Bucknell University","National Institutes of Health",133604
"Bucknell University","U.S. Fish and Wildlife Service",59900
"Bucks County Community College","Department of the Navy",411147.2
"Bucks County Community College","Department of the Army",227235
"Bucks County Community College","Department of Veterans Affairs",38235
"Bucks County Community College","Defense Logistics Agency",24948
"Bucks County Community College","National Endowment for the Arts",10000
"Buena Vista University","National Institutes of Health",329633
"Bunker Hill Community College","Department of Education",900712
"Bunker Hill Community College","Health Resources and Services Administration",300000
"Butler Community College","Department of Education",232023
"Butler University","National Science Foundation",492570
"Butler University","Department of Education",469197
"Butler University","Agricultural Research Service",41303.3
"Butte College","Department of Education",422199
"Butte College","Environmental Protection Agency",75000
"Butte College","Federal Highway Administration",3500
"Cabrillo College","Department of Education",1781969
"Cabrini University","Department of Education",145915
"Caddo Kiowa Technology Center","Bureau of Indian Affairs and Bureau of Indian Education",16575
"Caldwell Community College and Technical Institute","Department of Education",319570
"Caldwell University","Offices, Boards and Divisions",299238
"California Baptist University","Health Resources and Services Administration",1000000
"California Baptist University","National Science Foundation",181696
"California Baptist University","Substance Abuse and Mental Health Services Administration",125000
"California College of the Arts","National Endowment for the Arts",25000
"California Institute of Technology","National Aeronautics and Space Administration",12148508846.69
"California Institute of Technology","Department of the Air Force",881314457.56
"California Institute of Technology","National Science Foundation",89159760
