"source","target","value"
"University of Massachusetts Medical School Worcester","Department of the Army",3381093
"University of Massachusetts-Amherst","National Science Foundation",38324996
"University of Massachusetts-Amherst","National Institutes of Health",29034495
"University of Massachusetts-Amherst","Department of the Army",7620372.93
"University of Massachusetts-Amherst","Administration for Children and Families",6800000
"University of Massachusetts-Amherst","Department of Energy",6758761.7
"University of Massachusetts-Boston","Department of Education",45870012.62
"University of Massachusetts-Boston","National Institutes of Health",6281263
"University of Massachusetts-Boston","National Science Foundation",5059546
"University of Massachusetts-Boston","Administration on Aging",3836618
"University of Massachusetts-Boston","Administration for Community Living",1493582
"University of Massachusetts-Dartmouth","National Science Foundation",1960934
"University of Massachusetts-Dartmouth","Department of the Navy",1219958
"University of Massachusetts-Dartmouth","Department of Education",866560
"University of Massachusetts-Dartmouth","Economic Development Administration",600000
"University of Massachusetts-Dartmouth","Health Resources and Services Administration",319892
"University of Massachusetts-Lowell","Department of the Army",35959801.4
"University of Massachusetts-Lowell","National Institutes of Health",8002021
"University of Massachusetts-Lowell","National Science Foundation",3632606
"University of Massachusetts-Lowell","Department of Energy",2562374
"University of Massachusetts-Lowell","Centers for Disease Control and Prevention",1729267
"University of Memphis","National Institutes of Health",5764113
"University of Memphis","National Science Foundation",4635072
"University of Memphis","Department of Education",1553200
"University of Memphis","U.S. Geological Survey",1053877.03
"University of Memphis","Department of the Army",510243
"University of Miami","National Institutes of Health",863098432
"University of Miami","National Oceanic and Atmospheric Administration",47709751.54
"University of Miami","Department of the Army",18107728
"University of Miami","National Science Foundation",11630561
"University of Miami","Health Resources and Services Administration",6959250
"University of Michigan-Ann Arbor","National Institutes of Health",2682732327
"University of Michigan-Ann Arbor","Department of the Army",196379809.14
"University of Michigan-Ann Arbor","Centers for Disease Control and Prevention",106970290.98
"University of Michigan-Ann Arbor","National Science Foundation",101634889
"University of Michigan-Ann Arbor","National Aeronautics and Space Administration",100738987.04
"University of Minnesota-Duluth","National Science Foundation",3107620
"University of Minnesota-Duluth","National Institutes of Health",897625
"University of Minnesota-Duluth","Department of the Air Force",12000
"University of Minnesota-Duluth","National Aeronautics and Space Administration",4868
"University of Minnesota-Morris","Department of Education",1045906
"University of Minnesota-Morris","National Science Foundation",45170
"University of Minnesota-Twin Cities","National Institutes of Health",3161739114.6
"University of Minnesota-Twin Cities","National Science Foundation",70268492
"University of Minnesota-Twin Cities","Department of the Army",34111048
"University of Minnesota-Twin Cities","Centers for Disease Control and Prevention",29852461.28
"University of Minnesota-Twin Cities","Department of the Navy",26397887
"University of Mississippi","National Institutes of Health",29654221
"University of Mississippi","Department of the Army",13045186
"University of Mississippi","Department of the Navy",10853499.74
"University of Mississippi","Food and Nutrition Service",8008976.86
"University of Mississippi","Agricultural Research Service",4614344.38
"University of Mississippi Medical Center","National Institutes of Health",241394555.32
"University of Mississippi Medical Center","Health Resources and Services Administration",7979072
"University of Mississippi Medical Center","Department of Homeland Security",1999998
"University of Mississippi Medical Center","Substance Abuse and Mental Health Services Administration",1009679
"University of Mississippi Medical Center","Department of Veterans Affairs",989346.24
"University of Missouri-Columbia","National Institutes of Health",47913272
"University of Missouri-Columbia","Department of the Army",19093166.64
"University of Missouri-Columbia","National Science Foundation",18419431
"University of Missouri-Columbia","Department of Education",13870121.46
"University of Missouri-Columbia","Agricultural Research Service",5475853.6
"University of Missouri-Kansas City","Department of the Navy",8057840
"University of Missouri-Kansas City","National Institutes of Health",4591116
"University of Missouri-Kansas City","Health Resources and Services Administration",2098743
"University of Missouri-Kansas City","Substance Abuse and Mental Health Services Administration",2057147
"University of Missouri-Kansas City","Office of Assistant Secretary for Health",1392000
"University of Missouri-St Louis","National Institutes of Health",2847853
"University of Missouri-St Louis","National Science Foundation",2263972
"University of Missouri-St Louis","Health Resources and Services Administration",1015356
"University of Missouri-St Louis","Substance Abuse and Mental Health Services Administration",908354
"University of Missouri-St Louis","Department of Education",682727
"University of Montevallo","Department of Education",5225691.14
"University of Mount Olive","Department of Education",658958
"University of Nebraska at Kearney","Department of Education",314579
"University of Nebraska at Kearney","National Science Foundation",230932
"University of Nebraska at Kearney","Mine Safety and Health Administration",90278
"University of Nebraska at Omaha","Centers for Medicare and Medicaid Services",4453317
"University of Nebraska at Omaha","National Science Foundation",3376063
"University of Nebraska at Omaha","National Institutes of Health",3159131
"University of Nebraska at Omaha","Department of State",2449993
"University of Nebraska at Omaha","National Aeronautics and Space Administration",1884631.85
"University of Nebraska Medical Center","National Institutes of Health",83649838
"University of Nebraska Medical Center","Health Resources and Services Administration",6686412
"University of Nebraska Medical Center","Centers for Disease Control and Prevention",2886725
"University of Nebraska Medical Center","Department of the Army",2447174.97
"University of Nebraska Medical Center","Office of Assistant Secretary for Preparedness and Response",2067640.54
"University of Nebraska-Lincoln","National Science Foundation",27120690
"University of Nebraska-Lincoln","National Institutes of Health",19649877
"University of Nebraska-Lincoln","Agricultural Research Service",11148092.12
"University of Nebraska-Lincoln","National Institute of Food and Agriculture",8719803.24
"University of Nebraska-Lincoln","Department of Energy",7714729.01
"University of Nevada-Las Vegas","Department of Education",9938179
"University of Nevada-Las Vegas","National Institutes of Health",8969807
"University of Nevada-Las Vegas","National Science Foundation",7728928
"University of Nevada-Las Vegas","Department of Energy",1521847
"University of Nevada-Las Vegas","Immediate Office of the Secretary of Transportation",1416900
"University of Nevada-Reno","National Institutes of Health",23678446
"University of Nevada-Reno","National Science Foundation",11836314
"University of Nevada-Reno","National Institute of Food and Agriculture",9235298.84
"University of Nevada-Reno","Department of Education",2752241.38
"University of Nevada-Reno","Administration for Children and Families",2673601
"University of New England","Health Resources and Services Administration",3240158
"University of New England","National Institutes of Health",2819115
"University of New England","Department of Energy",1119880.8
"University of New England","National Science Foundation",491537
"University of New England","Department of the Navy",475889.23
"University of New Hampshire-Main Campus","National Science Foundation",19730273
"University of New Hampshire-Main Campus","National Aeronautics and Space Administration",18031248.56
"University of New Hampshire-Main Campus","National Oceanic and Atmospheric Administration",11975928.94
"University of New Hampshire-Main Campus","National Institutes of Health",4347243
"University of New Hampshire-Main Campus","Department of Education",4263360
"University of New Haven","Office of Justice Programs",438246
"University of New Haven","National Science Foundation",269463
"University of New Haven","Department of the Army",4999
"University of New Mexico-Main Campus","National Institutes of Health",259673272
"University of New Mexico-Main Campus","Department of the Air Force",38369682
"University of New Mexico-Main Campus","National Science Foundation",23487913
"University of New Mexico-Main Campus","Health Resources and Services Administration",7816688
"University of New Mexico-Main Campus","Department of Education",5950658.87
"University of New Mexico-Taos Campus","Department of Education",545945
"University of New Mexico-Valencia County Campus","Department of Education",1668028
"University of New Orleans","Department of Education",2965633.74
"University of New Orleans","National Science Foundation",1464538
"University of New Orleans","Department of the Navy",477323
"University of New Orleans","National Oceanic and Atmospheric Administration",299728
"University of New Orleans","Federal Highway Administration",10000
"University of North Alabama","Health Resources and Services Administration",621384
"University of North Alabama","National Park Service",373084
"University of North Alabama","Centers for Disease Control and Prevention",49999
"University of North Carolina at Asheville","Centers for Disease Control and Prevention",289505
"University of North Carolina at Asheville","Forest Service",93337
"University of North Carolina at Asheville","U.S. Fish and Wildlife Service",30380
"University of North Carolina at Asheville","National Park Service",27000
"University of North Carolina at Asheville","U.S. Geological Survey",9855
"University of North Carolina at Chapel Hill","National Institutes of Health",7018209032.1
"University of North Carolina at Chapel Hill","Agency for International Development",60036608
"University of North Carolina at Chapel Hill","Environmental Protection Agency",46716853.6
"University of North Carolina at Chapel Hill","Department of the Army",46366899.6
"University of North Carolina at Chapel Hill","National Science Foundation",41318676
"University of North Carolina at Charlotte","National Science Foundation",16586346
"University of North Carolina at Charlotte","National Institutes of Health",4337387
"University of North Carolina at Charlotte","Department of Education",4194956.16
"University of North Carolina at Charlotte","Department of the Army",3678335
"University of North Carolina at Charlotte","Immediate Office of the Secretary of Transportation",1416900
"University of North Carolina at Greensboro","Department of Education",13723199.72
"University of North Carolina at Greensboro","National Institutes of Health",6303926
"University of North Carolina at Greensboro","Health Resources and Services Administration",1748552
"University of North Carolina at Greensboro","National Institute of Food and Agriculture",1254000
"University of North Carolina at Greensboro","National Science Foundation",521345
"University of North Carolina at Pembroke","Department of Education",1245393.69
"University of North Carolina at Pembroke","Health Resources and Services Administration",721973
"University of North Carolina at Pembroke","National Institutes of Health",458038
"University of North Carolina at Pembroke","Department of the Army",75000
"University of North Carolina General Administration","Department of Education",3496622.11
"University of North Carolina General Administration","National Institutes of Health",1092825
"University of North Carolina General Administration","Department of the Army",170699
"University of North Carolina Wilmington","National Science Foundation",1642997
"University of North Carolina Wilmington","Bureau of Ocean Energy Management",1043497
"University of North Carolina Wilmington","National Oceanic and Atmospheric Administration",588352
"University of North Carolina Wilmington","Department of State",147109
"University of North Carolina Wilmington","National Park Service",146560
"University of North Dakota","Department of Energy",19763749.53
"University of North Dakota","National Institutes of Health",12734755
"University of North Dakota","Health Resources and Services Administration",6066574
"University of North Dakota","National Science Foundation",2439924
"University of North Dakota","Department of Education",2341164.23
"University of North Florida","National Science Foundation",628529
"University of North Florida","Department of Education",466558
"University of North Florida","National Institutes of Health",115344
"University of North Florida","Health Resources and Services Administration",80260
"University of North Florida","National Institute of Standards and Technology",40000
"University of North Georgia","Department of Education",2010966
"University of North Georgia","National Science Foundation",129000
"University of North Georgia","Environmental Protection Agency",100000
"University of North Georgia","Department of the Air Force",46325
"University of North Georgia","Department of the Army",6353.1
"University of North Texas","National Science Foundation",3734433
"University of North Texas","National Institutes of Health",2366646
"University of North Texas","Department of Education",2247292.18
"University of North Texas","Department of the Army",1169502
"University of North Texas","Department of Energy",837154
"University of North Texas at Dallas","Department of Education",1237559
"University of North Texas Health Science Center","National Institutes of Health",72345410
"University of North Texas Health Science Center","Federal Prison System / Bureau of Prisons",33133902.46
"University of North Texas Health Science Center","Office of Justice Programs",8844570.18
"University of North Texas Health Science Center","Health Resources and Services Administration",1590581
"University of North Texas Health Science Center","Centers for Disease Control and Prevention",784965
"University of Northern Colorado","Department of Education",2697955.59
"University of Northern Colorado","National Science Foundation",2085828
"University of Northern Colorado","Bureau of Land Management",260000
"University of Northern Colorado","Health Resources and Services Administration",237804
"University of Northern Colorado","Corporation for National and Community Service",66059
"University of Northern Iowa","Department of Education",1845527.63
"University of Northern Iowa","Defense Logistics Agency",808000
"University of Northern Iowa","National Science Foundation",377585
"University of Northern Iowa","Economic Development Administration",131000
"University of Northern Iowa","Environmental Protection Agency",120809.56
"University of Notre Dame","National Institutes of Health",62845020
"University of Notre Dame","National Science Foundation",24792952
"University of Notre Dame","Department of the Navy",24035328
"University of Notre Dame","Department of Energy",13887098
"University of Notre Dame","Department of the Army",3067166
"University of Oklahoma-Health Sciences Center","National Institutes of Health",44296667.21
"University of Oklahoma-Health Sciences Center","Health Resources and Services Administration",3175708
"University of Oklahoma-Health Sciences Center","Agency for Healthcare Research and Quality",2642781
"University of Oklahoma-Health Sciences Center","Department of the Army",2444734
"University of Oklahoma-Health Sciences Center","Department of Veterans Affairs",1209390.17
"University of Oklahoma-Norman Campus","National Oceanic and Atmospheric Administration",206498078.14
"University of Oklahoma-Norman Campus","National Aeronautics and Space Administration",66105075.3
"University of Oklahoma-Norman Campus","Department of Education",14873811.72
"University of Oklahoma-Norman Campus","National Science Foundation",12134615
"University of Oklahoma-Norman Campus","National Institutes of Health",10445456
"University of Oregon","National Institutes of Health",35364037
"University of Oregon","Department of Education",22147955.34
"University of Oregon","National Science Foundation",14474665
"University of Oregon","U.S. Geological Survey",2725267.88
"University of Oregon","Department of Energy",2181651.88
"University of Pennsylvania","National Institutes of Health",2824142257.24
"University of Pennsylvania","National Science Foundation",44127796
"University of Pennsylvania","Department of the Navy",34360638.45
"University of Pennsylvania","Department of the Army",25342806.12
"University of Pennsylvania","Centers for Disease Control and Prevention",16974645
"University of Pikeville","Department of Education",1493459
"University of Pikeville","Health Resources and Services Administration",650000
"University of Pikeville","Rural Utilities Service",128675
"University of Pittsburgh-Pittsburgh Campus","National Institutes of Health",3812296577.76
"University of Pittsburgh-Pittsburgh Campus","Department of the Army",171965080.44
"University of Pittsburgh-Pittsburgh Campus","Centers for Disease Control and Prevention",24094488
"University of Pittsburgh-Pittsburgh Campus","National Science Foundation",18436913
"University of Pittsburgh-Pittsburgh Campus","Department of the Navy",11965241.88
"University of Portland","Forest Service",94252
"University of Puerto Rico-Arecibo","Department of Education",338568
"University of Puerto Rico-Bayamon","Department of Education",321755
"University of Puerto Rico-Cayey","National Institutes of Health",1080664
"University of Puerto Rico-Cayey","Department of Education",490734
"University of Puerto Rico-Humacao","Department of Education",1248313
"University of Puerto Rico-Humacao","National Institutes of Health",487467
"University of Puerto Rico-Humacao","National Science Foundation",223392
"University of Puerto Rico-Humacao","Corporation for National and Community Service",100000
"University of Puerto Rico-Humacao","National Aeronautics and Space Administration",92725
"University of Puerto Rico-Mayaguez","National Oceanic and Atmospheric Administration",8078965.61
"University of Puerto Rico-Mayaguez","National Science Foundation",7725413
"University of Puerto Rico-Mayaguez","Department of Education",1080383.28
"University of Puerto Rico-Mayaguez","National Institute of Food and Agriculture",774868
"University of Puerto Rico-Mayaguez","National Institutes of Health",666067
"University of Puerto Rico-Medical Sciences","National Institutes of Health",33001806
"University of Puerto Rico-Medical Sciences","Office of Assistant Secretary for Health",2488000
"University of Puerto Rico-Medical Sciences","Health Resources and Services Administration",1975946.06
"University of Puerto Rico-Medical Sciences","National Science Foundation",1842404
"University of Puerto Rico-Medical Sciences","Environmental Protection Agency",1050121
"University of Puerto Rico-Ponce","National Institutes of Health",623987
"University of Puerto Rico-Ponce","Department of Education",249640
"University of Puerto Rico-Rio Piedras","National Science Foundation",7359573
"University of Puerto Rico-Rio Piedras","National Institutes of Health",5466713
"University of Puerto Rico-Rio Piedras","National Institute of Food and Agriculture",1846240.97
"University of Puerto Rico-Rio Piedras","Department of Education",1190336.37
"University of Puerto Rico-Rio Piedras","National Aeronautics and Space Administration",1105404
"University of Puerto Rico-Utuado","National Institute of Food and Agriculture",122500
"University of Puget Sound","National Science Foundation",723843
"University of Rhode Island","National Science Foundation",18836726
"University of Rhode Island","National Institutes of Health",14611366
"University of Rhode Island","Department of the Navy",9447876
"University of Rhode Island","Agency for International Development",8961634
"University of Rhode Island","National Oceanic and Atmospheric Administration",8521120.9
"University of Richmond","National Science Foundation",853646
"University of Richmond","National Institutes of Health",532593
"University of Richmond","Administration on Aging",499771
"University of Richmond","Department of Energy",103876.45
"University of Richmond","National Endowment for the Humanities",99984
"University of Rochester","National Institutes of Health",1143169328.77
"University of Rochester","Department of Energy",78869343.69
"University of Rochester","National Science Foundation",20450895
"University of Rochester","Department of the Army",9884699
"University of Rochester","Department of the Navy",8506416.34
"University of Saint Francis-Fort Wayne","Department of Education",242136
"University of Saint Francis-Fort Wayne","Substance Abuse and Mental Health Services Administration",51096
"University of Saint Francis-Fort Wayne","Department of the Army",15000
"University of Saint Francis-Fort Wayne","Health Resources and Services Administration",12636
"University of Saint Francis-Fort Wayne","National Endowment for the Arts",10000
"University of Saint Joseph","National Science Foundation",649650
"University of Saint Joseph","Health Resources and Services Administration",385000
"University of Saint Joseph","Department of Education",377124
"University of Saint Mary","National Science Foundation",104826
"University of San Diego","National Science Foundation",1413527
"University of San Diego","Department of Education",816843
"University of San Diego","Department of the Navy",558700
"University of San Diego","Health Resources and Services Administration",410996
"University of San Diego","National Institutes of Health",208021
"University of San Francisco","Department of Education",224717.44
"University of San Francisco","National Science Foundation",117000
"University of Science and Arts of Oklahoma","Department of Education",708438
"University of Scranton","National Science Foundation",846517
"University of Scranton","National Institutes of Health",58594
"University of South Alabama","National Institutes of Health",11832953
"University of South Alabama","Health Resources and Services Administration",4851766
"University of South Alabama","National Science Foundation",3375774
"University of South Alabama","Department of Education",1180193.94
"University of South Alabama","Forest Service",534473.45
"University of South Carolina-Beaufort","National Institutes of Health",40115851
"University of South Carolina-Beaufort","National Science Foundation",18268566
"University of South Carolina-Beaufort","Centers for Disease Control and Prevention",7608196
"University of South Carolina-Beaufort","Department of Education",7156935.35
"University of South Carolina-Beaufort","Department of Energy",5717615.22
"University of South Carolina-Columbia","Health Resources and Services Administration",996002
"University of South Carolina-Upstate","Department of Education",448488
"University of South Dakota","National Institutes of Health",7087989
"University of South Dakota","National Science Foundation",3942875
"University of South Dakota","Administration for Children and Families",2462215
"University of South Dakota","Health Resources and Services Administration",1596091
"University of South Dakota","National Institute of Standards and Technology",1442389
"University of South Florida","National Institutes of Health",392585814.12
"University of South Florida","National Science Foundation",12649052
"University of South Florida","Department of Education",8794532.71
"University of South Florida","Federal Transit Administration",4174922.84
"University of South Florida","U.S. Geological Survey",4101196.65
"University of Southern California","National Institutes of Health",1832000489.08
"University of Southern California","Department of the Army",235401285.76
"University of Southern California","Department of the Air Force",156743355
"University of Southern California","Defense Advanced Research Projects Agency",59312478
"University of Southern California","National Science Foundation",50208827
"University of Southern Indiana","Health Resources and Services Administration",1350355
"University of Southern Indiana","Department of Education",242136
"University of Southern Indiana","Forest Service",9000
"University of Southern Maine","Department of Education",1203049
"University of Southern Maine","Environmental Protection Agency",846204
"University of Southern Maine","Small Business Administration",722222
"University of Southern Maine","Health Resources and Services Administration",716714
"University of Southern Maine","Office of Justice Programs",424595.01
"University of Southern Mississippi","National Oceanic and Atmospheric Administration",36176016.12
"University of Southern Mississippi","Department of the Army",11575188
"University of Southern Mississippi","National Institutes of Health",5426449
"University of Southern Mississippi","Department of Defense",4728344.19
"University of Southern Mississippi","Department of the Navy",2547045.32
"University of St Francis","National Science Foundation",790498
"University of St Thomas","National Science Foundation",949855
"University of St Thomas","Department of Education",757288.36
"University of St Thomas","Department of the Navy",310045.5
"University of Texas Health Science Center at Tyler","National Institutes of Health",3463252
"University of Texas Health Science Center at Tyler","Centers for Disease Control and Prevention",3181418
"University of Texas Health Science Center at Tyler","Health Resources and Services Administration",276614
"University of Texas Health Science Center at Tyler","Department of Veterans Affairs",6000
"University of Texas Southwestern Medical Center","National Institutes of Health",351094174.5
"University of Texas Southwestern Medical Center","Department of the Army",37741036
"University of Texas Southwestern Medical Center","Department of Veterans Affairs",14817754.43
"University of Texas Southwestern Medical Center","National Science Foundation",1134953
"University of Texas Southwestern Medical Center","Health Resources and Services Administration",1050934
"University of the District of Columbia","Department of Education",6053623.62
"University of the District of Columbia","Department of the Army",551889
"University of the District of Columbia","Health Resources and Services Administration",525000
"University of the District of Columbia","National Science Foundation",399931
"University of the District of Columbia","Corporation for National and Community Service",301048
"University of the Incarnate Word","Health Resources and Services Administration",1321982
"University of the Incarnate Word","National Science Foundation",999746
"University of the Incarnate Word","Department of the Air Force",381623.42
"University of the Incarnate Word","Department of the Navy",295288
"University of the Ozarks","Department of Education",295928
"University of the Ozarks","Health Resources and Services Administration",20260
"University of the Pacific","Department of the Navy",2950522.78
"University of the Pacific","Health Resources and Services Administration",1076996
"University of the Pacific","National Institutes of Health",650270
"University of the Pacific","Department of Education",628546
"University of the Pacific","National Science Foundation",493496
"University of the Sciences","National Institutes of Health",783959
"University of the Sciences","National Science Foundation",456959
"University of the Virgin Islands","National Science Foundation",6303647
"University of the Virgin Islands","Department of Education",2744452.32
"University of the Virgin Islands","Administration on Aging",696295
"University of the Virgin Islands","National Institutes of Health",554007
"University of the Virgin Islands","National Aeronautics and Space Administration",553756
"University of Toledo","National Institutes of Health",12026100
"University of Toledo","National Science Foundation",3316188
"University of Toledo","Health Resources and Services Administration",2072477
"University of Toledo","National Aeronautics and Space Administration",1762829.54
"University of Toledo","Department of Education",1200220.41
"University of Tulsa","National Science Foundation",1816410
"University of Tulsa","Department of Energy",1052417.35
"University of Tulsa","Department of the Air Force",607803
"University of Tulsa","U.S. Secret Service",250000
"University of Tulsa","Bureau of Reclamation",144396
"University of Utah","National Institutes of Health",1471439323.05
"University of Utah","Department of the Army",44385093.2
"University of Utah","National Science Foundation",38885431
"University of Utah","Centers for Disease Control and Prevention",28896884.3
"University of Utah","Department of Energy",23179997.77
"University of Vermont","National Institutes of Health",159437555.2
"University of Vermont","National Science Foundation",15094417
"University of Vermont","National Institute of Food and Agriculture",14993189.51
"University of Vermont","Department of Education",1811094
"University of Vermont","Under Secretary for Health/Veterans Health Administration",1592758
"University of Virginia","National Institutes of Health",296837631
"University of Virginia","Department of the Army",47458152.7
"University of Virginia","Department of the Navy",43257247.85
"University of Virginia","National Science Foundation",33945106
"University of Virginia","Department of Education",14240137.6
"University of Washington","National Institutes of Health",8341258000.88
"University of Washington","Department of the Navy",264577534.4
"University of Washington","National Oceanic and Atmospheric Administration",239920115.36
"University of Washington","Centers for Disease Control and Prevention",167229843.49
"University of Washington","Department of the Army",148193857.9
"University of West Alabama","Department of Education",3398655
"University of West Alabama","National Institute of Food and Agriculture",299842
"University of West Georgia","National Park Service",217004.05
"University of West Georgia","Health Resources and Services Administration",199765
"University of West Georgia","National Endowment for the Humanities",25000
"University of West Georgia","National Endowment for the Arts",10000
"University of West Georgia","National Science Foundation",8268
"University of Wisconsin-Eau Claire","Department of Education",1467055
"University of Wisconsin-Eau Claire","National Institutes of Health",402161
"University of Wisconsin-Eau Claire","National Science Foundation",337588
"University of Wisconsin-Eau Claire","Substance Abuse and Mental Health Services Administration",101883
"University of Wisconsin-Eau Claire","National Endowment for the Humanities",12000
"University of Wisconsin-Green Bay","Department of Education",773294
"University of Wisconsin-Green Bay","U.S. Fish and Wildlife Service",75000
"University of Wisconsin-La Crosse","Department of Education",2302353.16
"University of Wisconsin-La Crosse","National Institute of Food and Agriculture",714029
"University of Wisconsin-La Crosse","U.S. Geological Survey",393894
"University of Wisconsin-La Crosse","National Science Foundation",330479
"University of Wisconsin-La Crosse","U.S. Fish and Wildlife Service",22432.15
"University of Wisconsin-Madison","National Institutes of Health",2476009105.92
"University of Wisconsin-Madison","National Oceanic and Atmospheric Administration",107305657.88
"University of Wisconsin-Madison","National Science Foundation",77532246
"University of Wisconsin-Madison","Department of Energy",54001687.67
"University of Wisconsin-Madison","National Aeronautics and Space Administration",37495981.54
"University of Wisconsin-Milwaukee","National Science Foundation",8895988
"University of Wisconsin-Milwaukee","Department of Education",6601164
"University of Wisconsin-Milwaukee","National Institutes of Health",4857011
"University of Wisconsin-Milwaukee","Department of Energy",3100018
"University of Wisconsin-Milwaukee","Office of the National Drug Control Policy",1576302.63
"University of Wisconsin-Oshkosh","Administration for Children and Families",5394685
"University of Wisconsin-Oshkosh","Department of Education",907249
"University of Wisconsin-Oshkosh","National Institutes of Health",407519
"University of Wisconsin-Parkside","Department of Education",846271
"University of Wisconsin-Platteville","Department of Education",645078
"University of Wisconsin-Platteville","National Institute of Food and Agriculture",272110
"University of Wisconsin-Platteville","National Science Foundation",105309
"University of Wisconsin-Platteville","Agricultural Research Service",99000
"University of Wisconsin-Stevens Point","U.S. Geological Survey",756966.33
"University of Wisconsin-Stevens Point","Department of Education",495667
"University of Wisconsin-Stevens Point","U.S. Fish and Wildlife Service",492823.66
"University of Wisconsin-Stevens Point","Forest Service",58875
"University of Wisconsin-Stevens Point","National Endowment for the Arts",10000
"University of Wisconsin-Stout","Department of Education",1516927.05
"University of Wisconsin-Stout","Centers for Disease Control and Prevention",101574
"University of Wisconsin-Stout","Economic Development Administration",80000
"University of Wisconsin-Superior","Department of Education",861340
"University of Wisconsin-Superior","Department of the Navy",125918.88
"University of Wisconsin-Superior","National Oceanic and Atmospheric Administration",74094
"University of Wisconsin-Whitewater","Department of Education",579819
"University of Wisconsin-Whitewater","National Institutes of Health",575348
"University of Wisconsin-Whitewater","National Aeronautics and Space Administration",104511
"University of Wisconsin-Whitewater","Corporation for National and Community Service",99469
"University of Wisconsin-Whitewater","National Science Foundation",74210
"University of Wyoming","National Science Foundation",16061773
"University of Wyoming","National Institutes of Health",13188904
"University of Wyoming","Department of Energy",12746100.36
"University of Wyoming","Department of Education",5789170.83
"University of Wyoming","Health Resources and Services Administration",2506392
"University System of Maryland-Research Centers","Department of the Navy",135962.83
"Upper Iowa University","Environmental Protection Agency",95586
"Upstate Medical University","National Institutes of Health",32109653.48
"Upstate Medical University","Department of the Army",1374500
"Upstate Medical University","Health Resources and Services Administration",734210
"Upstate Medical University","Department of the Navy",115050.42
"Upstate Medical University","Department of Veterans Affairs",68400
"Ursinus College","National Endowment for the Humanities",33861
"Utah State University","Department of the Air Force",51775438.42
"Utah State University","National Institutes of Health",27146473.71
"Utah State University","Department of the Navy",26176250
"Utah State University","Missile Defense Agency",26037130.99
"Utah State University","National Aeronautics and Space Administration",25898072.13
"Utah Valley University","Department of Education",5060964.66
"Utah Valley University","National Science Foundation",2027640
"Utah Valley University","Federal Emergency Management Agency",518046
"Utah Valley University","Forest Service",75633
"Utica College","National Science Foundation",121942
"Valdosta State University","Department of Education",680676.31
"Valdosta State University","National Science Foundation",33949
"Valdosta State University","U.S. Fish and Wildlife Service",16920
"Valdosta State University","Office of Assistant Secretary for Preparedness and Response",11772
"Valencia College","National Science Foundation",1218066
"Valencia College","Department of Education",1165722
"Valencia College","National Endowment for the Arts",10000
"Valley City State University","Forest Service",25000
"Valley City State University","U.S. Army Corps of Engineers - Civil Program Financing Only",6484
"Valparaiso University","Department of Energy",161800
"Valparaiso University","National Science Foundation",131745
"Valparaiso University","Substance Abuse and Mental Health Services Administration",91380
"Vance-Granville Community College","Federal Prison System / Bureau of Prisons",68391.4
"Vanderbilt University","National Institutes of Health",3640037347.84
"Vanderbilt University","National Science Foundation",25509986
"Vanderbilt University","Department of the Army",21455700
"Vanderbilt University","Centers for Disease Control and Prevention",14042342
"Vanderbilt University","Department of Energy",12535034
"Vanguard University of Southern California","Department of Education",1251682
"Vassar College","National Science Foundation",559524
"Vaughn College of Aeronautics and Technology","Department of Education",2004821
"Ventura College","Department of Education",65653.01
"Vermont College of Fine Arts","National Endowment for the Arts",10000
"Vermont Law School","Agricultural Research Service",1500000.41
"Vermont Law School","Rural Business Cooperative Service",60437
"Vermont Law School","Department of State",49996
"Vermont Technical College","Small Business Administration",712013.12
"Vermont Technical College","National Institute of Standards and Technology",520425
"Vermont Technical College","Health Resources and Services Administration",400000
"Vermont Technical College","Department of Education",314931
"Vermont Technical College","U.S. Immigration and Customs Enforcement",36470
"Vernon College","Department of Education",447225
"Victor Valley College","Department of Education",315155
"Victor Valley College","Federal Prison System / Bureau of Prisons",214509.59
"Victor Valley College","Bureau of Land Management",25000
"Victoria College","Department of Education",11110
"Victoria College","National Endowment for the Humanities",10000
"Villa Maria College","Department of Education",345760
"Villanova University","National Science Foundation",3124998
"Villanova University","Health Resources and Services Administration",700302
"Villanova University","National Aeronautics and Space Administration",541888.22
"Villanova University","Department of the Navy",133542
"Villanova University","Internal Revenue Service",100000
"Vincennes University","Department of Education",1730293.36
"Vincennes University","Mine Safety and Health Administration",260255.77
"Vincennes University","Corporation for National and Community Service",75000
"Vincennes University","Internal Revenue Service",18000
"Virginia Commonwealth University","National Institutes of Health",354698132.32
"Virginia Commonwealth University","Department of the Army",8370197
"Virginia Commonwealth University","Department of Education",7145886
"Virginia Commonwealth University","National Science Foundation",6681524
"Virginia Commonwealth University","Social Security Administration",4327583
"Virginia Highlands Community College","Department of Education",720778.64
"Virginia Military Institute","Department of the Navy",2750418
"Virginia Military Institute","Federal Highway Administration",1000000
"Virginia Polytechnic Institute and State University","Department of the Navy",119745004.12
"Virginia Polytechnic Institute and State University","National Science Foundation",49334195
"Virginia Polytechnic Institute and State University","National Institutes of Health",29549863.68
"Virginia Polytechnic Institute and State University","Department of the Army",27719961.28
"Virginia Polytechnic Institute and State University","Department of Energy",22653134.82
"Virginia State University","Department of Education",7309183.77
"Virginia State University","National Institute of Food and Agriculture",4367329.31
"Virginia State University","National Science Foundation",2029243
"Virginia State University","Office of Justice Programs",500000
"Virginia State University","Federal Highway Administration",26000
"Virginia Union University","Department of Education",3387946
