report_date,today
2014-11-03,55
2014-11-05,73
2014-11-10,64
2014-11-12,67
2014-11-13,132
2014-11-14,224
2014-11-17,178
2014-11-18,64
2014-11-19,164
2014-11-20,648
2014-11-21,250
2014-11-24,186
2014-11-25,151
2014-11-26,116
2014-12-01,135
2014-12-03,80
2014-12-04,54
2014-12-05,70
2014-12-08,94
2014-12-10,196
2014-12-11,52
2014-12-12,93
2014-12-15,496
2014-12-16,162
2014-12-17,445
2014-12-18,202
2014-12-19,219
2014-12-22,807
2014-12-23,375
2014-12-24,89
2014-12-26,81
2014-12-29,1127
2014-12-30,487
2014-12-31,358
2015-01-02,92
2015-01-05,393
2015-01-06,116
2015-01-07,151
2015-01-08,350
2015-01-09,398
2015-01-12,729
2015-01-13,802
2015-01-14,701
2015-01-15,2000
2015-01-16,166
2015-01-20,614
2015-01-21,201
2015-01-22,66
2015-01-23,366
2015-01-29,66
2015-01-30,138
2015-02-02,99
2015-02-06,178
2015-02-10,53
2015-02-11,68
2015-02-12,56
2015-02-17,67
2015-02-18,64
2015-02-19,89
2015-02-20,402
2015-02-23,554
2015-02-24,150
2015-02-25,114
2015-02-26,51
2015-02-27,169
2015-03-02,58
2015-03-06,137
2015-03-10,85
2015-03-11,76
2015-03-12,85
2015-03-19,109
2015-03-20,453
2015-03-23,520
2015-03-24,162
2015-03-25,100
2015-03-27,118
2015-03-31,134
2015-04-01,129
2015-04-09,50
2015-04-10,78
2015-04-14,57
2015-04-15,75
2015-04-16,185
2015-04-20,322
2015-04-21,114
2015-04-23,492
2015-04-24,136
2015-04-27,86
2015-04-29,126
2015-04-30,131
2015-05-01,108
2015-05-05,50
2015-05-08,65
2015-05-11,103
2015-05-12,75
2015-05-13,52
2015-05-15,83
2015-05-18,172
2015-05-19,239
2015-05-20,153
2015-05-21,496
2015-05-22,220
2015-05-26,107
2015-05-29,135
2015-06-01,111
2015-06-05,165
2015-06-09,70
2015-06-10,97
2015-06-12,64
2015-06-15,65
2015-06-16,78
2015-06-18,370
2015-06-19,148
2015-06-22,315
2015-06-23,206
2015-06-24,69
2015-06-25,95
2015-06-26,76
2015-06-29,53
2015-06-30,51
2015-07-01,187
2015-07-10,211
2015-07-15,60
2015-07-16,83
2015-07-17,200
2015-07-20,330
2015-07-21,108
2015-07-23,503
2015-07-24,175
2015-07-30,96
2015-07-31,147
2015-08-03,56
2015-08-07,74
2015-08-10,178
2015-08-12,58
2015-08-13,125
2015-08-14,95
2015-08-17,72
2015-08-20,691
2015-08-21,372
2015-08-24,64
2015-08-25,109
2015-08-28,73
2015-08-31,110
2015-09-01,134
2015-09-02,51
2015-09-03,108
2015-09-04,102
2015-09-08,67
2015-09-09,198
2015-09-10,152
2015-09-11,148
2015-09-14,116
2015-09-15,217
2015-09-16,163
2015-09-18,127
2015-09-21,503
2015-09-22,148
2015-09-23,175
2015-09-24,55
2015-09-25,130
2015-09-28,177
2015-09-30,128
2015-10-01,149
2015-10-07,68
2015-10-09,201
2015-10-13,69
2015-10-14,77
2015-10-16,57
2015-10-19,64
2015-10-20,362
2015-10-21,151
2015-10-22,492
2015-10-23,243
2015-10-26,62
2015-10-29,157
2015-10-30,87
2015-11-02,55
2015-11-06,118
2015-11-09,104
2015-11-10,84
2015-11-12,69
2015-11-18,114
2015-11-19,155
2015-11-20,400
2015-11-23,558
2015-11-24,101
2015-11-25,134
2015-11-30,84
2015-12-01,126
2015-12-03,54
2015-12-09,60
2015-12-10,75
2015-12-11,190
2015-12-14,86
2015-12-15,94
2015-12-18,206
2015-12-21,747
2015-12-22,82
2015-12-23,295
2015-12-30,103
2015-12-31,209
2016-01-04,89
2016-01-08,195
2016-01-12,121
2016-01-13,128
2016-01-15,62
2016-01-19,189
2016-01-20,413
2016-01-21,76
2016-01-22,576
2016-01-25,112
2016-01-26,103
2016-01-28,88
2016-01-29,123
2016-02-01,124
2016-02-05,176
2016-02-08,70
2016-02-08,70
2016-02-10,120
2016-02-11,59
2016-02-12,76
2016-02-16,70
2016-02-17,58
2016-02-18,121
2016-02-19,430
2016-02-22,523
2016-02-23,151
2016-02-24,126
2016-02-25,87
2016-02-26,65
2016-02-29,120
2016-02-29,120
2016-03-01,149
2016-03-03,51
2016-03-09,76
2016-03-10,79
2016-03-11,202
2016-03-15,124
2016-03-18,123
2016-03-21,596
2016-03-22,51
2016-03-23,398
2016-03-24,90
2016-03-25,81
2016-03-28,198
2016-03-31,162
2016-04-01,152
2016-04-08,248
2016-04-13,140
2016-04-15,260
2016-04-18,163
2016-04-20,164
2016-04-21,433
